info_raw$X1,views,daily average,edits,editors,size,watchers
Madman's Drum,73923,68,44,20,15489,unknown
English Benedictine Reform,89331,82,373,47,68858,35
Smilodon,1504373,1389,798,208,75849,196
Wrestle Kingdom 9,310909,287,398,59,68186,unknown
Defense of the Ancients,1330348,1228,65,32,28881,482
Clinton Engineer Works,149043,138,170,58,72905,30
Francis Poulenc,372684,344,165,67,88339,89
Operation Ironside,87747,81,158,41,16796,36
Rogue River (Oregon),212970,197,250,48,94983,44
Kalki Koechlin,2017258,1863,1472,217,161926,70
Dover Athletic F.C.,207122,191,307,106,45309,unknown
The Monster (novella),83404,77,53,38,28371,31
Jersey Act,50465,47,65,37,21735,unknown
Interstate 275 (Michigan),83261,77,116,41,39550,unknown
The Pale Emperor,593418,548,382,103,134763,unknown
Night of January 16th,126626,117,143,54,63223,37
Dorset Ooser,87351,81,101,45,20690,45
Sesame Street international co-productions,86134,80,80,55,39308,40
Hope (painting),145488,134,203,49,58491,40
Impala,735984,680,303,131,46937,79
Muhammad ibn Tughj al-Ikhshid,66707,62,88,44,41898,unknown
Lockheed C-130 Hercules in Australian service,88856,82,73,33,63641,unknown
Jochen Rindt,416904,385,428,96,77906,56
In Our Time (short story collection),156087,144,366,53,41849,36
She Shoulda Said No!,138374,128,76,50,12731,33
Ferugliotheriidae,63615,59,40,27,28938,unknown
New wave of British heavy metal,386017,356,808,149,111744,150
Thomas C. Hindman,101964,94,119,69,39122,54
Titchwell Marsh,46767,43,46,30,36812,Unknown
Crescent honeyeater,48699,45,64,40,28099,Unknown
Hasan al-Kharrat,55757,51,232,48,26369,Unknown
"Love, Inc. (TV series)",109936,102,366,76,64894,Unknown
Suillus salmonicolor,45618,42,54,41,28989,Unknown
Sexuality after spinal cord injury,233394,216,577,71,89034,36
Allen Walker,188107,174,475,76,59765,34
Courageous-class aircraft carrier,143514,133,59,37,46299,42
Cliff Clinkscales,64244,59,247,65,65555,Unknown
Johnson Creek (Willamette River),169721,157,110,48,57842,32
The Good Terrorist,114086,105,224,45,39675,Unknown
USS Constellation vs L'Insurgente,128256,118,65,47,20104,30
