Date,"Madman's Drum","English Benedictine Reform","Smilodon","Wrestle Kingdom 9","Defense of the Ancients","Clinton Engineer Works","Francis Poulenc","Operation Ironside","Rogue River (Oregon)"
2015-07-01,8,5,1160,199,1324,35,433,2,169
2015-07-02,5,7,1595,298,1362,16,348,4,173
2015-07-03,5,10,1188,244,1267,26,234,4,157
2015-07-04,7,10,990,395,1317,15,261,8,193
2015-07-05,8,5,1080,647,1247,41,408,4,189
2015-07-06,10,11,1162,479,1460,47,365,9,215
2015-07-07,11,11,1055,345,1438,18,425,0,182
2015-07-08,14,38,1182,371,1479,18,336,1,187
2015-07-09,11,23,1058,320,1241,27,299,3,167
2015-07-10,15,10,1016,485,1312,14,258,5,165
2015-07-11,6,19,866,297,1277,18,234,6,141
2015-07-12,8,19,1041,263,1615,26,402,1,356
2015-07-13,7,46,1026,296,1454,27,466,5,229
2015-07-14,15,25,883,213,1304,29,416,3,207
2015-07-15,9,9,1026,176,1313,33,406,7,167
2015-07-16,8,8,941,176,1383,233,298,2,198
2015-07-17,11,7,905,186,1348,51,342,2,183
2015-07-18,13,13,963,251,1282,53,327,5,182
2015-07-19,5,11,972,232,1242,89,413,4,360
2015-07-20,8,23,1065,191,1392,54,564,5,246
2015-07-21,3,15,944,176,1570,30,563,6,199
2015-07-22,6,22,1064,223,1669,30,487,0,186
2015-07-23,16,14,990,185,1507,31,534,3,235
2015-07-24,15,3,1123,182,1527,15,449,5,203
2015-07-25,9,9,1106,240,1434,153,293,3,200
2015-07-26,6,7,1083,220,1678,74,438,2,1082
2015-07-27,14,20,1032,253,1875,48,474,2,265
2015-07-28,7,22,1007,206,1955,55,479,3,215
2015-07-29,17,7,1084,209,1840,64,459,8,202
2015-07-30,15,23,1048,209,1703,41,411,7,216
2015-07-31,19,27,997,154,1627,45,281,6,220
2015-08-01,17,19,1108,193,1795,22,293,3,189
2015-08-02,10,5,1291,210,1695,33,388,2,186
2015-08-03,23,17,1159,175,2430,26,403,5,180
2015-08-04,16,19,1030,163,4037,20,419,6,175
2015-08-05,11,18,1116,190,3667,45,370,4,191
2015-08-06,13,31,1001,142,3165,71,391,6,196
2015-08-07,8,13,1063,164,4783,43,251,6,171
2015-08-08,7,11,912,227,4947,27,270,7,165
2015-08-09,6,20,1088,211,9374,58,352,5,168
2015-08-10,11,9,1013,234,5437,43,334,5,196
2015-08-11,13,17,1117,227,3408,56,333,12,186
2015-08-12,13,16,1049,195,2761,67,314,7,180
2015-08-13,16,19,970,195,2474,70,279,3,190
2015-08-14,11,14,1070,219,2150,37,205,3,173
2015-08-15,8,15,1000,269,2098,50,216,4,220
2015-08-16,10,5,996,538,1914,48,232,3,745
2015-08-17,13,10,1081,289,1967,37,239,4,263
2015-08-18,10,22,1019,229,1765,42,273,4,202
2015-08-19,13,3072,1067,195,1949,52,282,9,154
2015-08-20,13,165,926,193,1899,47,182,7,192
2015-08-21,12,83,985,142,1848,52,203,5,160
2015-08-22,19,50,945,189,1685,35,194,5,161
2015-08-23,10,33,998,166,1701,36,206,3,197
2015-08-24,10,27,3218,159,1955,35,200,2,196
2015-08-25,15,24,1111,140,1707,35,236,6,184
2015-08-26,10,31,1009,177,1606,46,251,9,154
2015-08-27,10,23,1015,148,1634,40,235,5,158
2015-08-28,12,13,961,161,1830,26,176,7,135
2015-08-29,7,23,824,144,1482,25,219,3,161
2015-08-30,11,20,947,167,1424,29,206,2,151
2015-08-31,14,32,1269,150,1535,27,227,6,177
2015-09-01,14,18,864,124,1587,27,244,8,271
2015-09-02,6,12,1042,135,1655,27,218,4,234
2015-09-03,8,17,883,145,1644,49,243,4,188
2015-09-04,23,14,877,181,2480,39,195,7,210
2015-09-05,16,5,821,188,1902,49,208,6,160
2015-09-06,14,26,939,148,1565,44,225,8,177
2015-09-07,9,32,1125,144,1739,43,266,9,200
2015-09-08,9,36,968,129,2125,57,303,16,142
2015-09-09,8,18,924,160,1854,34,269,11,176
2015-09-10,16,15,962,168,1723,21,248,3,149
2015-09-11,60,6,1307,119,1685,29,302,4,179
2015-09-12,7,8,907,193,1546,22,216,4,484
2015-09-13,14,9,1019,146,1431,29,276,5,179
2015-09-14,11,19,1062,158,1516,24,246,7,212
2015-09-15,13,13,1097,105,1438,34,285,3,159
2015-09-16,11,17,1074,123,1383,41,276,1,132
2015-09-17,13,15,1051,124,1407,36,286,7,151
2015-09-18,1,5,945,118,1279,34,282,5,385
2015-09-19,10,8,964,162,1222,40,214,3,171
