Date,"Hope (painting)","Impala","Muhammad ibn Tughj al-Ikhshid","Lockheed C-130 Hercules in Australian service","Jochen Rindt","In Our Time (short story collection)","She Shoulda Said No!","Ferugliotheriidae","New wave of British heavy metal"
2015-07-01,39,543,6,128,176,69,39,6,1
2015-07-02,26,595,17,97,174,99,38,3,0
2015-07-03,39,568,8,49,209,76,37,6,0
2015-07-04,32,541,8,29,389,76,39,8,0
2015-07-05,43,587,10,33,604,99,41,7,2
2015-07-06,42,637,34,36,301,99,36,6,2
2015-07-07,24,620,9,36,268,100,49,16,2
2015-07-08,53,638,17,36,233,104,34,27,2
2015-07-09,37,614,4,30,193,63,31,9,1
2015-07-10,37,612,7,32,195,83,36,13,0
2015-07-11,54,564,18,30,195,68,53,9,0
2015-07-12,72,636,8,26,233,83,36,8,0
2015-07-13,84,739,14,28,267,106,48,5,0
2015-07-14,74,762,6,43,237,90,54,18,2
2015-07-15,62,706,10,28,251,92,43,10,2
2015-07-16,51,641,27,22,183,96,56,11,0
2015-07-17,50,748,15,12,215,95,49,5,0
2015-07-18,44,639,8,19,1479,89,38,7,1
2015-07-19,47,645,11,17,739,71,43,5,1
2015-07-20,42,790,9,30,583,102,50,5,1
2015-07-21,42,737,11,14,490,140,38,11,0
2015-07-22,51,737,9,12,360,123,35,7,0
2015-07-23,45,622,8,32,342,93,49,15,0
2015-07-24,40,939,50,32,294,65,61,17,1
2015-07-25,46,672,16,20,450,77,58,9,2
2015-07-26,42,704,19,21,589,78,52,8,1
2015-07-27,62,737,6,34,341,109,38,15,1
2015-07-28,50,728,6,26,265,115,52,9,1
2015-07-29,51,719,13,34,235,88,50,15,0
2015-07-30,27,787,14,34,206,88,48,17,0
2015-07-31,45,725,47,28,203,99,48,14,1
2015-08-01,48,813,17,24,198,99,31,12,1
2015-08-02,34,824,38,27,261,80,46,13,1
2015-08-03,49,1029,51,33,186,76,50,19,2
2015-08-04,45,1129,11,27,185,101,44,14,1
2015-08-05,49,1002,5,34,177,118,38,9,1
2015-08-06,33,716,25,24,170,96,53,13,0
2015-08-07,34,694,21,26,526,73,49,10,0
2015-08-08,34,686,11,12,423,59,34,8,1
2015-08-09,46,746,28,25,235,82,35,13,1
2015-08-10,44,764,26,28,769,70,42,11,1
2015-08-11,28,774,32,33,482,91,42,15,0
2015-08-12,19,782,18,31,393,89,68,12,0
2015-08-13,37,672,5,25,254,104,88,10,0
2015-08-14,44,657,17,29,378,81,64,10,1
2015-08-15,37,719,16,33,278,65,49,13,2
2015-08-16,212,717,18,35,276,207,57,16,3
2015-08-17,75,784,12,26,276,112,38,11,2
2015-08-18,43,813,22,33,259,147,61,7,0
2015-08-19,49,712,17,25,243,158,52,16,2
2015-08-20,48,666,105,25,231,123,45,12,3
2015-08-21,47,633,117,38,249,105,57,15,1
2015-08-22,48,638,102,18,243,67,33,10,1
2015-08-23,34,797,80,26,335,173,43,9,0
2015-08-24,35,782,78,23,307,129,45,14,2
2015-08-25,50,674,91,23,352,101,51,12,2
2015-08-26,39,694,71,25,260,98,59,10,1
2015-08-27,34,699,71,28,248,115,40,12,1
2015-08-28,34,671,61,24,235,60,42,12,1
2015-08-29,33,5050,61,34,219,73,38,16,3
2015-08-30,41,872,68,24,211,307,23,4,1
2015-08-31,37,891,52,30,260,170,42,14,1
2015-09-01,36,779,74,43,247,112,44,14,1
2015-09-02,40,627,74,31,242,248,47,8,2
2015-09-03,45,677,79,28,277,192,46,8,2
2015-09-04,36,717,91,25,379,255,63,22,0
2015-09-05,42,622,78,22,1192,425,43,10,2
2015-09-06,76,643,66,40,884,127,46,17,2
2015-09-07,38,705,77,23,868,97,55,13,1
2015-09-08,34,744,87,28,723,163,48,11,1
2015-09-09,55,649,73,25,442,110,41,11,1
2015-09-10,32,607,81,22,684,148,39,12,1
2015-09-11,34,650,137,86,405,84,38,59,1
2015-09-12,29,593,45,26,282,89,42,12,1
2015-09-13,43,662,41,17,322,95,54,14,0
2015-09-14,42,692,21,18,244,120,45,10,2
2015-09-15,37,636,22,37,222,153,40,12,1
2015-09-16,32,644,23,27,324,152,25,11,2
2015-09-17,36,670,18,33,252,104,41,13,1
2015-09-18,35,585,10,18,243,82,45,2,0
2015-09-19,29,578,17,24,278,79,45,13,0
2015-09-20,39,684,19,32,343,84,39,10,1
2015-09-21,49,662,11,26,270,138,43,6,2
2015-09-22,57,688,18,33,390,167,42,18,0
2015-09-23,29,728,18,28,258,129,50,13,1
2015-09-24,52,689,17,35,266,131,25,13,1
2015-09-25,61,634,17,25,192,121,40,11,1
2015-09-26,42,631,6,20,303,95,46,16,2
2015-09-27,54,705,19,21,363,126,47,14,1
2015-09-28,39,751,11,26,262,195,57,9,1
2015-09-29,35,738,14,36,169,189,42,12,3
2015-09-30,53,700,42,22,194,181,35,10,0
2015-10-01,31,646,19,30,217,115,47,14,0
2015-10-02,31,589,20,37,195,116,30,10,1
2015-10-03,38,671,25,30,190,156,34,13,2
2015-10-04,27,677,13,24,301,328,34,15,0
2015-10-05,43,731,9,45,229,250,46,14,1
2015-10-06,32,738,15,41,212,317,41,12,1
2015-10-07,44,739,18,56,266,155,65,10,0
2015-10-08,40,811,19,21,192,169,52,16,2
2015-10-09,26,699,18,41,189,112,31,14,0
2015-10-10,49,670,19,27,303,144,37,7,2
2015-10-11,52,633,10,23,504,183,53,9,0
2015-10-12,42,709,15,36,308,116,36,18,1
2015-10-13,43,994,17,24,247,168,51,9,2
2015-10-14,45,719,15,25,899,134,39,17,1
2015-10-15,47,709,15,26,373,128,56,14,1
2015-10-16,38,672,13,33,296,191,38,14,0
2015-10-17,42,653,13,20,246,164,43,12,2
2015-10-18,38,626,16,27,248,188,33,10,2
2015-10-19,55,699,21,33,218,230,48,13,1
2015-10-20,39,800,26,27,221,227,47,7,3
2015-10-21,49,701,10,23,192,201,44,11,0
2015-10-22,38,680,20,22,384,181,38,15,2
2015-10-23,42,696,16,27,277,160,45,12,1
2015-10-24,52,633,18,15,288,113,45,9,1
2015-10-25,47,833,14,22,746,110,46,15,3
2015-10-26,51,865,22,26,1127,173,57,16,1
2015-10-27,54,709,14,34,403,163,36,10,1
2015-10-28,45,884,22,31,294,154,37,9,2
2015-10-29,27,769,22,36,369,132,49,18,1
2015-10-30,27,656,21,47,346,131,49,22,0
2015-10-31,33,743,9,34,317,99,43,9,1
2015-11-01,61,1141,12,33,394,86,52,14,1
2015-11-02,67,1048,6,35,255,144,49,9,3
2015-11-03,43,915,11,19,211,122,33,7,2
2015-11-04,41,970,18,32,203,118,59,7,2
2015-11-05,43,919,6,42,177,118,43,8,0
2015-11-06,39,840,10,17,196,139,37,8,0
2015-11-07,44,733,26,32,198,86,48,19,0
2015-11-08,38,837,18,22,211,259,31,6,2
2015-11-09,54,774,16,26,169,162,44,6,0
2015-11-10,55,912,6,33,195,125,53,9,2
2015-11-11,70,740,31,27,336,121,44,7,2
2015-11-12,50,719,28,38,234,138,53,21,2
2015-11-13,41,644,12,26,254,120,41,7,2
2015-11-14,47,612,18,22,239,74,26,10,3
2015-11-15,113,666,14,22,372,97,69,14,5
2015-11-16,166,675,24,38,225,123,58,21,1
2015-11-17,53,634,14,42,177,101,49,15,1
2015-11-18,52,727,11,13,174,142,45,6,1
2015-11-19,55,714,11,28,162,132,40,10,2
2015-11-20,44,651,17,20,175,123,42,12,4
2015-11-21,49,612,15,16,146,99,38,6,2
2015-11-22,62,687,15,34,171,104,37,14,3
2015-11-23,55,801,13,34,264,113,41,11,1
2015-11-24,37,782,16,46,194,140,45,17,2
2015-11-25,67,828,14,31,206,122,45,13,0
2015-11-26,46,782,8,31,132,68,27,10,0
2015-11-27,52,663,16,30,526,64,37,10,1
2015-11-28,52,734,21,33,293,104,44,6,0
2015-11-29,77,874,16,29,357,133,39,11,2
2015-11-30,64,905,11,24,250,146,52,4,0
2015-12-01,58,944,16,27,217,160,42,17,1
2015-12-02,55,697,24,28,174,148,61,16,0
2015-12-03,48,824,16,28,224,105,36,12,2
2015-12-04,50,760,21,27,204,82,30,9,3
2015-12-05,36,585,23,41,152,93,39,16,0
2015-12-06,44,683,13,32,188,113,52,6,0
2015-12-07,61,716,12,26,143,146,44,8,0
2015-12-08,65,737,16,14,179,142,59,6,0
2015-12-09,39,728,27,34,211,144,48,13,1
2015-12-10,58,779,13,30,184,132,39,8,4
2015-12-11,43,610,16,26,164,105,46,14,1
2015-12-12,82,599,17,29,173,99,40,14,1
2015-12-13,54,646,13,21,174,115,45,10,1
2015-12-14,46,734,10,25,165,150,59,6,2
2015-12-15,49,708,19,36,176,126,47,11,0
2015-12-16,69,681,11,22,176,110,46,8,0
2015-12-17,38,685,13,13,154,119,35,10,1
2015-12-18,32,650,15,23,141,91,44,8,2
2015-12-19,43,953,6,25,172,92,26,5,0
2015-12-20,42,624,12,25,231,95,36,5,1
2015-12-21,49,781,11,19,417,78,54,4,1
2015-12-22,36,680,16,27,424,81,46,4,0
2015-12-23,60,579,9,15,187,73,35,5,2
2015-12-24,43,612,10,17,153,73,56,7,1
2015-12-25,23,545,13,12,163,47,43,9,1
2015-12-26,27,635,11,25,173,75,51,6,2
2015-12-27,36,661,12,38,189,70,49,8,0
2015-12-28,47,575,4,22,221,84,30,5,1
2015-12-29,45,645,14,23,204,107,38,8,1
2015-12-30,50,727,18,20,225,84,48,7,2
