Date,"Thomas C. Hindman","Titchwell Marsh","Crescent honeyeater","Hasan al-Kharrat","Love, Inc. (TV series)","Suillus salmonicolor","Sexuality after spinal cord injury","Allen Walker","Courageous-class aircraft carrier"
2015-07-01,38,10,10,32,43,12,0,209,34
2015-07-02,31,8,5,5,39,8,0,188,42
2015-07-03,43,10,14,4,43,10,0,167,44
2015-07-04,38,19,9,11,32,15,0,172,25
2015-07-05,52,11,11,3,26,6,0,147,34
2015-07-06,46,7,6,1,44,2,0,180,57
2015-07-07,57,15,18,7,36,19,0,187,79
2015-07-08,50,14,16,8,50,15,0,185,58
2015-07-09,55,8,12,1,33,10,0,165,45
2015-07-10,56,18,18,4,35,11,0,146,53
2015-07-11,54,11,13,2,48,9,0,136,56
2015-07-12,38,10,13,3,41,14,0,148,55
2015-07-13,36,6,9,2,30,7,0,144,48
2015-07-14,57,21,22,4,48,22,0,143,52
2015-07-15,56,9,13,0,42,8,0,168,70
2015-07-16,60,12,16,7,52,9,0,166,51
2015-07-17,34,7,10,9,33,8,0,375,36
2015-07-18,45,9,11,3,38,11,0,309,64
2015-07-19,38,10,12,4,54,4,0,204,51
2015-07-20,40,10,23,3,60,9,0,192,51
2015-07-21,54,15,15,3,33,7,0,165,50
2015-07-22,51,7,18,3,47,8,0,159,53
2015-07-23,71,21,23,9,47,13,0,145,58
2015-07-24,55,16,18,6,41,19,0,124,60
2015-07-25,49,14,16,7,40,15,0,143,59
2015-07-26,65,9,9,8,36,6,0,125,51
2015-07-27,60,14,20,2,44,18,0,125,63
2015-07-28,46,12,14,5,42,9,0,136,48
2015-07-29,81,33,19,5,55,17,0,134,55
2015-07-30,62,51,22,7,49,16,0,125,65
2015-07-31,53,21,22,3,33,17,0,124,58
2015-08-01,40,19,17,4,37,14,0,120,83
2015-08-02,54,15,15,2,47,15,0,109,92
2015-08-03,62,21,20,0,31,23,0,111,61
2015-08-04,43,22,16,7,38,13,0,132,65
2015-08-05,53,12,11,4,35,17,0,103,44
2015-08-06,44,15,18,3,50,11,0,87,56
2015-08-07,36,10,15,2,55,8,0,77,39
2015-08-08,47,10,15,2,37,11,0,120,61
2015-08-09,50,12,14,2,36,14,0,100,44
2015-08-10,34,14,15,7,28,14,0,101,51
2015-08-11,34,19,19,3,34,10,0,107,51
2015-08-12,58,13,9,1,39,9,0,109,53
2015-08-13,42,17,12,4,42,8,0,106,40
2015-08-14,38,12,19,2,57,15,0,114,45
2015-08-15,30,16,16,3,39,12,0,103,64
2015-08-16,53,20,23,9,43,20,0,125,69
2015-08-17,39,10,18,4,49,10,0,112,59
2015-08-18,48,10,13,4,36,12,0,118,46
2015-08-19,57,12,20,6,55,12,0,113,41
2015-08-20,50,16,15,8,55,15,0,98,49
2015-08-21,60,24,18,5,42,19,0,103,58
2015-08-22,37,11,13,5,52,10,0,91,44
2015-08-23,33,12,12,2,52,14,0,106,47
2015-08-24,46,11,13,4,34,17,0,104,71
2015-08-25,77,16,20,2,58,19,0,104,50
2015-08-26,30,19,14,16,120,15,0,127,45
2015-08-27,47,12,17,2,166,20,0,114,53
2015-08-28,44,18,14,3,115,11,0,81,42
2015-08-29,53,23,19,9,102,18,0,119,55
2015-08-30,45,11,16,5,83,6,0,121,53
2015-08-31,48,8,9,4,70,7,0,120,52
2015-09-01,45,22,63,4,55,26,0,94,83
2015-09-02,42,13,29,11,66,13,0,88,53
2015-09-03,47,13,19,7,34,18,0,104,37
2015-09-04,42,17,29,11,44,26,0,81,48
2015-09-05,41,17,22,6,51,28,0,101,41
2015-09-06,35,15,24,6,49,24,0,91,56
2015-09-07,33,17,19,5,56,24,0,86,56
2015-09-08,90,22,13,4,53,22,0,81,77
2015-09-09,54,23,15,4,39,18,0,91,55
2015-09-10,75,18,22,11,48,21,0,80,70
2015-09-11,100,62,63,6,34,68,0,89,90
2015-09-12,42,16,17,2,46,21,0,82,53
2015-09-13,39,10,7,5,52,18,0,89,53
2015-09-14,52,13,17,5,43,16,0,92,50
2015-09-15,35,15,15,10,35,17,0,83,60
2015-09-16,52,15,20,4,32,22,0,93,46
2015-09-17,51,16,10,1,38,18,0,94,332
2015-09-18,35,7,7,1,32,15,0,77,46
2015-09-19,42,12,18,5,35,40,0,98,41
2015-09-20,41,9,13,1,35,74,0,94,43
2015-09-21,30,10,13,16,44,37,0,79,48
2015-09-22,48,20,25,1,34,51,0,83,47
2015-09-23,39,14,19,8,44,26,0,85,47
2015-09-24,39,17,15,3,53,29,0,89,37
2015-09-25,45,11,12,6,32,26,0,91,51
2015-09-26,30,5,15,4,43,57,0,83,61
2015-09-27,38,17,18,7,41,70,0,96,47
2015-09-28,34,21,19,7,37,36,0,95,42
2015-09-29,52,19,17,2,36,33,0,75,55
2015-09-30,39,16,12,6,47,25,0,87,47
2015-10-01,49,19,13,2,26,27,0,95,55
2015-10-02,43,5,14,5,41,28,0,104,39
2015-10-03,39,18,26,3,36,54,0,92,55
2015-10-04,42,17,15,4,43,46,0,90,36
2015-10-05,28,19,20,8,62,39,0,85,40
2015-10-06,55,12,13,6,64,46,0,94,47
2015-10-07,103,19,26,5,92,50,0,80,58
2015-10-08,41,16,17,5,114,42,0,74,75
2015-10-09,48,18,31,6,77,22,12,80,50
2015-10-10,33,9,11,2,75,37,18,88,55
2015-10-11,47,22,15,2,62,49,35,89,61
2015-10-12,48,17,21,3,75,46,52,92,56
2015-10-13,51,16,18,8,65,30,40,70,57
2015-10-14,50,20,19,8,56,20,50,72,52
2015-10-15,45,9,14,7,37,29,36,131,53
2015-10-16,27,11,15,2,46,24,174,246,49
2015-10-17,36,15,19,8,46,26,115,151,66
2015-10-18,33,16,16,4,31,34,176,121,49
2015-10-19,48,20,41,6,48,26,331,101,52
2015-10-20,41,8,19,9,38,14,150,109,56
2015-10-21,44,13,17,1,44,17,3103,97,31
2015-10-22,48,32,27,1,44,12,72,84,58
2015-10-23,35,23,19,11,31,21,139,101,63
2015-10-24,20,8,22,6,52,17,66,97,50
2015-10-25,44,9,18,7,46,24,95,97,33
2015-10-26,45,21,24,7,35,24,62,74,50
2015-10-27,49,20,15,30,48,15,44,83,41
2015-10-28,51,24,19,9,35,17,39,104,40
2015-10-29,46,17,20,7,35,21,51,81,48
2015-10-30,45,28,20,4,26,21,47,85,53
2015-10-31,36,20,12,4,33,18,34,78,55
2015-11-01,53,19,24,8,39,21,66,80,37
2015-11-02,37,8,18,4,36,15,354,103,38
2015-11-03,73,13,11,4,30,15,102,81,60
2015-11-04,179,18,20,5,34,13,68,59,69
2015-11-05,55,34,10,9,43,10,58,73,89
2015-11-06,81,12,16,4,31,14,119,76,48
2015-11-07,37,23,25,4,30,24,98,85,61
2015-11-08,45,12,7,5,33,12,84,100,34
2015-11-09,40,15,13,5,25,15,104,76,30
2015-11-10,53,10,10,9,45,13,113,71,53
2015-11-11,39,10,11,4,43,11,77,78,40
2015-11-12,58,22,26,10,26,27,139,81,61
2015-11-13,39,12,14,4,27,13,101,93,51
2015-11-14,39,6,16,5,38,13,55,73,65
2015-11-15,36,22,19,7,39,17,77,88,41
