Date,"Cliff Clinkscales","Johnson Creek (Willamette River)","The Good Terrorist","USS Constellation vs L'Insurgente","Olympic marmot","Kedok Ketawa","Bobby Peel","Marvel Science Stories","Epsilon Eridani"
2015-07-01,4,15,49,22,53,10,12,13,181
2015-07-02,4,21,35,21,36,9,10,11,178
2015-07-03,1,18,22,20,39,14,10,10,135
2015-07-04,6,15,22,22,55,11,11,11,145
2015-07-05,7,31,25,57,55,12,14,27,149
2015-07-06,12,23,41,23,45,17,12,27,157
2015-07-07,9,21,35,44,60,17,22,17,160
2015-07-08,7,20,37,33,61,12,21,17,191
2015-07-09,8,19,42,30,65,9,15,10,150
2015-07-10,7,21,22,33,71,13,21,21,185
2015-07-11,5,14,29,26,54,8,17,14,151
2015-07-12,8,13,24,33,47,8,15,22,161
2015-07-13,10,7,46,29,51,5,7,4,200
2015-07-14,7,17,38,31,59,13,16,20,350
2015-07-15,7,14,36,30,61,10,12,11,334
2015-07-16,5,11,31,28,58,8,23,15,252
2015-07-17,5,15,27,20,38,11,19,11,237
2015-07-18,6,18,16,23,70,17,17,14,259
2015-07-19,5,17,52,16,70,4,9,10,211
2015-07-20,10,22,36,18,67,6,15,13,233
2015-07-21,9,15,36,17,74,11,10,14,251
2015-07-22,4,16,29,23,66,7,8,15,244
2015-07-23,3,16,30,39,52,10,19,14,368
2015-07-24,12,25,42,41,75,26,15,26,479
2015-07-25,12,15,21,23,51,13,14,13,281
2015-07-26,6,17,41,13,47,15,12,9,270
2015-07-27,7,27,27,29,86,11,16,14,312
2015-07-28,6,17,36,21,62,11,19,11,288
2015-07-29,9,22,43,31,73,18,27,19,229
2015-07-30,5,14,47,30,67,8,19,16,210
2015-07-31,7,22,39,29,82,22,37,18,250
2015-08-01,6,35,17,30,69,15,24,23,199
2015-08-02,11,29,32,28,93,19,22,14,210
2015-08-03,4,27,47,35,118,29,25,24,200
2015-08-04,3,22,32,32,73,14,23,22,192
2015-08-05,3,19,36,19,56,7,12,14,186
2015-08-06,5,22,34,16,75,13,37,11,201
2015-08-07,3,10,42,20,72,12,25,14,143
2015-08-08,1,24,30,23,62,12,21,18,141
2015-08-09,1,21,39,24,92,7,34,13,168
2015-08-10,6,44,31,23,97,13,15,14,175
2015-08-11,2,22,49,33,85,10,22,15,220
2015-08-12,6,19,61,31,61,10,52,11,182
2015-08-13,4,26,40,20,68,11,13,11,295
2015-08-14,5,23,21,24,72,12,88,15,458
2015-08-15,5,24,29,18,55,11,32,13,335
2015-08-16,4,20,37,24,80,15,34,19,215
2015-08-17,7,19,53,19,90,11,19,10,293
2015-08-18,3,20,43,24,57,7,16,12,260
2015-08-19,3,18,62,19,59,13,25,17,196
2015-08-20,5,24,28,24,44,11,27,12,171
2015-08-21,1,23,271,36,58,14,26,19,157
2015-08-22,5,15,112,25,51,8,25,9,166
2015-08-23,4,26,77,32,62,7,17,9,205
2015-08-24,6,27,68,37,55,12,26,9,178
2015-08-25,5,19,60,43,68,15,24,17,179
2015-08-26,16,14,47,40,60,10,12,16,171
2015-08-27,5,17,31,29,66,10,17,14,155
2015-08-28,9,18,17,27,253,12,12,18,191
2015-08-29,3,20,27,21,99,16,25,25,182
2015-08-30,2,8,34,25,75,2,14,5,151
2015-08-31,1,19,37,24,88,10,17,13,180
2015-09-01,5,28,42,31,82,15,22,27,152
2015-09-02,7,19,26,30,76,14,17,9,154
2015-09-03,8,8,38,19,49,17,17,15,185
2015-09-04,6,24,39,29,71,12,23,20,193
2015-09-05,1,18,38,24,53,11,14,17,157
2015-09-06,3,23,32,34,65,20,21,15,221
2015-09-07,5,20,43,36,76,12,24,18,248
2015-09-08,5,20,54,33,100,12,31,25,164
2015-09-09,4,23,51,33,67,14,27,16,178
2015-09-10,8,25,42,28,61,11,26,13,194
2015-09-11,6,57,49,81,111,71,64,63,247
2015-09-12,8,30,41,24,50,9,16,9,154
2015-09-13,5,17,47,27,50,10,12,7,184
2015-09-14,3,55,42,31,59,10,15,14,212
2015-09-15,2,33,55,38,54,11,25,12,181
2015-09-16,2,20,32,29,52,17,16,16,141
2015-09-17,5,23,36,31,49,11,18,17,185
2015-09-18,1,10,22,19,50,9,9,7,130
2015-09-19,3,16,23,23,50,9,18,13,106
2015-09-20,5,11,41,19,59,9,14,9,134
2015-09-21,2,18,36,22,41,7,9,7,180
2015-09-22,12,27,37,23,58,14,15,24,171
2015-09-23,3,18,31,41,52,12,21,18,163
2015-09-24,30,21,36,25,42,8,16,10,127
2015-09-25,11,18,28,26,46,10,12,18,165
2015-09-26,5,12,35,19,38,13,18,8,129
2015-09-27,5,10,51,19,51,10,30,11,146
2015-09-28,5,23,78,34,68,10,29,8,167
2015-09-29,3,16,52,19,68,11,17,16,157
2015-09-30,9,20,45,21,34,10,18,22,170
2015-10-01,5,26,34,41,49,18,20,20,159
2015-10-02,3,18,30,27,43,7,15,16,162
2015-10-03,3,18,33,30,50,25,21,24,165
2015-10-04,11,12,33,25,31,8,14,25,134
2015-10-05,4,27,35,27,59,7,24,22,148
2015-10-06,10,22,89,33,56,11,17,19,223
2015-10-07,9,18,117,35,56,12,22,23,197
2015-10-08,32,16,134,25,54,18,18,16,203
2015-10-09,3,23,80,34,50,13,17,14,157
2015-10-10,1,17,46,27,32,7,12,32,160
2015-10-11,1,11,39,19,59,9,10,10,169
2015-10-12,8,22,48,36,47,12,14,22,213
2015-10-13,3,18,63,42,54,14,20,19,187
2015-10-14,3,24,46,41,61,14,17,21,218
2015-10-15,21,26,44,52,42,13,25,11,247
2015-10-16,5,13,53,38,45,4,15,8,189
2015-10-17,2,10,46,28,34,8,18,9,163
2015-10-18,3,18,41,33,55,8,21,12,177
2015-10-19,3,20,46,29,56,10,12,14,200
2015-10-20,48,15,49,32,54,9,10,14,225
2015-10-21,17,18,48,33,52,13,15,12,223
2015-10-22,17,18,84,31,39,24,18,16,260
2015-10-23,10,27,41,44,62,17,22,19,193
2015-10-24,9,12,42,25,58,7,18,7,160
2015-10-25,5,15,42,25,40,11,11,34,169
2015-10-26,4,26,60,31,61,13,18,24,185
2015-10-27,10,14,47,37,47,10,17,12,196
2015-10-28,6,27,47,44,65,16,11,18,218
2015-10-29,11,16,44,33,68,20,20,23,206
2015-10-30,14,24,38,44,52,18,29,17,197
2015-10-31,3,16,39,40,45,10,10,15,172
2015-11-01,10,21,34,33,39,15,21,18,243
2015-11-02,7,26,48,37,45,9,7,15,205
2015-11-03,7,15,60,32,49,7,10,12,245
2015-11-04,5,17,47,43,50,13,18,24,232
2015-11-05,8,16,58,35,47,14,9,12,235
2015-11-06,11,11,31,51,45,9,17,13,182
2015-11-07,10,22,27,30,39,13,21,17,161
2015-11-08,4,11,36,26,28,7,13,14,188
2015-11-09,6,15,52,18,28,7,13,4,213
2015-11-10,7,13,37,27,39,5,17,15,361
2015-11-11,11,17,49,28,46,7,9,12,249
2015-11-12,7,32,55,40,50,18,31,17,263
2015-11-13,8,25,55,23,38,10,14,9,258
2015-11-14,15,12,80,27,34,7,11,11,174
2015-11-15,5,28,75,31,51,11,18,16,170
2015-11-16,12,25,66,38,64,21,24,21,199
2015-11-17,28,21,77,36,46,9,12,22,198
2015-11-18,7,17,69,31,53,11,9,13,209
2015-11-19,14,16,71,21,57,8,11,12,203
2015-11-20,4,14,61,40,43,13,12,12,191
2015-11-21,10,10,57,29,36,6,9,21,133
2015-11-22,4,17,50,17,46,7,13,17,194
2015-11-23,10,20,79,26,43,9,10,15,173
2015-11-24,3,16,56,28,52,12,14,16,245
2015-11-25,6,14,71,28,42,9,13,15,182
2015-11-26,7,7,65,31,44,9,20,15,136
2015-11-27,6,13,60,19,42,12,19,15,146
2015-11-28,9,6,58,19,58,6,10,6,166
2015-11-29,12,19,50,22,48,8,14,11,174
2015-11-30,7,9,61,37,50,5,6,8,178
2015-12-01,70,23,51,38,50,12,18,9,259
2015-12-02,15,15,68,27,55,12,11,11,265
2015-12-03,13,11,95,32,56,6,5,7,240
2015-12-04,8,14,59,39,59,15,20,11,169
2015-12-05,10,16,36,37,54,12,15,13,174
2015-12-06,9,18,41,19,44,5,11,8,187
2015-12-07,12,659,70,30,72,7,24,8,220
2015-12-08,17,624,75,34,57,9,8,7,235
2015-12-09,11,391,50,42,56,16,16,10,220
2015-12-10,10,107,56,29,52,11,11,10,183
2015-12-11,6,56,66,37,60,12,18,10,222
2015-12-12,10,42,42,33,49,13,16,14,148
2015-12-13,8,28,59,25,59,6,11,6,169
2015-12-14,7,38,35,32,49,6,10,9,410
2015-12-15,13,20,54,32,38,9,13,15,273
2015-12-16,26,27,49,28,50,8,9,20,414
2015-12-17,10,41,38,17,37,7,11,12,303
2015-12-18,2,59,32,23,31,6,11,7,264
2015-12-19,11,34,43,25,76,6,8,12,205
2015-12-20,19,15,48,16,38,5,12,5,191
2015-12-21,12,14,56,18,32,4,5,5,175
2015-12-22,6,24,53,16,42,6,9,10,161
2015-12-23,14,10,44,27,28,7,11,7,201
2015-12-24,7,11,38,26,30,6,8,7,159
2015-12-25,8,12,27,15,22,6,8,4,314
2015-12-26,16,12,32,25,29,6,9,8,166
2015-12-27,24,11,33,20,36,8,8,10,145
2015-12-28,19,11,85,25,34,3,10,8,199
2015-12-29,91,20,44,29,36,10,21,13,185
2015-12-30,11,14,48,25,166,9,9,13,192
2015-12-31,7,8,28,30,39,7,12,8,162
2016-01-01,14,17,22,23,30,10,22,14,158
2016-01-02,14,20,38,21,35,4,15,11,187
2016-01-03,30,13,50,21,51,7,17,13,174
2016-01-04,24,21,47,33,48,11,22,12,247
2016-01-05,20,14,37,25,54,6,15,7,256
2016-01-06,5,14,58,33,43,9,13,13,254
2016-01-07,11,11,39,16,48,9,13,7,232
2016-01-08,21,18,51,25,60,9,12,15,217
2016-01-09,8,11,40,23,47,5,13,11,187
2016-01-10,6,27,48,28,47,6,13,14,285
2016-01-11,8,14,54,40,43,7,12,11,228
2016-01-12,4,14,37,32,51,5,10,12,234
2016-01-13,5,23,45,34,33,5,9,5,263
2016-01-14,7,17,77,30,40,6,13,10,237
2016-01-15,8,17,37,46,38,12,9,11,241
2016-01-16,6,18,33,26,40,10,14,7,151
2016-01-17,9,8,49,18,41,6,5,5,174
2016-01-18,12,18,44,35,61,11,14,14,218
2016-01-19,8,11,53,28,39,9,5,10,217
2016-01-20,10,12,52,29,57,11,11,9,219
2016-01-21,6,16,30,30,58,17,18,14,303
2016-01-22,9,12,39,40,49,10,13,12,258
2016-01-23,16,15,60,24,49,14,14,13,190
2016-01-24,13,12,38,29,43,7,12,20,239
2016-01-25,11,17,35,25,43,10,18,9,247
2016-01-26,9,24,39,26,54,4,3,5,318
2016-01-27,4,11,28,36,48,2,5,11,242
2016-01-28,9,20,49,31,59,8,14,10,249
2016-01-29,14,15,29,19,35,4,13,7,224
2016-01-30,4,18,37,40,59,14,10,11,200
2016-01-31,6,17,31,26,48,3,10,6,194
2016-02-01,8,12,74,46,74,4,11,8,240
2016-02-02,11,10,122,39,146,7,13,16,211
2016-02-03,11,17,81,21,101,5,9,10,213
2016-02-04,2,13,105,27,41,5,15,5,203
2016-02-05,9,20,69,42,52,12,13,16,186
2016-02-06,10,20,49,26,46,9,11,14,190
2016-02-07,9,23,51,20,43,7,10,13,172
2016-02-08,11,21,50,33,104,8,13,10,197
2016-02-09,15,26,52,120,68,8,13,11,251
2016-02-10,3,23,100,75,57,11,17,20,198
2016-02-11,7,18,59,28,36,9,23,15,227
2016-02-12,8,18,37,41,52,15,52,14,198
2016-02-13,13,13,42,31,42,10,16,12,155
2016-02-14,9,16,38,33,49,150,15,10,236
2016-02-15,6,29,62,67,58,14,19,19,231
2016-02-16,7,21,81,38,40,7,11,11,236
2016-02-17,4,17,53,33,58,6,15,13,242
2016-02-18,11,22,64,30,52,5,9,14,211
2016-02-19,8,17,62,29,60,8,15,16,169
2016-02-20,10,20,37,25,40,7,9,12,187
2016-02-21,12,19,42,32,65,4,7,9,236
2016-02-22,8,23,49,22,47,3,15,6,216
2016-02-23,9,17,30,38,59,6,16,13,213
2016-02-24,7,13,38,35,51,1,9,14,214
2016-02-25,8,21,38,46,60,8,14,11,216
2016-02-26,3,27,46,33,50,10,17,13,199
2016-02-27,14,17,22,34,42,8,11,13,197
2016-02-28,4,14,44,34,48,10,13,17,252
2016-02-29,7,26,31,28,51,7,14,19,259
2016-03-01,3,28,60,25,56,4,8,6,189
2016-03-02,5,22,38,19,45,9,11,10,190
2016-03-03,7,21,52,29,58,3,15,9,265
2016-03-04,5,25,28,25,43,5,12,11,172
2016-03-05,6,21,35,27,48,13,12,18,171
2016-03-06,6,15,61,46,62,8,10,11,200
2016-03-07,7,28,72,33,55,7,12,10,216
2016-03-08,10,19,78,29,67,9,17,5,209
2016-03-09,8,14,64,33,58,10,15,12,189
2016-03-10,5,10,44,34,58,7,9,8,187
2016-03-11,5,12,35,44,54,7,5,9,183
2016-03-12,6,29,24,23,49,10,15,14,158
