Date,"Léal Souvenir","Zero Escape: Virtue's Last Reward","Newton's parakeet","Southern Cross (wordless novel)","Brougham Castle","Turboliner","Djedkare Isesi","James Russell Lowell","Ontario Highway 402"
2015-07-01,17,431,23,20,32,96,27,155,53
2015-07-02,11,527,20,9,19,33,27,177,46
2015-07-03,13,3101,23,13,31,26,27,161,30
2015-07-04,15,3748,18,10,25,41,20,132,34
2015-07-05,10,1855,27,9,51,50,2965,142,54
2015-07-06,11,1799,15,2,32,62,119,166,45
2015-07-07,10,1156,27,6,36,40,109,150,55
2015-07-08,34,1394,38,13,53,48,88,166,51
2015-07-09,23,1056,29,13,34,55,53,160,61
2015-07-10,20,766,22,12,26,51,45,154,38
2015-07-11,15,725,18,11,45,35,35,112,60
2015-07-12,14,737,16,8,38,33,50,123,60
2015-07-13,15,656,30,3,34,38,58,164,57
2015-07-14,19,812,34,19,36,40,38,168,66
2015-07-15,20,1072,23,6,30,31,28,137,56
2015-07-16,11,655,30,20,29,33,70,147,50
2015-07-17,10,591,29,10,34,33,37,108,29
2015-07-18,10,509,19,9,73,29,34,109,39
2015-07-19,7,504,26,5,36,42,51,137,50
2015-07-20,20,595,23,9,28,41,57,150,47
2015-07-21,10,595,17,8,25,60,67,122,45
2015-07-22,11,716,28,7,21,43,62,142,48
2015-07-23,23,743,26,13,40,45,48,139,69
2015-07-24,18,606,30,17,40,38,41,124,69
2015-07-25,10,562,23,15,39,45,47,106,51
2015-07-26,8,576,29,8,39,40,39,145,61
2015-07-27,19,637,28,15,40,41,50,173,68
2015-07-28,11,554,21,10,50,45,35,177,90
2015-07-29,15,529,36,21,38,26,55,160,61
2015-07-30,12,511,29,10,46,45,43,132,56
2015-07-31,15,435,29,16,38,67,32,159,51
2015-08-01,14,476,27,20,32,40,44,139,59
2015-08-02,15,473,32,17,33,34,26,113,44
2015-08-03,11,428,36,17,43,30,54,165,60
2015-08-04,19,479,22,20,40,40,35,169,43
2015-08-05,38,489,34,9,33,32,95,140,67
2015-08-06,14,511,21,13,36,46,62,270,64
2015-08-07,16,427,22,14,37,30,28,178,59
2015-08-08,13,382,21,7,37,34,34,148,38
2015-08-09,14,446,16,11,28,35,26,134,66
2015-08-10,21,455,24,14,21,44,27,156,31
2015-08-11,17,473,19,12,34,46,31,166,52
2015-08-12,18,476,25,11,56,47,43,167,77
2015-08-13,15,525,19,14,39,33,54,156,42
2015-08-14,16,489,46,12,35,35,24,161,48
2015-08-15,15,517,24,12,35,27,29,147,44
2015-08-16,14,497,25,13,46,51,39,159,56
2015-08-17,21,486,22,13,43,41,32,170,52
2015-08-18,19,595,21,9,34,66,37,152,49
