Date,"Westcott railway station","Theodore Komnenos Doukas","History of York City F.C. (1908–80)","Henry Hoʻolulu Pitman","Banksia attenuata","Viking metal","Burning Rangers","Ian O'Brien","Sabrina Sidney"
2015-07-01,14,16,0,0,20,231,36,8,0
2015-07-02,7,9,0,0,13,206,50,3,0
2015-07-03,12,23,0,0,11,267,43,4,0
2015-07-04,13,9,0,0,11,227,49,6,0
2015-07-05,5,19,0,0,10,225,47,12,0
2015-07-06,5,16,0,0,9,248,54,5,0
2015-07-07,27,16,0,0,16,248,56,15,0
2015-07-08,21,19,0,0,30,260,65,9,0
2015-07-09,17,17,0,0,12,246,55,10,0
2015-07-10,22,8,0,0,17,258,58,13,0
2015-07-11,10,12,0,0,10,255,48,4,0
2015-07-12,13,14,0,0,15,247,54,11,0
2015-07-13,11,23,0,0,15,272,48,5,0
2015-07-14,22,27,0,0,22,236,55,17,0
2015-07-15,12,57,0,0,20,284,60,16,0
2015-07-16,9,42,0,0,11,246,58,7,0
2015-07-17,12,57,0,0,13,276,47,11,0
2015-07-18,11,16,0,0,10,214,52,8,0
2015-07-19,12,37,0,0,15,247,64,6,0
2015-07-20,13,29,0,0,11,241,73,13,0
2015-07-21,20,24,0,0,13,273,48,10,0
2015-07-22,11,30,0,0,27,246,59,8,0
2015-07-23,18,55,0,0,21,285,47,18,0
2015-07-24,19,33,0,0,26,251,52,17,0
2015-07-25,21,60,0,0,15,226,51,10,0
2015-07-26,19,53,0,0,19,266,65,12,0
2015-07-27,17,32,0,0,25,255,42,14,0
2015-07-28,13,33,0,0,18,316,79,13,0
2015-07-29,12,215,0,0,24,285,54,19,0
2015-07-30,15,55,0,0,26,284,70,17,0
2015-07-31,23,52,0,0,22,298,38,22,0
2015-08-01,13,25,0,0,22,210,54,21,0
2015-08-02,20,30,0,2,21,252,67,13,0
2015-08-03,27,114,0,9,21,250,46,24,0
2015-08-04,17,23,0,0,18,259,37,15,0
2015-08-05,13,18,0,0,17,262,57,15,0
2015-08-06,14,33,0,0,22,258,58,18,0
2015-08-07,14,12,0,0,20,261,61,10,0
2015-08-08,9,23,0,2,14,238,50,13,0
2015-08-09,12,28,0,0,15,224,47,11,0
2015-08-10,23,22,0,0,27,254,38,14,0
2015-08-11,11,26,0,2,25,264,63,15,0
2015-08-12,14,23,0,0,22,275,47,13,0
2015-08-13,23,28,0,1,21,256,51,10,0
2015-08-14,21,13,0,1,20,272,49,12,0
2015-08-15,13,25,0,0,21,253,60,13,0
2015-08-16,18,47,0,0,20,264,50,58,0
2015-08-17,18,21,0,2,21,328,69,11,0
2015-08-18,16,15,0,2,19,289,67,12,0
2015-08-19,19,30,0,3,24,273,65,10,0
2015-08-20,17,32,0,1,21,275,58,19,0
2015-08-21,16,40,0,0,26,269,46,18,0
2015-08-22,10,25,0,2,19,308,54,11,0
2015-08-23,12,23,0,0,19,254,49,16,0
2015-08-24,13,28,0,0,24,266,49,11,0
2015-08-25,15,30,0,1,34,277,46,21,0
2015-08-26,13,20,0,0,21,274,54,14,0
2015-08-27,10,15,0,2,32,303,48,13,0
2015-08-28,19,9,0,0,17,271,44,16,0
2015-08-29,15,25,0,0,19,236,54,11,0
2015-08-30,14,19,0,0,15,267,48,15,0
2015-08-31,15,20,0,0,16,285,46,9,0
2015-09-01,22,19,0,0,36,245,34,17,0
2015-09-02,15,35,0,0,22,247,39,11,0
