Date,"Myotis alcathoe","Death on the Rock","SMS Nassau","Bessie Braddock","Mothers of the Disappeared","Mangrove swallow","German–Yugoslav Partisan negotiations","Eta Carinae","God of War II"
2015-07-01,7,42,25,40,35,5,7,359,479
2015-07-02,4,58,29,36,29,11,5,390,434
2015-07-03,12,54,18,34,41,10,8,447,450
2015-07-04,9,43,30,27,34,2,7,458,494
2015-07-05,9,61,27,56,33,5,7,362,497
2015-07-06,3,52,25,46,61,11,11,358,542
2015-07-07,17,48,29,33,56,9,11,354,510
2015-07-08,29,55,29,31,48,5,7,447,695
2015-07-09,12,51,30,27,40,6,8,444,562
2015-07-10,20,67,34,34,38,2,11,384,481
2015-07-11,13,42,34,37,24,11,12,385,630
2015-07-12,19,57,21,52,36,4,5,382,589
2015-07-13,18,35,33,40,27,4,6,420,607
2015-07-14,17,51,27,36,45,4,11,602,1229
2015-07-15,10,42,36,42,33,8,6,498,1095
2015-07-16,7,57,22,45,43,13,8,450,916
2015-07-17,9,44,21,43,34,3,8,454,819
2015-07-18,10,54,26,60,35,5,5,444,967
2015-07-19,25,51,28,54,41,9,5,474,857
2015-07-20,4,53,29,57,41,4,6,553,919
2015-07-21,13,55,26,37,40,9,5,631,718
2015-07-22,6,59,27,35,25,11,6,545,639
2015-07-23,16,54,29,51,49,11,8,499,625
2015-07-24,19,58,45,65,47,9,9,490,616
2015-07-25,11,48,27,61,40,8,13,801,748
2015-07-26,10,65,23,72,44,4,5,729,682
2015-07-27,40,63,27,127,46,10,12,609,711
2015-07-28,22,75,37,102,38,5,5,553,660
2015-07-29,27,68,29,48,43,9,12,692,669
2015-07-30,18,58,40,66,49,13,7,513,652
2015-07-31,23,46,40,46,71,5,16,458,669
2015-08-01,18,44,25,37,37,7,9,459,642
2015-08-02,16,48,38,67,39,4,9,503,693
2015-08-03,28,64,36,54,41,4,20,422,618
2015-08-04,17,58,36,41,60,11,13,415,607
2015-08-05,8,62,28,54,23,7,10,401,614
2015-08-06,20,56,35,37,43,7,12,418,586
2015-08-07,13,32,20,71,42,5,10,438,596
2015-08-08,10,55,164,72,30,7,6,393,585
2015-08-09,13,57,31,44,35,7,13,295,622
2015-08-10,13,53,35,53,38,6,7,407,540
2015-08-11,12,54,43,67,35,6,9,354,571
2015-08-12,19,48,33,54,49,6,10,380,559
2015-08-13,16,36,30,65,39,5,10,373,556
2015-08-14,15,64,25,71,44,10,10,497,521
2015-08-15,19,57,26,46,34,2,9,402,546
2015-08-16,19,57,41,48,44,10,14,454,566
2015-08-17,11,56,48,74,43,3,10,528,545
2015-08-18,12,76,36,75,35,5,13,499,550
2015-08-19,20,69,32,53,44,4,12,505,560
2015-08-20,13,61,51,68,46,6,8,499,526
2015-08-21,21,78,34,60,44,1,15,371,513
2015-08-22,14,63,28,45,30,3,5,304,603
2015-08-23,14,84,25,62,34,6,9,366,588
2015-08-24,21,75,37,61,44,6,9,368,550
2015-08-25,21,81,31,47,42,4,16,417,512
2015-08-26,9,83,35,59,38,3,17,381,496
2015-08-27,13,67,27,46,32,3,9,394,524
2015-08-28,11,81,40,66,33,11,8,365,547
2015-08-29,18,73,22,61,41,5,8,324,548
2015-08-30,7,73,28,116,35,9,7,397,586
2015-08-31,10,58,28,63,26,2,9,379,586
2015-09-01,18,72,44,42,52,3,17,376,489
2015-09-02,11,64,25,64,35,9,7,360,504
2015-09-03,14,59,41,57,53,5,18,397,488
2015-09-04,25,113,33,47,60,6,14,380,508
2015-09-05,15,63,23,49,41,7,11,305,542
2015-09-06,25,45,27,179,64,6,14,358,524
2015-09-07,24,404,25,79,47,15,14,384,521
2015-09-08,34,509,55,68,64,18,13,476,493
2015-09-09,12,161,47,46,93,7,13,362,443
2015-09-10,14,99,98,39,44,8,12,373,445
2015-09-11,64,106,106,83,105,4,61,409,506
2015-09-12,17,42,42,43,49,5,11,331,532
2015-09-13,13,56,41,47,51,4,7,502,523
2015-09-14,11,68,24,79,54,8,12,444,491
2015-09-15,26,61,33,70,47,8,12,373,462
2015-09-16,18,69,45,51,42,4,12,382,437
2015-09-17,14,45,31,69,44,6,11,377,508
2015-09-18,11,45,28,34,28,7,5,335,434
2015-09-19,11,45,35,36,30,4,10,331,481
2015-09-20,10,51,21,53,41,5,9,337,523
2015-09-21,10,43,39,67,46,3,6,364,434
2015-09-22,22,104,44,55,47,6,14,366,445
2015-09-23,16,58,34,49,49,9,15,363,468
2015-09-24,17,117,40,50,51,7,6,396,464
2015-09-25,12,78,27,49,55,8,12,405,439
