Date,"Hugh de Neville","Allah jang Palsoe","Powderfinger","George Bernard Shaw","Rosetta Stone","Seri Rambai","The Elder Scrolls IV: Oblivion","Neal Dow","SMS Kaiser (1911)"
2015-07-01,10,3,126,2182,2412,0,1422,5,21
2015-07-02,11,1,163,2156,2452,0,1447,4,16
2015-07-03,9,0,163,1857,2078,0,1461,3,22
2015-07-04,9,1,185,2097,2207,0,1386,3,26
2015-07-05,14,2,214,2212,2537,0,1440,3,22
2015-07-06,8,1,165,2131,2581,0,1703,3,17
2015-07-07,17,2,151,2153,2757,0,1510,5,35
2015-07-08,12,3,170,2041,2725,0,1395,3,22
2015-07-09,14,2,198,2132,2396,0,1435,2,27
2015-07-10,21,4,195,1962,2765,0,1384,5,20
2015-07-11,14,2,177,1762,2563,0,1275,5,37
2015-07-12,9,1,168,1998,2611,0,1385,4,33
2015-07-13,8,0,146,2239,2719,0,1436,3,18
2015-07-14,15,2,175,2151,2842,0,1472,2,32
2015-07-15,12,16,178,1988,6444,0,1383,8,26
2015-07-16,6,3,166,2074,3643,0,1393,3,27
2015-07-17,8,4,157,1934,2619,0,1334,3,26
2015-07-18,14,4,154,1876,2353,0,1287,2,15
2015-07-19,12,4,169,1891,6090,0,1364,5,21
2015-07-20,13,1,190,2093,4245,0,1487,2,27
2015-07-21,8,2,173,2102,3034,0,1415,1,16
2015-07-22,15,2,175,2025,3145,0,1459,2,29
2015-07-23,18,2,206,2088,2727,0,1436,2,19
2015-07-24,15,2,199,1990,2498,0,1466,4,35
2015-07-25,14,16,164,2008,2185,0,1339,6,30
2015-07-26,11,3,135,3540,2604,0,1513,2,21
2015-07-27,17,2,144,2623,2898,0,1450,5,38
2015-07-28,12,4,206,2200,2686,0,1341,5,29
2015-07-29,20,2,176,2189,2481,0,1362,1,54
2015-07-30,21,4,169,2333,2794,0,1270,4,39
2015-07-31,17,0,174,2250,2501,0,1592,1,32
2015-08-01,31,0,184,1872,2476,0,1217,2,27
2015-08-02,13,2,164,2077,2471,0,1410,3,40
2015-08-03,33,2,155,1989,2400,0,1265,1,35
2015-08-04,32,4,173,2114,2341,0,1240,3,36
2015-08-05,11,2,189,2096,2673,0,1163,5,20
2015-08-06,18,0,207,2072,2458,0,1114,2,35
2015-08-07,12,3,191,2009,2226,0,1155,2,30
2015-08-08,16,1,152,1945,2126,0,1108,3,145
2015-08-09,15,2,149,1941,2320,0,1158,0,29
2015-08-10,16,3,170,1940,2516,0,1210,3,20
2015-08-11,19,4,168,2017,3011,0,1197,3,35
2015-08-12,18,2,191,2080,3285,0,1182,4,29
