Date,Oran fatwa,Piano Concerto No. 24 (Mozart),Jean Bellette,Interstate 8,Mayabazar,Military service of Ian Smith,Boise National Forest,Juan Manuel de Rosas,Cincinnati Musical Center half dollar,Nominative determinism,Courtney Love,Camas pocket gopher,The Heart of a Woman,Shackleton–Rowett Expedition,7th Army (Kingdom of Yugoslavia),Gabriel Pleydell,Yesterday's Enterprise,Canadian National Vimy Memorial
2015-07-01,0,94,6,165,257,8,30,126,17,140,5279,14,48,20,2,0,131,414
2015-07-02,0,45,19,197,238,7,16,86,12,161,5323,14,32,30,3,0,119,272
2015-07-03,0,42,6,197,229,9,34,79,12,149,5179,14,41,30,3,0,158,312
2015-07-04,0,54,9,192,257,13,15,61,23,198,5117,17,33,33,0,0,715,195
2015-07-05,0,54,10,244,255,11,16,93,16,151,5452,16,48,35,0,0,159,239
2015-07-06,0,52,3,219,399,8,26,90,7,227,5824,13,62,30,5,0,174,413
2015-07-07,0,48,11,200,272,22,28,92,29,152,5882,23,60,29,0,0,162,308
2015-07-08,0,48,29,177,234,19,24,92,19,245,5657,32,61,32,8,0,126,594
2015-07-09,0,48,7,192,263,21,29,76,14,192,7072,23,49,23,1,0,168,445
2015-07-10,0,69,13,172,276,25,28,79,18,157,5425,20,54,30,1,0,127,416
2015-07-11,0,51,16,166,253,18,23,71,15,129,5523,19,42,20,4,0,123,261
2015-07-12,0,51,6,150,267,10,33,100,14,135,7424,26,34,18,3,0,157,305
2015-07-13,0,44,5,190,274,8,28,81,4,188,5820,19,46,27,0,0,146,367
2015-07-14,0,39,10,176,232,18,30,84,23,388,5328,26,80,24,2,0,112,283
2015-07-15,0,41,9,185,266,9,26,97,23,228,10729,20,49,19,4,0,97,233
2015-07-16,0,34,9,246,242,17,24,89,14,159,5108,19,58,27,1,0,132,224
2015-07-17,0,36,8,224,207,17,33,80,7,156,4939,17,44,73,2,0,117,247
2015-07-18,0,29,8,226,282,15,29,83,11,159,5030,13,59,29,1,0,98,195
2015-07-19,0,33,9,209,257,7,20,70,14,113,5350,22,48,40,4,0,154,205
2015-07-20,0,48,5,1215,222,23,35,105,16,135,5811,11,49,34,2,0,135,243
2015-07-21,0,43,7,698,250,29,49,101,8,127,5243,23,61,25,0,0,122,192
2015-07-22,0,36,14,403,281,16,41,94,13,452,5462,18,43,35,5,0,324,191
2015-07-23,0,43,13,302,253,17,48,89,17,213,6118,23,65,34,6,0,189,205
2015-07-24,0,58,16,317,247,14,28,67,21,204,5362,26,56,37,2,0,156,204
2015-07-25,0,48,13,208,352,20,32,83,14,270,5048,19,40,27,2,0,144,233
2015-07-26,0,52,13,235,342,12,37,70,18,167,5446,22,72,24,3,0,128,422
2015-07-27,0,58,16,207,191,15,36,112,15,149,5652,38,70,33,0,0,137,235
2015-07-28,0,35,11,211,187,15,28,134,14,145,5073,21,65,29,4,0,162,199
2015-07-29,0,64,17,209,189,17,35,103,22,165,4981,31,73,35,1,0,126,219
2015-07-30,0,47,18,198,296,21,29,102,17,305,4726,26,58,29,10,0,151,187
2015-07-31,0,41,15,221,285,25,23,56,20,146,8437,20,51,36,2,0,146,177
2015-08-01,0,39,18,185,250,10,26,64,17,101,8216,29,59,21,0,0,184,141
2015-08-02,0,53,14,195,249,22,24,77,21,122,6123,31,51,25,3,0,252,165
2015-08-03,0,49,21,216,207,22,23,72,21,521,5017,26,66,32,0,0,155,145
2015-08-04,0,36,12,177,198,21,23,99,14,169,5642,23,55,50,3,0,138,179
2015-08-05,0,41,10,156,232,15,22,78,10,272,5150,10,48,36,3,0,177,153
2015-08-06,0,40,10,166,201,16,32,98,16,196,4790,19,58,44,0,0,165,184
2015-08-07,0,71,7,207,295,13,22,76,17,120,4663,16,55,25,1,0,117,222
2015-08-08,0,75,12,229,216,8,32,65,8,139,5121,23,51,39,0,0,125,216
2015-08-09,0,61,7,205,313,13,25,102,19,99,5559,22,64,27,3,0,155,200
2015-08-10,0,34,15,226,228,18,27,135,13,194,4836,24,60,38,2,0,122,176
2015-08-11,0,49,13,303,265,19,32,89,27,147,4667,29,45,38,3,0,153,238
2015-08-12,0,47,13,304,243,25,36,90,16,176,5130,26,47,47,1,0,143,178
2015-08-13,0,46,10,220,257,16,25,120,9,127,5554,17,52,37,2,0,785,167
2015-08-14,0,38,14,211,183,24,39,96,14,144,5245,25,48,47,2,0,189,223
2015-08-15,0,52,14,257,242,22,16,366,17,101,5336,26,43,27,2,0,159,178
2015-08-16,0,49,18,222,233,21,23,247,18,120,5751,29,47,35,1,0,162,169
2015-08-17,0,37,9,220,210,16,43,112,14,133,5268,20,55,27,2,0,154,159
2015-08-18,0,51,10,297,203,16,30,403,12,149,5476,35,76,39,1,0,152,205
2015-08-19,0,49,13,258,250,18,18,148,507,184,5654,31,56,37,4,14,137,203
