Date,"Noel Park","Margaret Lea Houston","Everglades National Park","Fez (video game)","Crucifix (Cimabue, Santa Croce)","Me and Juliet","King Kalākaua's world tour","Villa Park","Sino-Roman relations"
2015-07-01,18,48,284,690,24,33,0,172,244
2015-07-02,21,34,249,579,108,26,0,143,267
2015-07-03,16,50,206,595,77,26,0,146,251
2015-07-04,14,41,253,654,152,32,0,153,290
2015-07-05,22,52,253,695,66,55,0,143,518
2015-07-06,14,51,302,738,30,46,0,228,404
2015-07-07,24,53,271,677,38,56,0,207,370
2015-07-08,22,50,288,673,30,33,0,283,305
2015-07-09,14,27,281,709,21,36,0,205,282
2015-07-10,27,25,292,586,30,31,0,196,325
2015-07-11,25,22,250,546,19,39,0,220,265
2015-07-12,33,34,242,624,13,30,0,228,302
2015-07-13,37,33,425,678,13,36,0,210,297
2015-07-14,28,24,363,633,29,29,0,220,275
2015-07-15,24,34,273,626,21,27,0,249,296
2015-07-16,12,29,259,629,16,28,0,229,264
2015-07-17,20,32,286,598,12,30,0,255,251
2015-07-18,21,30,255,659,31,43,0,252,238
2015-07-19,17,28,264,693,15,27,0,230,2906
2015-07-20,29,26,287,696,18,40,0,246,699
2015-07-21,19,18,277,708,21,33,0,295,469
2015-07-22,26,31,269,1917,20,37,0,253,400
2015-07-23,25,30,302,1062,27,34,0,288,356
2015-07-24,29,24,282,721,27,44,0,251,297
2015-07-25,28,42,346,716,22,54,0,220,346
2015-07-26,26,30,410,752,28,50,0,281,323
2015-07-27,36,31,326,729,26,42,0,346,299
2015-07-28,24,35,350,776,25,31,0,306,282
2015-07-29,32,28,325,741,22,50,0,341,274
2015-07-30,21,25,362,672,35,38,0,255,295
2015-07-31,31,27,278,693,26,45,0,301,265
2015-08-01,22,30,275,613,16,22,0,325,246
2015-08-02,21,31,248,703,19,41,0,351,316
2015-08-03,31,24,305,623,17,45,0,300,237
2015-08-04,25,25,281,707,38,48,0,343,274
2015-08-05,26,21,378,645,20,39,0,366,323
2015-08-06,31,34,316,604,36,40,0,319,303
2015-08-07,24,25,284,595,19,30,0,283,290
2015-08-08,24,30,259,816,20,28,0,507,305
2015-08-09,22,24,279,696,30,33,0,416,278
2015-08-10,26,23,276,648,23,43,0,384,251
2015-08-11,44,29,286,606,25,42,0,369,297
2015-08-12,38,24,249,637,13,39,0,370,283
2015-08-13,28,32,266,614,18,41,0,466,244
2015-08-14,24,17,271,561,19,35,0,1478,267
2015-08-15,26,37,264,572,15,32,0,538,254
2015-08-16,32,24,320,662,17,42,0,491,312
2015-08-17,20,28,306,721,26,42,0,394,296
2015-08-18,21,29,292,671,18,35,0,364,300
2015-08-19,32,29,274,650,29,45,0,311,276
2015-08-20,27,18,259,672,29,44,0,277,270
2015-08-21,27,30,304,587,15,42,0,275,237
2015-08-22,19,18,423,661,13,54,0,318,285
2015-08-23,22,29,356,700,23,27,0,356,288
2015-08-24,26,29,311,633,28,39,0,256,282
2015-08-25,26,32,349,591,49,36,0,359,266
2015-08-26,22,31,348,631,44,57,0,385,301
2015-08-27,18,21,314,566,35,47,0,299,273
2015-08-28,15,21,287,594,31,47,0,249,235
2015-08-29,24,26,256,595,37,65,0,343,212
2015-08-30,19,28,295,621,29,46,0,366,363
2015-08-31,18,29,374,716,30,51,0,377,388
2015-09-01,32,31,374,588,16,61,0,324,340
2015-09-02,21,27,364,595,26,48,0,339,347
2015-09-03,26,50,3963,583,84,63,0,266,369
2015-09-04,27,45,391,592,35,50,0,324,709
2015-09-05,32,46,264,668,19,43,0,277,717
2015-09-06,44,48,314,690,32,33,0,263,512
2015-09-07,43,56,381,612,21,56,0,268,481
2015-09-08,29,67,392,563,47,48,0,290,386
2015-09-09,28,41,403,553,30,47,0,244,315
2015-09-10,36,38,423,678,54,40,0,273,326
2015-09-11,67,45,365,682,43,70,0,329,326
2015-09-12,30,33,255,540,28,39,0,267,311
2015-09-13,31,43,349,631,52,50,0,467,374
2015-09-14,37,34,635,726,60,45,0,321,380
2015-09-15,35,36,451,677,28,54,0,345,312
2015-09-16,47,26,380,566,52,37,0,379,330
2015-09-17,33,25,348,512,40,46,0,348,297
2015-09-18,28,33,388,521,36,29,0,565,304
2015-09-19,30,29,324,505,58,42,0,661,1658
2015-09-20,21,24,326,615,33,40,0,587,593
2015-09-21,23,33,401,553,50,52,0,524,321
2015-09-22,29,32,454,572,48,49,0,859,340
2015-09-23,36,38,381,521,45,52,0,618,296
2015-09-24,22,33,373,572,57,41,0,548,309
2015-09-25,23,35,320,543,32,39,0,571,282
2015-09-26,22,27,284,536,26,27,0,2335,274
2015-09-27,27,109,351,643,37,47,0,2010,299
2015-09-28,26,58,418,550,50,63,0,577,373
2015-09-29,37,33,405,556,44,40,0,340,319
2015-09-30,26,40,449,581,67,45,0,326,315
2015-10-01,29,34,504,497,35,33,0,295,332
2015-10-02,23,50,422,494,38,36,0,288,266
2015-10-03,21,19,275,550,48,38,0,465,276
2015-10-04,18,38,332,529,47,38,0,418,273
2015-10-05,25,34,426,632,44,57,0,292,338
2015-10-06,30,38,495,601,55,38,0,251,297
2015-10-07,27,31,538,589,62,50,0,270,321
2015-10-08,28,39,449,536,48,54,0,296,322
2015-10-09,23,30,368,555,26,51,0,244,277
2015-10-10,22,29,253,620,36,51,0,217,283
2015-10-11,22,29,332,581,41,39,0,287,318
2015-10-12,23,35,415,740,67,51,0,246,294
2015-10-13,35,27,469,590,76,66,0,219,353
2015-10-14,25,31,480,600,51,43,0,225,294
2015-10-15,27,30,507,631,41,48,0,213,281
2015-10-16,17,35,401,560,27,28,0,180,241
2015-10-17,16,25,308,524,44,39,0,310,242
2015-10-18,18,27,434,613,44,36,0,260,284
2015-10-19,24,39,587,635,54,44,0,240,354
2015-10-20,28,35,467,646,72,42,0,251,401
2015-10-21,19,26,437,554,63,37,0,236,357
2015-10-22,26,50,487,579,72,57,0,224,303
2015-10-23,25,36,419,518,38,42,0,236,305
2015-10-24,19,34,269,538,29,32,0,343,222
2015-10-25,15,26,353,597,73,46,0,435,298
2015-10-26,30,24,476,675,57,56,0,351,304
2015-10-27,41,30,505,598,58,58,0,311,272
2015-10-28,33,51,499,554,46,43,0,242,339
2015-10-29,32,40,463,569,22,40,0,257,315
2015-10-30,25,31,409,599,30,56,0,246,290
2015-10-31,20,17,248,607,28,35,0,244,237
2015-11-01,22,21,317,692,37,38,0,342,310
2015-11-02,21,27,421,714,47,48,0,514,313
2015-11-03,20,54,507,648,29,24,0,340,304
2015-11-04,21,19,487,587,80,32,0,279,327
2015-11-05,22,28,547,614,36,48,0,318,278
2015-11-06,24,29,448,602,46,26,0,228,290
2015-11-07,26,31,343,668,33,37,0,291,274
2015-11-08,30,15,465,719,38,35,0,944,252
2015-11-09,16,40,494,641,49,50,0,319,291
2015-11-10,19,28,554,612,49,31,0,235,276
2015-11-11,33,36,438,672,47,41,0,205,258
2015-11-12,40,38,516,670,31,42,0,218,269
2015-11-13,19,24,422,556,30,28,0,197,203
2015-11-14,18,19,275,570,23,30,0,169,190
2015-11-15,33,22,379,645,32,48,0,168,223
2015-11-16,32,29,497,710,27,44,0,179,267
2015-11-17,17,26,482,610,49,37,0,178,324
2015-11-18,20,26,443,472,25,38,0,214,323
2015-11-19,17,28,481,541,44,51,0,143,244
2015-11-20,22,28,363,595,39,36,0,170,260
2015-11-21,18,23,264,579,23,42,0,238,202
2015-11-22,21,37,391,717,32,46,0,246,254
2015-11-23,25,25,463,604,32,46,0,241,267
2015-11-24,27,26,401,566,33,41,0,188,240
2015-11-25,17,21,382,608,28,33,0,227,219
2015-11-26,23,28,306,1246,24,29,0,164,218
2015-11-27,24,20,307,936,56,31,0,201,207
2015-11-28,30,24,304,721,25,34,0,332,198
2015-11-29,20,26,403,749,29,40,0,345,274
2015-11-30,19,42,475,707,28,41,0,227,298
2015-12-01,19,42,500,690,36,51,0,245,310
2015-12-02,27,38,510,670,34,36,0,215,242
2015-12-03,29,34,453,650,43,37,0,198,276
2015-12-04,16,38,524,610,51,34,0,186,259
2015-12-05,26,22,300,763,20,33,0,261,264
2015-12-06,26,31,496,874,29,36,0,261,791
2015-12-07,13,41,505,785,42,25,0,244,37367
2015-12-08,16,17,448,698,63,35,0,220,1312
2015-12-09,27,39,473,658,47,34,0,245,453
2015-12-10,24,33,529,982,56,35,0,192,433
2015-12-11,33,31,422,8020,55,33,0,208,385
2015-12-12,22,21,310,955,34,35,0,311,325
2015-12-13,22,20,380,1065,50,51,0,1176,450
2015-12-14,40,30,479,927,31,37,0,384,385
2015-12-15,19,30,405,698,48,50,0,277,353
2015-12-16,23,27,435,616,40,38,0,253,378
2015-12-17,27,20,446,617,31,36,0,218,318
2015-12-18,27,19,307,571,23,34,0,216,287
2015-12-19,14,13,259,592,14,23,0,389,293
2015-12-20,21,21,283,582,34,24,0,237,323
2015-12-21,22,36,371,603,20,37,0,232,280
2015-12-22,15,21,339,575,25,31,0,231,322
