Date,"Donnchadh, Earl of Carrick","Kona Lanes","SMS Kaiser Barbarossa","Carnotaurus","Shakespeare authorship question","The Shape of Things to Come (Lost)","George Calvert, 1st Baron Baltimore","Heffernan v. City of Paterson","The Greencards"
2015-07-01,14,6,6,1336,357,84,225,0,17
2015-07-02,13,12,11,1282,341,53,140,0,24
2015-07-03,19,4,12,1209,302,23,143,0,10
2015-07-04,11,6,18,1329,295,47,142,0,21
2015-07-05,19,8,18,1244,316,73,139,0,26
2015-07-06,11,15,9,1406,344,54,141,0,28
2015-07-07,28,9,6,1271,407,64,154,0,34
2015-07-08,17,14,14,1208,358,62,164,0,19
2015-07-09,14,3,15,1313,384,47,164,0,19
2015-07-10,21,7,6,1227,341,47,155,0,24
2015-07-11,15,3,11,1114,310,55,130,0,28
2015-07-12,13,9,9,1128,314,47,147,0,23
2015-07-13,18,7,16,1271,358,53,138,0,17
2015-07-14,22,16,11,1076,375,70,136,0,25
2015-07-15,18,2,8,941,369,63,126,0,28
2015-07-16,9,8,10,1020,400,54,124,0,23
2015-07-17,13,10,10,1056,416,47,107,0,18
2015-07-18,19,19,5,942,355,35,127,0,14
2015-07-19,14,8,5,956,425,49,120,0,18
2015-07-20,20,9,19,1043,494,51,150,0,21
2015-07-21,9,8,8,1003,471,43,106,0,24
2015-07-22,12,10,7,948,446,52,79,0,20
2015-07-23,20,14,7,831,514,46,109,0,33
2015-07-24,20,13,16,826,441,61,133,0,28
2015-07-25,16,9,14,806,483,57,116,0,18
2015-07-26,26,20,11,880,518,67,108,0,20
2015-07-27,18,9,8,882,485,63,153,0,35
2015-07-28,26,15,10,830,447,40,148,0,39
2015-07-29,18,12,9,852,456,49,164,0,34
2015-07-30,26,9,10,718,490,60,142,0,21
2015-07-31,27,5,7,776,436,56,113,0,29
2015-08-01,15,11,9,819,404,59,130,0,27
2015-08-02,30,16,9,831,429,65,100,0,38
2015-08-03,29,11,7,749,460,65,142,0,31
2015-08-04,26,10,5,686,575,62,150,0,34
2015-08-05,26,12,11,679,611,62,151,0,23
2015-08-06,47,10,8,701,480,55,157,0,25
2015-08-07,13,8,6,713,458,56,134,0,17
2015-08-08,16,10,92,724,484,50,132,0,22
2015-08-09,20,9,11,792,718,60,140,0,24
2015-08-10,35,16,16,675,1000,46,144,0,23
2015-08-11,17,12,14,690,897,63,166,0,33
2015-08-12,32,5,23,675,660,71,173,0,27
2015-08-13,22,11,10,676,805,69,143,0,21
2015-08-14,37,11,7,605,729,60,158,0,34
2015-08-15,38,44,6,727,674,54,122,0,33
2015-08-16,36,11,6,716,615,58,162,0,26
2015-08-17,32,4,6,664,712,50,169,0,24
2015-08-18,11,9,7,706,859,64,215,0,22
2015-08-19,57,15,8,617,1039,67,200,0,39
2015-08-20,64,7,18,647,1197,60,242,0,21
2015-08-21,18,11,8,582,1170,58,247,0,22
2015-08-22,31,6,3,540,1321,45,130,0,18
2015-08-23,21,5,9,580,1200,43,198,0,16
2015-08-24,50,17,13,560,1037,55,226,0,27
2015-08-25,69,6,9,571,1154,62,250,0,29
