Date,"Gudovac massacre","Little Nemo (1911 film)","St Cuthbert Gospel","Clathrus ruber","James Moore (Continental Army officer)","Temperatures Rising","Battle of the Coral Sea","Wolfenstein 3D","Saint Luke Drawing the Virgin"
2015-07-01,2,54,38,64,17,31,761,681,15
2015-07-02,12,33,22,56,16,40,770,562,26
2015-07-03,1,38,36,97,19,19,553,638,17
2015-07-04,1,43,40,54,27,20,750,613,17
2015-07-05,4,47,55,55,20,41,690,591,22
2015-07-06,6,39,37,90,24,27,783,642,14
2015-07-07,5,51,37,79,20,40,730,643,9
2015-07-08,6,45,57,57,19,40,679,618,19
2015-07-09,8,41,46,45,21,27,1023,617,15
2015-07-10,11,39,66,58,23,33,761,598,13
2015-07-11,9,46,42,70,16,23,605,586,13
2015-07-12,10,43,51,57,12,28,696,567,23
2015-07-13,7,39,32,63,13,31,743,565,12
2015-07-14,3,44,53,76,18,25,718,613,20
2015-07-15,2,40,41,64,12,36,647,557,9
2015-07-16,8,43,41,147,16,26,683,609,20
2015-07-17,4,44,44,92,23,22,625,564,5
2015-07-18,6,33,39,95,18,27,554,579,9
2015-07-19,8,50,40,67,14,43,746,687,7
2015-07-20,1,46,44,74,10,18,799,1010,17
2015-07-21,6,55,30,75,9,41,789,705,9
2015-07-22,3,40,43,72,22,26,792,585,11
2015-07-23,4,69,30,127,30,28,753,650,12
2015-07-24,8,63,51,114,20,37,740,802,13
2015-07-25,8,62,35,105,22,31,851,686,8
2015-07-26,4,39,41,123,21,58,725,765,9
2015-07-27,4,59,62,97,29,32,845,752,10
2015-07-28,5,51,42,59,21,29,828,775,15
2015-07-29,2,51,44,73,32,35,802,694,21
2015-07-30,4,44,41,58,29,27,914,1009,13
2015-07-31,6,50,55,63,21,27,720,603,18
2015-08-01,5,58,55,69,14,40,615,593,9
2015-08-02,7,52,38,104,18,26,743,618,14
2015-08-03,6,55,63,109,34,26,675,558,8
2015-08-04,5,48,57,102,16,40,726,600,11
2015-08-05,8,48,68,86,23,39,789,564,16
2015-08-06,6,47,51,85,23,13,880,593,17
2015-08-07,10,47,40,73,22,27,750,555,19
2015-08-08,7,44,45,108,15,35,623,582,3
2015-08-09,5,34,41,169,17,34,840,538,18
2015-08-10,8,50,51,166,34,22,836,585,10
2015-08-11,2,35,48,87,22,35,820,567,9
2015-08-12,2,39,37,66,15,17,806,557,13
2015-08-13,5,42,45,70,27,18,759,579,14
2015-08-14,2,47,51,76,29,40,859,496,13
2015-08-15,1,52,49,75,16,29,993,536,16
2015-08-16,4,42,47,81,15,43,952,528,17
2015-08-17,11,53,43,70,20,32,853,629,12
2015-08-18,5,53,41,99,22,42,806,1146,16
2015-08-19,9,58,46,69,21,50,767,672,17
2015-08-20,29,51,43,58,17,31,756,556,12
2015-08-21,17,55,57,73,28,19,703,595,12
2015-08-22,4,39,54,52,22,39,716,533,18
2015-08-23,3,44,48,65,23,43,665,578,22
2015-08-24,5,90,51,84,37,32,777,580,9
2015-08-25,3,79,64,741,23,38,893,644,20
2015-08-26,10,48,63,141,33,31,689,546,28
2015-08-27,3,43,55,91,26,21,683,593,17
2015-08-28,6,48,51,480,23,37,853,734,11
2015-08-29,3,38,50,265,25,25,628,661,16
2015-08-30,5,29,25,156,12,42,749,677,42
2015-08-31,3,61,39,98,20,38,828,649,18
2015-09-01,4,62,61,98,24,28,762,584,19
2015-09-02,5,47,59,101,23,29,860,601,26
2015-09-03,16,46,34,106,15,25,779,569,26
2015-09-04,9,40,55,156,16,24,784,552,17
2015-09-05,3,52,41,97,18,19,711,582,19
2015-09-06,10,57,40,112,23,30,549,687,22
2015-09-07,4,58,48,89,18,28,740,602,30
2015-09-08,20,43,58,164,27,45,765,621,54
2015-09-09,5,54,69,118,20,34,743,567,29
2015-09-10,7,85,56,128,24,28,679,507,27
2015-09-11,4,76,92,140,77,34,702,553,24
2015-09-12,6,46,32,96,23,26,535,550,19
2015-09-13,6,48,39,137,30,39,612,572,19
2015-09-14,3,48,54,145,19,27,710,652,26
2015-09-15,8,56,56,128,29,25,773,542,15
2015-09-16,7,40,45,182,20,28,733,511,23
2015-09-17,4,57,42,207,23,31,630,581,26
2015-09-18,1,29,39,220,11,19,646,531,28
2015-09-19,2,33,44,94,23,28,507,497,21
2015-09-20,5,44,26,129,14,24,625,493,15
2015-09-21,8,42,48,109,12,43,726,531,28
2015-09-22,7,44,52,231,22,18,716,559,25
2015-09-23,1,51,62,151,19,29,979,588,36
2015-09-24,1,44,47,77,20,32,693,629,30
2015-09-25,8,41,42,91,24,30,675,562,26
2015-09-26,7,35,28,96,14,31,518,522,22
2015-09-27,1,47,47,100,22,36,648,576,32
2015-09-28,11,50,45,87,27,33,762,662,45
2015-09-29,2,44,51,85,17,36,789,550,45
2015-09-30,4,37,42,89,25,22,730,569,48
2015-10-01,3,39,54,73,21,28,612,584,36
2015-10-02,10,26,41,80,31,34,700,581,23
2015-10-03,2,56,40,67,34,19,559,596,36
2015-10-04,6,29,46,109,13,27,557,605,29
2015-10-05,4,58,55,110,18,33,741,622,39
2015-10-06,6,44,55,184,22,31,1031,620,31
2015-10-07,1,44,53,91,26,18,749,552,49
2015-10-08,4,52,50,106,18,22,1327,568,38
2015-10-09,6,42,48,70,25,18,702,516,31
2015-10-10,7,39,35,66,12,20,555,515,32
2015-10-11,7,57,39,89,9,23,692,520,32
2015-10-12,1,50,46,96,21,15,682,613,35
2015-10-13,2,54,54,96,21,30,946,607,43
2015-10-14,3,45,53,75,36,31,825,571,33
2015-10-15,2,38,57,70,36,13,829,577,36
2015-10-16,3,32,49,47,20,16,679,612,14
2015-10-17,6,31,25,58,18,36,636,565,36
2015-10-18,0,43,40,103,13,35,613,572,79
2015-10-19,10,38,52,99,27,33,763,568,56
2015-10-20,12,44,41,117,25,26,821,544,49
2015-10-21,6,44,58,80,20,34,816,532,42
2015-10-22,2,53,67,93,24,23,863,565,47
2015-10-23,5,57,66,85,34,25,730,648,54
2015-10-24,8,47,52,53,11,22,590,545,74
2015-10-25,9,44,42,128,23,42,724,510,470
2015-10-26,4,49,50,101,28,37,954,557,230
2015-10-27,8,37,51,74,35,26,1008,541,32
2015-10-28,4,54,45,122,23,37,860,547,35
2015-10-29,1,51,43,121,36,35,827,644,37
2015-10-30,3,48,63,96,55,26,764,575,43
2015-10-31,7,41,40,122,19,35,569,473,30
2015-11-01,5,57,46,88,28,27,691,506,44
2015-11-02,6,54,54,65,36,37,929,550,58
2015-11-03,6,36,41,94,28,17,886,601,30
2015-11-04,6,34,40,107,29,22,957,635,35
2015-11-05,1,46,48,97,49,27,972,642,38
2015-11-06,2,40,58,173,37,17,838,630,28
2015-11-07,5,55,42,103,17,34,620,577,53
2015-11-08,4,36,44,79,18,27,715,644,23
2015-11-09,8,39,68,67,19,182,1015,635,50
2015-11-10,5,44,42,81,39,54,979,697,38
2015-11-11,3,49,48,76,20,39,979,623,25
