Date,"Subtropical Storm Andrea (2007)","White-rumped swallow","Dr. Jekyll and Mr. Hyde (1887 play)","John Sherman","Belgium national football team","Kuiper belt","Manuel Marques de Sousa, Count of Porto Alegre","John Gielgud","The Magazine of Fantasy"
2015-07-01,19,12,0,82,2004,1642,17,595,1
2015-07-02,15,7,0,104,1851,1953,12,684,0
2015-07-03,13,12,0,86,1600,1645,6,643,8
2015-07-04,10,7,0,70,1864,1408,13,724,9
2015-07-05,15,6,0,83,2212,1608,14,824,12
2015-07-06,11,4,0,82,2675,3591,21,761,0
2015-07-07,14,5,0,84,2125,3718,16,692,0
2015-07-08,17,5,0,126,2631,3007,18,670,9
2015-07-09,21,8,0,92,2362,3748,19,675,67
2015-07-10,22,37,0,79,2089,4264,17,877,6
2015-07-11,18,8,0,70,1932,3905,12,845,1
2015-07-12,18,2,0,81,1912,7760,15,1086,0
2015-07-13,21,8,0,74,2142,14199,8,887,0
2015-07-14,21,3,0,85,2144,66304,19,766,15
2015-07-15,22,3,0,93,1928,45096,19,698,50
2015-07-16,25,12,0,71,2532,28422,16,699,60
2015-07-17,26,2,0,109,2143,14103,14,774,115
2015-07-18,14,4,0,72,1877,10316,28,946,52
2015-07-19,15,4,0,91,2046,9105,16,1040,102
2015-07-20,17,1,0,90,2015,7268,14,773,127
2015-07-21,10,5,0,100,2092,5184,19,819,103
2015-07-22,11,8,0,85,2448,5150,14,776,137
2015-07-23,18,9,0,79,2680,4328,16,788,75
2015-07-24,22,6,0,128,2034,4267,14,751,125
2015-07-25,22,4,0,64,2301,4619,19,948,179
2015-07-26,27,2,0,64,2410,3233,11,954,143
2015-07-27,18,6,0,77,2080,3212,17,827,83
2015-07-28,14,4,0,98,2041,3055,14,749,101
2015-07-29,27,7,0,102,1913,2837,36,765,111
2015-07-30,19,2,0,88,1690,2097,11,705,131
2015-07-31,26,1,0,112,1480,1984,15,757,108
2015-08-01,18,4,0,89,1592,1580,16,850,165
2015-08-02,27,3,0,77,1873,1588,14,879,133
2015-08-03,27,3,0,62,1584,1499,21,711,120
2015-08-04,23,4,0,87,1678,1751,20,838,182
2015-08-05,14,2,0,85,1653,2151,12,1149,151
2015-08-06,21,2,0,86,2284,1516,19,800,148
2015-08-07,21,6,0,95,2049,1451,13,738,174
2015-08-08,18,7,0,60,2285,1286,10,864,178
2015-08-09,20,5,0,60,2258,1263,11,986,295
2015-08-10,20,5,0,77,2070,1422,21,784,278
2015-08-11,20,6,0,78,1739,1620,18,807,303
2015-08-12,18,5,0,80,1607,1509,12,749,297
2015-08-13,19,2,0,83,1696,1564,12,774,361
2015-08-14,17,9,0,100,1865,1380,27,725,349
2015-08-15,15,1,0,83,2553,1173,23,851,321
2015-08-16,17,7,0,279,2545,1471,22,992,279
2015-08-17,18,6,0,134,2609,1588,12,847,312
2015-08-18,20,3,0,78,3346,1346,14,811,452
2015-08-19,29,4,0,69,2490,1386,15,1131,566
2015-08-20,28,7,0,84,2449,1310,11,853,547
2015-08-21,29,2,0,95,2286,1261,28,770,551
2015-08-22,24,2,0,69,2584,1337,16,834,780
2015-08-23,16,7,0,73,2462,1155,12,992,577
2015-08-24,32,3,0,88,2825,1159,11,950,518
2015-08-25,32,4,0,82,2353,1460,22,1559,466
2015-08-26,30,4,0,77,2973,1189,17,731,591
2015-08-27,35,5,0,89,3018,1280,12,781,577
2015-08-28,43,3,0,71,3406,1361,16,981,819
2015-08-29,59,8,0,78,3711,2262,16,861,839
2015-08-30,39,8,0,95,4850,1779,18,921,472
2015-08-31,42,5,0,198,4953,2218,8,890,453
2015-09-01,37,4,0,148,4140,1810,25,834,585
2015-09-02,31,3,0,98,4782,2139,14,735,659
2015-09-03,28,3,0,100,8915,1422,20,764,833
2015-09-04,36,15,0,101,7139,1202,15,762,732
2015-09-05,25,4,0,70,4589,950,15,807,1075
2015-09-06,37,5,0,96,7824,1092,15,985,824
2015-09-07,26,6,0,82,5459,1430,17,952,900
2015-09-08,21,3,0,131,3710,1593,13,811,763
2015-09-09,31,5,0,107,3185,1419,18,636,728
2015-09-10,27,5,0,96,2284,1420,16,836,862
2015-09-11,81,8,0,158,2085,2059,52,787,1032
2015-09-12,28,2,0,78,3422,1450,10,779,1061
2015-09-13,19,4,0,75,2400,1260,9,928,982
2015-09-14,34,10,0,70,2850,1379,16,1071,950
2015-09-15,26,5,0,132,2070,1213,19,774,1247
2015-09-16,19,3,0,69,1727,1232,14,966,1109
2015-09-17,31,11,0,83,1808,1309,18,691,1325
2015-09-18,20,4,0,75,1540,1721,12,697,1210
2015-09-19,18,3,0,107,2268,1151,17,903,1570
