Date,"Apatosaurus","Edward III of England","William Henry Bury","Wood Siding railway station","Here We Go Again (Ray Charles song)","Brabham","Vampire","Zenobia","U.S. Route 113"
2015-07-01,2596,1742,23,16,47,179,3214,372,29
2015-07-02,2241,1653,30,6,32,195,3510,485,39
2015-07-03,2133,1584,24,10,46,205,3028,485,57
2015-07-04,2178,1680,13,11,45,256,3132,548,43
2015-07-05,2221,1924,18,11,31,363,3298,636,50
2015-07-06,2427,2037,37,5,36,301,3467,513,38
2015-07-07,1957,1943,34,21,46,261,3393,436,55
2015-07-08,1879,2092,32,14,50,207,3801,440,46
2015-07-09,1692,1728,28,15,36,177,3589,396,35
2015-07-10,1612,1905,23,15,61,183,3528,385,54
2015-07-11,1955,1697,26,10,41,207,3553,322,49
2015-07-12,2208,2058,25,9,40,209,4016,502,38
2015-07-13,2071,2043,35,8,42,207,4018,540,35
2015-07-14,1545,1849,32,21,53,202,3646,422,48
2015-07-15,1564,1790,24,11,36,199,3576,463,39
2015-07-16,1468,1683,25,6,54,191,3460,798,34
2015-07-17,1437,1840,21,13,41,199,3434,456,23
2015-07-18,1522,2326,30,10,27,254,3506,409,55
2015-07-19,1604,2328,24,9,45,197,3692,472,37
2015-07-20,1481,2206,27,10,45,194,3914,429,36
2015-07-21,2028,2185,23,18,43,233,3468,472,57
2015-07-22,2325,2024,29,6,37,187,3557,458,46
2015-07-23,1630,1743,33,27,81,212,3488,493,37
2015-07-24,1515,1903,41,15,62,188,3299,507,40
2015-07-25,1440,1790,26,17,50,225,3406,423,79
2015-07-26,1551,2141,26,13,47,344,3882,444,42
2015-07-27,1483,2177,34,15,56,255,3960,729,51
2015-07-28,1274,2012,20,12,45,227,4042,457,48
2015-07-29,1080,1912,29,16,55,237,3809,398,38
2015-07-30,1098,1889,48,11,39,240,3605,396,45
2015-07-31,1035,1728,31,24,48,206,3432,449,66
2015-08-01,1051,1678,34,11,61,232,3698,393,70
2015-08-02,1075,1960,40,15,47,172,3554,460,63
2015-08-03,952,1773,42,25,61,196,3243,334,46
2015-08-04,1087,2371,30,15,58,205,3411,420,42
2015-08-05,998,3015,36,11,42,184,3781,341,42
2015-08-06,829,1952,26,14,50,156,3427,330,37
2015-08-07,887,1664,38,13,63,150,3282,357,49
2015-08-08,867,2215,33,10,37,156,3532,329,53
2015-08-09,940,1983,31,21,46,177,4071,371,57
2015-08-10,878,2080,25,16,50,298,3765,308,34
2015-08-11,851,2097,51,17,68,247,3594,363,40
2015-08-12,877,2065,40,9,47,210,3553,558,48
2015-08-13,797,1800,56,15,47,201,3369,393,40
2015-08-14,730,2312,71,19,63,214,3219,368,41
2015-08-15,846,1929,29,12,45,198,3463,344,62
2015-08-16,903,2268,44,14,67,200,3663,426,52
2015-08-17,854,2491,37,21,47,301,3616,401,45
2015-08-18,830,2060,58,13,49,202,3591,388,35
2015-08-19,780,2076,36,24,57,223,3663,1667,35
2015-08-20,669,1964,47,17,57,230,3443,1309,40
2015-08-21,736,2180,54,16,68,247,3594,646,42
2015-08-22,648,1947,34,12,44,223,3451,673,52
2015-08-23,717,3187,46,14,48,272,3746,789,48
2015-08-24,721,2444,44,9,53,265,3722,1820,56
2015-08-25,596,2168,50,21,54,249,3575,1836,30
2015-08-26,618,2456,50,11,61,191,3374,1065,31
2015-08-27,609,2114,46,7,51,215,3273,1023,20
2015-08-28,636,2090,40,14,43,165,3383,575,44
2015-08-29,656,1946,33,16,45,180,3277,563,56
2015-08-30,672,2163,55,14,52,206,3954,859,50
2015-08-31,731,2316,28,12,52,185,3659,970,40
2015-09-01,623,2127,31,18,61,173,3765,1446,35
2015-09-02,634,1988,43,11,51,177,3618,1234,37
2015-09-03,711,1988,53,14,42,137,3280,946,32
2015-09-04,660,2010,56,17,39,195,3252,1146,35
2015-09-05,615,1906,27,13,50,244,3448,1035,27
2015-09-06,681,2132,31,20,72,300,3610,922,39
2015-09-07,729,2390,31,19,44,237,3826,927,55
2015-09-08,646,2463,35,30,48,224,3679,949,26
2015-09-09,616,3453,49,17,37,215,3474,1260,28
2015-09-10,641,2884,39,18,52,201,3392,781,36
2015-09-11,652,2188,70,64,107,258,3380,656,80
2015-09-12,564,2069,27,12,46,190,3459,544,22
2015-09-13,788,2475,21,8,49,172,3771,538,32
2015-09-14,756,2462,43,12,45,202,3621,566,37
2015-09-15,679,2278,48,15,41,182,3456,506,30
2015-09-16,679,3920,30,13,51,216,3803,469,23
2015-09-17,701,2774,42,12,54,228,3477,445,25
2015-09-18,676,2279,26,7,48,258,3264,493,30
2015-09-19,612,2783,34,10,38,229,3563,414,40
2015-09-20,742,2490,23,10,45,251,4022,419,38
2015-09-21,718,2777,37,8,55,231,3732,456,37
2015-09-22,667,2367,46,15,46,286,3645,407,30
2015-09-23,644,2556,26,17,51,221,3592,368,37
2015-09-24,755,2325,24,12,54,200,3630,366,27
2015-09-25,686,2213,26,17,58,199,3559,581,31
2015-09-26,712,2337,20,7,31,196,3832,350,26
2015-09-27,729,2310,31,10,33,278,4264,416,30
2015-09-28,767,2634,28,12,36,252,3939,424,32
2015-09-29,837,2357,29,20,64,254,3720,459,27
2015-09-30,838,4503,23,11,38,232,3668,410,39
2015-10-01,704,3232,31,15,42,185,3582,398,36
2015-10-02,762,2553,36,8,39,211,3891,370,31
2015-10-03,719,2404,37,21,44,180,3873,341,32
2015-10-04,731,2541,32,5,49,178,4399,418,19
2015-10-05,811,2249,35,12,45,194,4203,1058,33
2015-10-06,957,2202,37,21,52,236,4093,699,35
2015-10-07,973,2594,33,20,44,259,4070,449,35
2015-10-08,989,4190,37,10,50,178,4252,544,29
2015-10-09,873,2476,33,15,69,202,4264,373,44
2015-10-10,757,2574,30,10,47,241,4130,337,32
2015-10-11,899,2644,25,10,39,326,4263,403,31
2015-10-12,815,2653,45,19,41,265,4323,510,31
2015-10-13,803,2656,33,10,42,273,4212,396,26
2015-10-14,833,2722,34,13,36,246,4119,342,40
2015-10-15,856,2933,62,15,42,237,4333,396,47
2015-10-16,867,2233,31,12,43,204,4209,394,20
2015-10-17,1058,2402,31,14,54,218,4418,340,22
2015-10-18,1034,2855,35,14,58,219,4884,394,33
2015-10-19,976,2538,28,13,39,172,4816,390,29
2015-10-20,951,2173,23,12,72,222,4567,418,29
2015-10-21,964,2377,33,11,48,213,4490,384,36
2015-10-22,901,2226,53,15,51,263,4737,390,41
2015-10-23,895,2253,43,14,60,206,4747,325,29
2015-10-24,1014,2176,21,8,56,224,5095,334,27
2015-10-25,1183,3162,22,11,43,367,5594,372,25
2015-10-26,1339,2459,33,16,50,508,5894,399,44
2015-10-27,1060,2283,34,14,54,307,6384,536,39
2015-10-28,1169,2155,40,13,43,280,6642,402,30
2015-10-29,1063,2277,53,21,55,286,6677,433,37
2015-10-30,995,2005,34,25,51,264,6832,389,46
2015-10-31,953,1753,44,14,53,248,7858,668,25
2015-11-01,1055,2228,40,15,51,312,6940,826,30
2015-11-02,978,2377,32,11,49,295,5246,636,23
2015-11-03,987,2170,32,9,40,206,4360,741,22
2015-11-04,943,2357,41,19,50,260,4282,541,32
2015-11-05,909,2679,33,13,48,281,4366,503,16
2015-11-06,839,2201,78,15,58,211,3936,504,20
2015-11-07,916,1984,40,13,43,239,3943,471,30
2015-11-08,916,2181,47,7,60,229,4161,481,40
2015-11-09,981,2519,41,10,36,197,4301,608,19
2015-11-10,938,2341,54,11,54,259,3718,439,24
2015-11-11,975,2243,32,10,37,221,3572,489,26
2015-11-12,1103,2701,48,21,67,214,3757,660,28
2015-11-13,921,2717,23,8,29,243,3545,492,16
2015-11-14,886,1847,34,13,54,230,3385,382,18
2015-11-15,951,2238,42,15,60,345,3870,448,13
2015-11-16,849,2251,38,23,50,266,3641,510,31
2015-11-17,839,2490,38,7,43,219,3611,464,19
2015-11-18,1039,2339,31,14,54,176,3417,466,20
2015-11-19,1080,2289,40,14,67,171,3715,484,19
2015-11-20,949,2038,33,9,58,168,3399,572,21
2015-11-21,973,1826,21,10,60,185,3420,449,18
2015-11-22,1163,2433,26,8,53,281,3873,464,19
2015-11-23,1096,2163,62,12,43,248,3554,486,28
2015-11-24,1294,2003,49,12,48,179,3525,464,21
2015-11-25,1615,1921,35,9,48,197,3289,439,29
2015-11-26,2015,1661,33,13,48,201,3190,387,22
2015-11-27,1751,1745,26,8,51,181,3200,362,16
2015-11-28,1944,1910,28,12,38,246,3335,420,16
2015-11-29,1880,2419,30,8,59,270,4071,465,24
2015-11-30,1837,2287,27,8,38,223,3862,434,20
2015-12-01,1350,2278,26,10,56,222,3562,442,17
2015-12-02,1305,2114,30,15,46,194,3551,450,21
2015-12-03,1137,2350,38,10,58,217,3512,485,20
2015-12-04,1154,2390,36,8,62,314,3391,533,38
2015-12-05,1202,1934,26,13,70,181,3081,397,20
2015-12-06,1386,2115,33,7,44,220,3883,482,20
2015-12-07,1350,2510,23,15,49,216,3725,483,21
2015-12-08,1198,2243,31,8,47,186,3515,594,16
2015-12-09,1030,2079,25,13,61,192,3561,448,31
2015-12-10,1043,2155,40,15,58,198,3521,416,29
2015-12-11,939,2008,41,10,56,221,3296,418,34
2015-12-12,890,1807,31,9,58,224,3428,367,46
2015-12-13,1061,2162,24,9,42,184,3854,432,18
2015-12-14,1031,2453,31,10,53,184,3608,409,15
2015-12-15,884,2085,29,14,57,250,3305,416,17
2015-12-16,841,1945,22,7,41,194,3478,409,24
2015-12-17,825,1960,37,10,25,181,3101,357,26
2015-12-18,710,1676,30,15,45,170,2959,357,24
2015-12-19,757,1902,23,9,39,122,3009,336,16
2015-12-20,806,1748,15,6,58,174,3458,346,21
2015-12-21,891,1846,32,6,46,187,3163,403,14
2015-12-22,937,1846,34,11,43,182,3282,402,19
2015-12-23,1074,1793,21,6,59,171,3155,403,20
2015-12-24,952,1688,18,6,50,144,2810,318,34
2015-12-25,1155,1656,15,8,50,160,2543,300,17
2015-12-26,1192,1819,31,11,60,162,3130,427,19
2015-12-27,1087,2412,29,8,41,163,3467,912,28
2015-12-28,1142,2898,13,7,43,179,3491,617,17
2015-12-29,1134,2451,23,12,38,195,3523,441,31
2015-12-30,1138,2619,33,7,32,160,3492,397,24
2015-12-31,1227,1971,20,12,33,173,3052,361,25
2016-01-01,1162,1992,20,12,58,157,3038,305,18
2016-01-02,1356,2404,36,4,44,170,3971,384,15
2016-01-03,1280,2661,33,10,52,201,3788,360,17
2016-01-04,1073,2599,27,12,43,200,3708,417,17
2016-01-05,975,2521,32,20,38,170,3524,378,19
2016-01-06,913,2397,33,9,39,175,3348,394,14
2016-01-07,942,2758,34,7,51,167,3590,375,7
2016-01-08,983,2231,30,7,55,188,3349,349,20
2016-01-09,1020,2303,36,15,58,191,3464,427,22
2016-01-10,1075,2637,23,14,76,221,3891,377,29
2016-01-11,1011,2477,17,17,42,205,3569,379,29
2016-01-12,1020,2371,22,10,47,191,3448,392,18
2016-01-13,903,2217,32,10,44,200,3239,344,26
2016-01-14,965,2401,33,7,40,159,3292,351,29
2016-01-15,1059,2559,33,12,37,191,3384,345,23
2016-01-16,972,2074,27,11,58,192,3771,326,22
2016-01-17,993,2421,20,9,53,162,4471,465,18
2016-01-18,920,2596,35,13,44,225,3964,359,32
2016-01-19,947,2570,14,4,47,184,3643,351,25
2016-01-20,890,2408,30,7,47,384,3386,391,16
2016-01-21,824,2234,43,15,65,193,3343,402,27
2016-01-22,882,2149,35,14,67,183,3317,359,22
2016-01-23,811,2444,31,13,52,186,3474,358,19
2016-01-24,954,2592,24,6,43,206,4210,374,20
2016-01-25,1010,2557,27,12,45,187,3747,364,37
2016-01-26,865,2542,33,8,44,177,3407,388,16
2016-01-27,910,2353,28,8,37,190,3513,373,12
2016-01-28,824,2428,34,9,49,169,3514,362,11
2016-01-29,777,2292,21,13,39,178,3412,404,21
2016-01-30,898,2391,24,8,51,187,3620,327,24
2016-01-31,937,2747,18,4,58,215,4043,402,15
2016-02-01,877,21667,38,12,33,181,3715,420,15
2016-02-02,762,3458,28,13,33,176,3629,371,27
2016-02-03,736,2532,29,7,45,165,3814,404,18
2016-02-04,756,2304,40,8,34,189,3420,407,41
2016-02-05,744,2176,23,9,51,167,3205,402,41
2016-02-06,931,2273,35,9,54,432,3430,336,24
2016-02-07,1193,2272,29,20,62,188,3692,400,27
2016-02-08,944,2388,38,19,45,182,3470,409,28
2016-02-09,986,2964,33,15,52,164,3268,393,20
2016-02-10,923,2155,40,15,61,178,3452,412,31
2016-02-11,934,2039,30,12,53,169,3128,374,23
2016-02-12,953,1980,31,19,58,186,3185,388,30
2016-02-13,1122,1977,22,8,59,173,3381,422,25
2016-02-14,1211,2250,33,12,55,181,3580,434,25
2016-02-15,1046,2358,46,15,66,219,3477,602,52
2016-02-16,1009,2263,28,9,74,169,3437,511,15
2016-02-17,967,2152,27,9,69,176,3421,429,14
2016-02-18,954,2372,34,12,52,164,3479,397,15
2016-02-19,920,2121,34,13,43,207,3346,393,23
2016-02-20,991,2272,29,10,46,167,3485,357,23
2016-02-21,1134,2380,38,7,48,214,3710,405,25
2016-02-22,1052,2339,31,12,64,239,3550,457,33
2016-02-23,1082,2426,45,8,57,201,3485,428,30
2016-02-24,1177,2435,30,12,52,167,3319,399,17
2016-02-25,1082,2200,49,16,50,194,3248,427,30
2016-02-26,1019,1996,40,14,74,146,3304,390,32
2016-02-27,1374,1961,14,11,65,170,3387,369,15
2016-02-28,1513,2880,31,22,61,164,3632,375,24
2016-02-29,1327,2276,46,26,46,576,3415,387,25
2016-03-01,1065,2359,32,8,55,143,3367,1091,27
2016-03-02,948,2104,36,7,46,149,3300,568,17
2016-03-03,1040,2148,22,12,38,160,3311,520,36
2016-03-04,988,2084,34,13,33,171,3195,432,42
2016-03-05,1126,1893,31,12,54,167,3291,421,21
2016-03-06,1201,2070,25,15,43,177,3692,396,20
2016-03-07,1100,2200,31,21,53,219,3491,464,23
2016-03-08,987,1991,35,9,64,176,3350,616,32
2016-03-09,903,1904,34,14,57,214,3457,579,20
2016-03-10,930,2026,39,11,41,164,3477,403,26
2016-03-11,863,1904,29,9,46,185,3516,392,19
2016-03-12,1007,1750,36,10,54,168,3232,360,24
2016-03-13,1119,2340,29,10,50,166,3639,419,28
2016-03-14,1009,2330,33,9,40,175,3490,422,36
2016-03-15,935,2193,40,10,48,175,3271,459,30
2016-03-16,868,2094,36,7,45,191,3254,450,24
2016-03-17,863,2129,54,11,50,178,3255,455,22
2016-03-18,857,1968,22,11,33,189,3039,451,13
2016-03-19,950,1793,31,9,43,286,3058,456,22
2016-03-20,1030,2132,25,6,43,397,3483,405,29
