Date,"Flying Eagle cent","Akodon spegazzinii","Waiting (2015 film)","Menacer","Hands Across Hawthorne","Harvey Kurtzman's Jungle Book","Japanese battleship Mutsu","Monnow Bridge","R. V. C. Bodley"
2015-07-01,44,9,0,45,7,9,127,4,75
2015-07-02,43,6,0,34,11,8,145,7,86
2015-07-03,53,9,0,39,3,12,150,5,70
2015-07-04,94,4,0,50,15,14,122,10,71
2015-07-05,64,8,0,37,2,13,133,5,73
2015-07-06,59,10,0,44,5,27,151,5,67
2015-07-07,92,14,0,66,3,13,195,11,99
2015-07-08,44,18,0,63,5,19,157,13,112
2015-07-09,51,14,0,45,4,18,145,9,72
2015-07-10,56,11,0,42,4,20,207,6,127
2015-07-11,46,9,0,57,4,13,149,11,109
2015-07-12,66,8,0,74,6,15,171,6,102
2015-07-13,52,8,0,64,1,13,189,11,74
2015-07-14,77,19,0,45,3,96,186,4,97
2015-07-15,72,10,0,31,3,25,170,6,87
2015-07-16,61,12,0,34,1,10,167,11,101
2015-07-17,54,8,0,39,2,8,154,3,23
2015-07-18,44,9,0,40,4,11,182,6,14
2015-07-19,62,6,0,36,4,11,134,11,13
2015-07-20,57,7,0,44,1,9,186,5,9
2015-07-21,48,6,0,33,1,12,161,10,14
2015-07-22,52,9,0,44,4,11,157,7,18
2015-07-23,63,9,0,35,4,33,177,8,19
2015-07-24,70,18,0,66,2,15,219,11,22
2015-07-25,68,15,0,41,4,12,166,12,19
2015-07-26,70,6,0,43,4,18,139,9,19
2015-07-27,64,14,0,48,1,20,148,13,16
2015-07-28,64,9,0,29,8,12,182,3,12
2015-07-29,67,22,0,57,1,20,187,8,23
2015-07-30,61,10,0,39,2,18,256,6,21
2015-07-31,59,17,0,51,6,18,198,8,22
2015-08-01,64,16,0,48,1,13,165,5,31
2015-08-02,60,11,0,54,0,13,161,9,18
2015-08-03,63,17,0,54,10,26,153,9,22
2015-08-04,48,12,0,65,1,16,177,12,19
2015-08-05,50,12,0,43,2,9,147,17,11
2015-08-06,64,10,0,51,6,12,156,10,19
2015-08-07,56,9,0,43,1,11,156,18,13
2015-08-08,52,10,0,41,6,18,168,15,12
2015-08-09,63,11,0,45,1,10,189,13,15
2015-08-10,60,15,0,45,2,15,163,6,16
2015-08-11,83,11,0,57,4,17,158,11,14
2015-08-12,69,13,0,43,1,14,202,10,11
2015-08-13,49,18,0,51,1,12,314,13,13
2015-08-14,56,13,0,55,5,17,324,11,13
2015-08-15,52,13,0,68,1,24,230,10,28
2015-08-16,76,10,0,57,4,28,220,10,14
2015-08-17,68,8,0,68,4,10,221,13,14
2015-08-18,59,10,0,55,3,14,219,13,13
2015-08-19,80,17,0,38,4,16,150,14,18
2015-08-20,58,14,0,36,5,19,176,13,17
2015-08-21,60,14,0,48,2,15,182,12,18
2015-08-22,60,13,0,39,1,10,146,11,18
2015-08-23,48,10,0,41,1,10,169,4,18
2015-08-24,87,12,0,33,5,15,173,21,16
2015-08-25,51,18,0,55,2,22,238,2,15
2015-08-26,59,10,0,45,4,19,221,9,18
2015-08-27,82,7,0,48,6,14,169,9,13
2015-08-28,146,10,0,40,1,10,165,5,15
2015-08-29,77,18,0,32,3,13,143,7,23
2015-08-30,54,2,0,29,1,11,144,7,10
2015-08-31,57,15,0,35,1,15,171,5,11
2015-09-01,79,15,0,52,2,28,155,7,23
2015-09-02,64,7,0,43,6,10,145,17,14
2015-09-03,57,10,0,34,11,16,189,11,13
2015-09-04,72,23,0,52,3,14,107,13,20
2015-09-05,73,8,0,37,2,13,183,9,13
2015-09-06,72,15,0,54,1,22,178,9,19
2015-09-07,73,17,0,55,9,15,189,12,20
2015-09-08,81,20,0,56,3,22,184,42,18
2015-09-09,70,12,0,38,12,16,167,10,17
2015-09-10,73,11,0,39,4,18,183,8,22
2015-09-11,134,49,0,102,4,62,207,7,72
2015-09-12,54,12,0,45,0,13,161,10,13
2015-09-13,59,10,0,48,2,20,197,18,13
2015-09-14,73,10,0,43,2,14,164,9,18
2015-09-15,85,12,0,37,3,38,165,16,11
2015-09-16,77,11,0,56,1,34,147,7,19
2015-09-17,83,12,0,45,1,35,156,1,13
2015-09-18,67,7,0,31,2,9,126,6,5
2015-09-19,59,10,0,37,2,19,125,10,14
2015-09-20,67,8,0,28,2,22,140,9,13
2015-09-21,78,8,0,36,4,9,149,15,9
2015-09-22,73,18,0,44,4,30,204,26,25
2015-09-23,75,14,0,39,1,18,169,2,21
2015-09-24,77,16,0,43,2,18,171,9,12
2015-09-25,63,9,0,39,2,19,276,8,15
2015-09-26,326,8,0,43,1,2,137,2,15
2015-09-27,111,11,0,39,1,19,195,11,11
2015-09-28,108,9,0,46,4,17,178,12,7
2015-09-29,91,16,0,45,2,23,174,6,18
2015-09-30,51,12,0,34,2,19,161,10,16
2015-10-01,79,11,0,48,1,20,141,5,24
2015-10-02,53,12,0,41,4,14,154,4,20
2015-10-03,68,16,0,43,3,27,138,6,17
2015-10-04,58,12,0,49,1,13,147,5,14
2015-10-05,51,18,0,41,3,11,150,11,17
2015-10-06,74,20,0,51,1,17,175,11,22
2015-10-07,74,18,0,58,3,19,149,14,17
2015-10-08,74,17,0,50,3,17,215,10,11
2015-10-09,79,15,0,41,1,19,155,7,23
2015-10-10,63,8,0,35,0,7,134,12,9
2015-10-11,69,7,0,42,0,11,148,8,11
2015-10-12,65,17,0,57,3,19,158,11,22
2015-10-13,72,11,0,38,2,16,152,19,15
2015-10-14,75,14,0,51,11,14,147,7,18
2015-10-15,57,13,0,69,1,17,166,1,22
2015-10-16,71,10,0,48,4,9,147,5,9
2015-10-17,74,11,0,37,2,16,248,9,11
2015-10-18,61,9,0,44,3,16,198,13,17
2015-10-19,55,10,0,60,3,14,202,10,20
2015-10-20,87,17,0,48,4,12,154,17,11
2015-10-21,56,12,0,33,5,12,200,12,13
2015-10-22,72,19,0,49,2,22,148,2,18
2015-10-23,54,14,0,64,3,14,164,6,21
2015-10-24,53,8,0,37,0,15,173,17,19
2015-10-25,227,10,0,51,3,15,189,7,26
2015-10-26,100,20,0,52,1,20,184,8,19
2015-10-27,88,14,0,50,0,23,181,10,21
2015-10-28,88,16,0,52,4,24,169,8,27
2015-10-29,67,19,0,45,1,13,154,10,16
2015-10-30,71,18,0,68,4,25,174,5,20
2015-10-31,59,8,0,36,1,22,158,1,21
2015-11-01,71,17,0,50,4,17,148,10,16
2015-11-02,46,5,0,42,2,13,157,1,12
2015-11-03,61,8,0,43,1,15,173,13,12
2015-11-04,39,14,0,43,5,11,144,11,14
2015-11-05,63,12,0,121,1,7,160,10,11
2015-11-06,54,14,0,80,2,13,136,4,18
2015-11-07,62,14,0,91,5,16,147,15,15
2015-11-08,52,5,0,56,2,17,136,12,10
2015-11-09,55,11,0,46,4,13,148,7,8
2015-11-10,54,12,0,39,4,11,176,7,18
2015-11-11,58,11,0,38,2,9,146,5,12
2015-11-12,78,20,0,51,0,33,171,5,23
2015-11-13,64,10,0,23,3,17,293,6,13
2015-11-14,58,8,0,26,0,16,279,9,14
2015-11-15,58,15,0,55,1,19,566,7,22
2015-11-16,67,20,0,50,2,19,228,6,23
2015-11-17,72,11,0,61,1,18,162,12,15
2015-11-18,93,14,0,45,0,18,152,4,15
2015-11-19,48,11,0,39,1,10,159,6,13
2015-11-20,51,10,0,43,1,9,143,12,12
2015-11-21,46,13,0,34,2,5,144,8,7
2015-11-22,73,12,0,36,1,13,146,8,16
2015-11-23,68,9,0,42,0,14,145,7,16
2015-11-24,75,11,0,32,1,16,141,5,20
2015-11-25,61,10,0,28,0,14,138,9,13
2015-11-26,54,14,0,32,1,10,132,14,10
2015-11-27,71,9,0,47,1,17,172,11,20
2015-11-28,70,9,0,40,0,3,139,10,15
2015-11-29,63,13,0,42,2,14,134,12,11
2015-11-30,53,9,0,51,1,5,155,4,11
2015-12-01,74,15,0,39,4,7,157,15,13
2015-12-02,51,12,0,32,1,9,150,4,13
2015-12-03,97,7,0,33,4,5,129,6,5
