Date,"The Demi-Virgin","The Oceanides","Jupiter trojan","Sandra Morgan","Virgin and Child Enthroned","Carnaby's black cockatoo","1880 Greenback National Convention","1997 Qayen earthquake","Alexander of Greece"
2015-07-01,13,13,152,11,0,21,7,14,360
2015-07-02,0,11,178,15,0,32,3,16,264
2015-07-03,6,47,151,9,0,20,6,9,373
2015-07-04,2,88,137,9,0,14,7,21,319
2015-07-05,1,46,91,9,0,20,11,14,418
2015-07-06,4,22,252,8,0,31,21,29,440
2015-07-07,3,17,263,18,0,19,16,22,349
2015-07-08,3,17,224,20,0,29,20,21,312
2015-07-09,4,25,251,15,0,32,11,16,374
2015-07-10,4,23,291,16,0,18,15,22,313
2015-07-11,5,35,222,13,0,22,11,15,325
2015-07-12,2,92,406,9,0,21,8,11,335
2015-07-13,2,1209,680,6,0,32,8,13,356
2015-07-14,5,172,3022,21,0,18,12,20,333
2015-07-15,4,147,2107,13,0,28,8,9,266
2015-07-16,5,106,1432,12,0,29,17,18,250
2015-07-17,2,45,788,10,0,25,12,8,257
2015-07-18,2,65,577,14,0,25,4,10,292
2015-07-19,1,42,489,6,0,20,6,16,273
2015-07-20,0,27,410,13,0,19,9,15,349
2015-07-21,4,17,378,8,0,21,7,17,291
2015-07-22,1,28,301,10,0,36,5,11,269
2015-07-23,4,45,289,20,0,39,18,20,246
2015-07-24,2,63,264,21,0,21,18,36,267
2015-07-25,2,42,296,18,0,36,13,17,223
2015-07-26,3,147,227,17,0,24,14,14,238
2015-07-27,1,49,259,20,0,30,15,26,228
2015-07-28,3,56,208,12,0,24,10,14,267
2015-07-29,6,96,194,25,0,35,21,28,200
2015-07-30,1,61,158,22,0,32,11,20,318
2015-07-31,0,37,163,18,0,25,16,18,290
2015-08-01,0,24,168,16,0,17,11,22,403
2015-08-02,2,24,140,20,0,25,14,24,269
2015-08-03,4,24,151,23,0,24,17,24,223
2015-08-04,3,20,139,17,0,33,14,20,282
2015-08-05,3,14,169,15,0,25,7,19,250
2015-08-06,0,8,174,20,0,25,12,12,239
2015-08-07,1,18,182,20,0,34,13,17,241
2015-08-08,5,14,110,14,0,25,14,13,234
2015-08-09,1,20,179,19,0,23,14,10,203
2015-08-10,4,16,161,15,0,33,9,19,178
2015-08-11,2,9,167,21,0,33,13,15,198
2015-08-12,7,9,141,14,0,24,13,15,196
2015-08-13,6,17,141,10,0,31,7,13,223
2015-08-14,3,17,114,18,0,28,12,10,211
2015-08-15,1,8,107,16,0,27,11,21,211
2015-08-16,6,13,147,20,0,25,11,20,233
2015-08-17,3,25,144,18,0,22,12,14,242
2015-08-18,4,14,135,17,0,22,9,14,229
2015-08-19,3,15,131,19,0,34,12,23,267
2015-08-20,6,23,128,14,0,32,12,11,274
2015-08-21,7,21,120,17,0,31,16,24,229
2015-08-22,1,11,111,13,0,24,5,13,238
2015-08-23,1,10,129,14,0,25,12,13,242
2015-08-24,3,20,116,14,0,27,8,16,220
2015-08-25,4,19,170,19,0,45,11,22,249
2015-08-26,9,13,134,16,0,25,8,16,242
2015-08-27,4,13,157,17,0,35,11,14,205
2015-08-28,4,20,121,15,0,50,12,16,277
2015-08-29,2,14,152,21,0,25,20,21,205
2015-08-30,0,21,133,13,0,24,6,10,269
2015-08-31,4,15,172,8,0,28,9,12,241
2015-09-01,2,14,153,27,0,36,23,32,183
2015-09-02,5,15,125,11,0,34,8,13,213
2015-09-03,10,34,133,12,0,31,15,25,211
2015-09-04,0,41,115,17,0,32,15,22,283
2015-09-05,3,21,81,14,0,19,16,21,211
2015-09-06,5,16,97,21,0,35,13,30,273
2015-09-07,6,18,131,16,0,30,20,17,249
2015-09-08,8,21,126,26,0,41,6,18,273
2015-09-09,4,17,128,27,0,37,8,26,320
2015-09-10,3,23,154,18,0,18,12,18,291
2015-09-11,5,23,249,68,0,26,70,69,279
2015-09-12,1,7,113,8,0,41,10,15,214
2015-09-13,1,7,112,18,0,18,9,17,223
2015-09-14,1,13,138,16,0,32,14,20,216
2015-09-15,2,13,122,15,0,36,15,21,257
2015-09-16,6,23,150,19,0,30,19,16,194
2015-09-17,5,20,139,16,0,24,14,19,213
2015-09-18,0,13,205,10,0,24,5,10,257
2015-09-19,8,18,100,11,0,25,9,19,213
2015-09-20,2,21,135,10,0,31,9,13,216
2015-09-21,2,25,138,8,0,22,5,14,212
2015-09-22,4,21,161,15,0,32,13,28,266
2015-09-23,2,14,144,17,0,23,17,24,230
2015-09-24,0,18,136,10,0,17,9,14,210
2015-09-25,0,8,181,15,0,19,12,15,198
2015-09-26,3,15,144,11,0,34,8,17,194
2015-09-27,5,13,103,16,0,24,13,17,238
2015-09-28,4,16,180,15,0,34,9,16,237
2015-09-29,3,14,230,11,0,29,13,32,238
2015-09-30,2,17,177,11,0,26,13,24,210
2015-10-01,2,12,522,16,0,24,12,26,223
2015-10-02,4,15,351,11,0,26,10,10,197
2015-10-03,4,14,223,18,0,18,16,22,222
2015-10-04,2,7,151,10,0,19,10,12,230
2015-10-05,2,22,220,12,0,32,10,21,201
2015-10-06,3,18,158,23,0,39,15,27,759
2015-10-07,1,16,208,15,0,43,21,29,401
2015-10-08,3,16,218,13,0,24,19,25,248
2015-10-09,6,11,199,17,0,27,18,27,251
2015-10-10,2,21,140,14,0,31,13,17,238
2015-10-11,3,12,186,8,0,26,5,12,260
2015-10-12,3,16,149,18,0,27,17,18,217
2015-10-13,4,14,157,13,0,21,9,75,254
2015-10-14,4,15,222,15,0,29,12,28,180
2015-10-15,1,19,262,10,0,25,16,17,212
2015-10-16,4,13,222,7,0,39,6,12,176
2015-10-17,5,19,137,14,0,22,11,15,253
2015-10-18,3,18,173,14,0,40,12,17,249
2015-10-19,7,13,165,15,0,26,14,24,209
2015-10-20,5,29,186,10,0,27,13,17,266
2015-10-21,10,18,250,22,0,41,12,16,212
2015-10-22,5,11,154,12,0,35,15,31,213
2015-10-23,6,19,161,22,0,33,11,25,200
2015-10-24,3,19,162,13,0,28,5,17,233
2015-10-25,3,33,153,15,0,33,10,17,322
2015-10-26,3,49,164,23,0,27,16,33,253
2015-10-27,3,33,279,15,0,40,16,23,235
2015-10-28,3,23,261,16,0,27,14,20,255
2015-10-29,3,23,191,12,0,42,19,29,197
2015-10-30,2,19,185,22,0,45,19,38,216
2015-10-31,7,86,138,13,0,213,9,18,171
2015-11-01,5,13,157,17,0,33,18,35,189
2015-11-02,1,15,159,13,0,40,7,10,222
2015-11-03,3,22,162,9,0,37,67,11,514
2015-11-04,4,28,166,25,0,30,25,20,206
2015-11-05,6,13,151,6,0,17,13,15,234
2015-11-06,5,18,178,12,0,35,21,14,182
2015-11-07,5,12,141,19,0,22,16,18,188
2015-11-08,3,15,160,10,0,25,5,7,216
2015-11-09,3,16,181,12,0,51,11,9,215
2015-11-10,12,23,216,11,0,34,7,13,231
2015-11-11,9,17,174,19,0,26,4,8,199
2015-11-12,8,19,292,19,0,18,20,23,235
2015-11-13,4,19,157,9,0,22,9,11,208
2015-11-14,10,7,137,16,0,22,7,17,208
2015-11-15,5,17,186,15,0,33,9,18,252
2015-11-16,7,28,181,25,0,25,20,23,379
2015-11-17,8,26,171,8,0,30,10,22,321
2015-11-18,11,19,161,16,0,18,11,19,294
2015-11-19,3,28,163,11,0,13,9,11,202
2015-11-20,2,32,121,10,0,16,9,25,227
2015-11-21,2,26,114,7,0,34,8,5,180
2015-11-22,2,26,124,7,0,28,11,17,218
2015-11-23,2,12,143,14,0,25,10,15,225
2015-11-24,0,50,166,13,0,30,9,17,228
2015-11-25,2,15,144,17,0,39,13,15,207
2015-11-26,3,21,130,9,0,25,8,14,174
2015-11-27,1,28,125,14,0,24,8,24,201
2015-11-28,2,19,102,10,0,11,5,12,210
2015-11-29,2,32,107,13,0,24,5,22,243
2015-11-30,4,35,118,13,0,19,5,13,222
2015-12-01,4,61,130,9,0,26,12,15,204
2015-12-02,5,28,165,17,0,29,15,19,245
2015-12-03,1,17,155,7,0,21,3,9,219
2015-12-04,4,24,148,17,0,13,10,16,191
2015-12-05,10,23,158,12,0,21,11,10,172
2015-12-06,1,19,139,15,0,24,8,13,209
2015-12-07,1,35,208,11,0,28,2,6,270
2015-12-08,4,71,220,10,0,40,10,17,212
2015-12-09,3,65,183,15,0,37,18,17,220
2015-12-10,0,36,173,11,0,25,11,14,196
2015-12-11,0,23,211,11,0,34,10,23,209
2015-12-12,0,65,146,19,0,30,14,15,222
2015-12-13,1,93,144,13,0,33,3,8,182
2015-12-14,3,41,162,8,0,25,8,15,233
2015-12-15,3,32,237,9,0,24,9,12,211
2015-12-16,4,56,182,16,0,43,10,17,206
2015-12-17,1,51,152,7,0,25,16,16,178
2015-12-18,1,52,143,9,0,17,7,8,192
2015-12-19,6,37,135,12,0,21,6,8,222
2015-12-20,12,22,105,8,0,24,2,11,220
2015-12-21,5,38,129,4,0,13,4,2,179
2015-12-22,3,25,137,9,0,15,9,8,147
2015-12-23,5,21,151,13,0,19,3,9,210
2015-12-24,2,14,140,3,0,13,5,9,203
2015-12-25,1,39,108,8,0,22,2,7,166
2015-12-26,3,43,133,7,0,30,11,15,184
