Date,"Roy Phillipps","Macrotarsomys petteri","The Last of Us","Sweet Track","OK Computer","Upper Pine Bottom State Park","1954 Guatemalan coup d'état","Auriscalpium vulgare","Melbourne Castle"
2015-07-01,7,6,9320,82,1162,8,845,12,13
2015-07-02,6,3,7107,92,1037,7,499,5,9
2015-07-03,8,12,6441,72,1022,13,443,9,9
2015-07-04,7,5,6707,107,924,11,456,11,9
2015-07-05,10,6,6775,99,1032,10,523,12,14
2015-07-06,4,3,7454,83,1076,21,601,10,7
2015-07-07,20,12,7279,169,1060,16,646,17,25
2015-07-08,12,16,6583,87,1151,15,424,30,25
2015-07-09,8,8,6259,85,1166,11,329,18,13
2015-07-10,13,21,5864,116,1154,13,364,18,22
2015-07-11,5,8,5827,84,1069,13,386,8,12
2015-07-12,8,9,6622,158,1122,12,326,6,22
2015-07-13,2,4,6896,67,1153,8,370,8,14
2015-07-14,13,13,6776,86,1199,16,332,14,14
2015-07-15,7,10,6779,106,1008,11,459,10,17
2015-07-16,3,12,6670,97,1115,6,402,16,19
2015-07-17,4,3,5774,65,1014,4,311,5,14
2015-07-18,10,6,5708,71,1037,9,250,11,16
2015-07-19,8,6,6534,89,1140,5,336,11,14
2015-07-20,3,4,6471,98,1096,11,408,10,18
2015-07-21,5,7,6765,126,1248,10,352,7,12
2015-07-22,2,8,6166,89,1164,10,869,9,13
2015-07-23,10,11,6065,137,1081,18,340,15,25
2015-07-24,13,13,5440,808,1107,32,302,19,21
2015-07-25,10,9,5329,544,1085,12,220,13,22
2015-07-26,10,9,6571,119,1069,17,478,9,24
2015-07-27,10,13,6283,115,1164,12,326,24,20
2015-07-28,8,8,6450,107,1188,11,292,9,16
2015-07-29,19,16,6730,87,1245,20,295,17,24
2015-07-30,11,12,5768,76,1177,13,305,13,20
2015-07-31,18,13,5400,93,1098,21,247,16,18
2015-08-01,10,13,5657,97,1092,14,209,14,30
2015-08-02,17,13,6732,84,1008,16,229,18,23
2015-08-03,19,19,5510,85,1006,21,265,22,15
2015-08-04,10,12,5966,86,1135,15,335,17,24
2015-08-05,14,12,5949,111,1110,9,457,13,15
2015-08-06,13,9,5206,95,1126,30,376,12,17
2015-08-07,12,11,5303,100,1037,13,420,12,20
2015-08-08,9,11,5134,93,1008,11,289,14,20
2015-08-09,6,11,5982,103,1161,18,292,9,15
2015-08-10,11,10,5832,88,1093,12,363,14,14
2015-08-11,9,10,6127,100,1166,22,353,13,14
2015-08-12,7,8,5696,100,1180,13,340,13,17
2015-08-13,12,8,5370,86,1133,14,440,10,21
2015-08-14,12,13,5403,86,1162,14,379,14,18
2015-08-15,13,15,5285,85,1163,12,321,22,15
2015-08-16,16,15,5886,100,1169,19,321,25,22
2015-08-17,6,8,5789,97,1149,12,456,14,20
2015-08-18,8,8,5558,93,1226,11,349,14,18
2015-08-19,14,16,5626,80,1167,20,299,20,23
2015-08-20,9,10,5408,118,1472,19,280,11,19
2015-08-21,15,15,5272,85,1256,21,428,20,14
2015-08-22,7,12,5116,101,1201,10,357,9,15
2015-08-23,11,10,5621,88,1173,17,331,8,12
2015-08-24,9,10,5698,92,1317,15,345,15,19
2015-08-25,15,12,5565,86,1244,21,307,13,22
2015-08-26,8,9,5422,92,1119,11,429,16,25
2015-08-27,10,9,5642,95,1054,15,517,15,17
2015-08-28,12,10,5470,89,1149,12,469,11,17
2015-08-29,17,16,5506,94,1108,17,359,16,17
2015-08-30,6,4,6399,80,1196,7,377,9,17
2015-08-31,1,8,6084,87,1130,15,453,11,18
2015-09-01,19,16,5489,115,1141,17,560,19,23
2015-09-02,9,6,5535,106,1153,9,588,8,15
2015-09-03,9,10,5309,69,1119,15,606,10,19
2015-09-04,14,22,5312,71,1250,13,603,21,24
2015-09-05,11,9,5881,62,1154,13,442,23,17
2015-09-06,11,17,6131,87,1081,30,496,26,30
2015-09-07,21,18,6515,122,1181,20,475,18,23
2015-09-08,26,9,5717,123,1191,23,434,11,18
2015-09-09,12,9,5388,74,1047,12,6094,17,14
2015-09-10,12,15,5613,102,1083,16,496,13,22
2015-09-11,62,62,5009,127,1110,63,402,66,50
2015-09-12,8,10,5189,74,1002,11,338,16,14
2015-09-13,8,9,7965,74,1036,11,329,19,13
2015-09-14,10,8,7395,76,1149,9,422,13,18
2015-09-15,13,19,5803,91,1094,17,4320,11,27
2015-09-16,11,9,6837,94,1089,15,1356,14,22
2015-09-17,11,11,5950,107,1186,11,496,13,25
2015-09-18,5,4,5367,82,1146,3,385,9,10
2015-09-19,10,9,5517,84,1087,10,289,18,20
2015-09-20,9,12,6587,77,1119,12,373,11,17
2015-09-21,7,6,6441,87,1105,9,465,7,18
2015-09-22,14,20,5838,109,1278,17,438,24,36
2015-09-23,17,12,6124,138,1385,18,461,18,21
2015-09-24,5,14,6477,79,1115,14,400,11,21
2015-09-25,11,11,5942,84,1155,17,346,11,14
2015-09-26,4,3,5760,86,1068,11,315,14,17
2015-09-27,10,17,6115,93,1183,11,341,14,18
2015-09-28,9,10,6088,86,1203,15,422,9,11
2015-09-29,13,9,5596,110,1222,15,507,12,21
2015-09-30,6,8,5441,87,1196,10,479,10,23
2015-10-01,11,12,4946,81,1159,16,504,16,17
2015-10-02,8,8,4997,93,1448,8,388,16,9
2015-10-03,13,14,5483,69,1310,19,265,21,25
2015-10-04,7,6,6164,75,1209,10,366,22,24
2015-10-05,11,13,5608,112,1217,12,621,18,24
2015-10-06,15,18,5400,127,1234,17,492,24,16
2015-10-07,15,17,5286,106,1213,32,539,18,18
2015-10-08,7,11,5640,92,1329,17,503,21,15
2015-10-09,15,13,5374,112,1381,13,456,25,17
2015-10-10,6,5,5785,186,1158,12,364,10,19
2015-10-11,5,9,6859,78,1114,11,392,10,17
2015-10-12,13,14,6118,114,1217,19,596,21,16
2015-10-13,6,7,6059,100,1079,11,789,16,12
2015-10-14,8,8,5455,82,1271,16,524,16,19
2015-10-15,9,9,5959,75,1216,19,537,12,10
2015-10-16,5,9,5337,91,1340,10,417,22,18
2015-10-17,7,12,5800,91,1174,16,293,14,11
2015-10-18,11,14,6653,95,1169,13,397,19,19
2015-10-19,10,10,6243,92,1241,17,598,18,18
2015-10-20,8,11,5164,125,1077,11,564,14,21
2015-10-21,8,13,4955,92,1101,13,496,18,13
2015-10-22,11,21,5421,105,1160,19,681,22,33
2015-10-23,12,10,5200,110,1129,14,545,26,23
2015-10-24,8,7,5431,97,1087,10,322,14,10
2015-10-25,7,11,5750,74,1129,11,382,13,18
2015-10-26,15,14,5521,113,1135,14,606,26,27
2015-10-27,11,11,5762,114,1178,10,714,15,18
2015-10-28,12,10,5161,226,1128,16,507,21,18
2015-10-29,16,19,4828,170,1015,19,464,26,32
2015-10-30,21,17,4640,129,1091,62,498,18,19
2015-10-31,10,11,4870,113,1077,12,349,15,16
2015-11-01,16,16,5591,192,1026,14,435,20,23
2015-11-02,9,4,5780,129,1127,13,572,14,16
2015-11-03,9,8,5436,142,1090,9,540,20,16
2015-11-04,15,12,5309,111,1059,8,516,13,16
2015-11-05,4,5,5154,131,1279,8,435,18,16
2015-11-06,6,12,5139,119,1346,16,498,11,15
2015-11-07,11,12,5390,83,1234,14,322,23,15
2015-11-08,5,2,5986,107,1274,4,339,6,11
2015-11-09,8,2,5811,116,1216,10,527,15,19
2015-11-10,9,5,5671,119,1090,6,695,13,31
2015-11-11,8,9,5773,122,1133,10,516,15,11
2015-11-12,15,20,5370,145,1161,34,555,24,38
2015-11-13,5,6,5088,89,1098,8,416,18,20
2015-11-14,8,10,5010,98,909,8,392,11,12
2015-11-15,12,11,5511,83,1038,12,536,16,19
2015-11-16,19,18,5148,110,989,17,662,23,22
2015-11-17,9,12,4846,118,1137,13,650,16,12
2015-11-18,4,7,5699,134,1054,12,597,13,17
2015-11-19,6,10,6045,107,1157,14,653,12,17
2015-11-20,7,9,5018,82,1130,13,614,15,16
2015-11-21,7,4,5391,88,1169,9,372,10,9
2015-11-22,4,13,5758,117,1220,11,555,17,23
2015-11-23,11,10,5653,120,1098,16,676,22,17
2015-11-24,10,9,5376,88,1207,14,609,14,26
2015-11-25,9,12,4978,104,1128,13,557,16,13
2015-11-26,6,8,5347,81,944,12,389,17,11
2015-11-27,6,12,6280,111,1040,12,303,16,15
2015-11-28,8,4,6210,106,1026,5,352,12,19
2015-11-29,8,9,6311,79,1050,11,445,12,19
2015-11-30,6,6,6158,102,1099,8,641,14,12
2015-12-01,11,11,5641,78,1137,12,664,16,19
2015-12-02,6,9,5033,83,1162,11,654,15,16
2015-12-03,1,3,4735,81,1064,12,636,7,13
2015-12-04,9,7,5082,81,1159,12,611,20,18
2015-12-05,12,13,5220,79,1148,13,457,12,17
2015-12-06,4,11,6426,92,1171,11,533,10,26
2015-12-07,6,11,5878,101,1232,7,887,9,7
2015-12-08,6,12,5555,108,1222,6,721,12,17
2015-12-09,15,10,4884,84,1260,12,840,24,19
2015-12-10,7,8,4915,86,1267,8,685,15,23
2015-12-11,7,9,4687,97,1157,15,683,19,18
2015-12-12,12,12,5066,82,1089,16,431,15,15
2015-12-13,6,5,5433,74,1164,6,477,9,8
2015-12-14,12,5,8636,81,1171,11,737,7,12
2015-12-15,9,8,4856,86,1082,7,658,12,20
2015-12-16,10,7,4810,74,1113,8,652,14,10
2015-12-17,9,15,4595,78,994,12,723,17,16
2015-12-18,8,5,4580,76,1002,9,542,14,18
2015-12-19,6,9,4399,64,984,7,279,10,14
2015-12-20,4,4,5050,59,864,4,324,8,6
2015-12-21,2,2,5241,77,955,6,313,12,12
2015-12-22,4,4,5053,64,968,8,466,8,10
2015-12-23,4,6,5002,71,1008,3,355,17,11
2015-12-24,6,5,4819,69,946,14,216,14,10
2015-12-25,4,3,5476,43,1075,7,222,5,13
2015-12-26,8,7,6475,72,1309,7,235,13,17
2015-12-27,3,6,7143,91,1139,4,263,9,10
2015-12-28,3,9,7398,109,1084,3,297,2,4
2015-12-29,10,7,6256,113,1194,7,529,11,15
2015-12-30,9,10,6282,98,1160,7,555,15,13
2015-12-31,8,5,5466,74,1077,13,376,11,14
2016-01-01,9,7,5397,253,1026,5,322,6,23
2016-01-02,3,5,6246,278,1095,12,350,7,15
2016-01-03,5,6,6301,292,1572,5,284,10,20
2016-01-04,12,12,6286,112,1416,10,425,16,16
2016-01-05,10,6,5583,127,1343,9,460,10,17
2016-01-06,8,6,4933,118,1247,5,475,14,11
2016-01-07,3,7,4985,102,1293,14,415,13,19
2016-01-08,12,9,5565,88,1380,8,500,9,20
2016-01-09,4,9,5392,84,1210,8,318,12,18
2016-01-10,6,8,7846,81,1231,10,366,13,21
2016-01-11,16,4,5434,112,1203,14,507,10,11
2016-01-12,10,5,4712,109,1140,10,446,8,20
2016-01-13,4,7,4650,106,1122,6,588,7,15
2016-01-14,10,5,4476,90,1144,9,598,10,14
2016-01-15,9,10,4793,115,1156,70,383,8,16
2016-01-16,12,7,5077,164,1108,8,329,18,17
2016-01-17,5,5,5456,198,1080,6,323,12,10
2016-01-18,10,8,5999,120,1095,15,437,13,21
2016-01-19,10,3,5719,85,1205,2,494,6,17
2016-01-20,7,2,4957,89,1045,2,485,10,15
2016-01-21,19,14,4748,166,1474,14,504,21,17
2016-01-22,21,7,4702,83,1421,10,434,11,12
2016-01-23,8,10,4863,153,1373,9,295,14,25
2016-01-24,6,6,5220,88,1341,11,332,8,19
2016-01-25,14,7,5236,99,1288,15,491,13,17
2016-01-26,3,5,4912,111,1370,5,460,7,9
2016-01-27,5,2,4259,89,1310,6,704,9,7
2016-01-28,10,5,4252,93,1334,8,590,11,16
2016-01-29,5,2,4279,96,1216,5,454,13,7
2016-01-30,15,10,4838,127,1197,20,311,13,21
2016-01-31,4,1,5148,91,3209,4,423,8,14
2016-02-01,5,6,4785,129,2829,7,480,23,18
2016-02-02,12,6,4124,120,2013,7,500,19,35
2016-02-03,7,6,4122,172,1536,18,572,12,22
2016-02-04,10,4,4980,99,1579,7,550,12,14
2016-02-05,8,13,4800,78,1352,11,530,12,20
2016-02-06,5,7,4916,87,1264,11,357,15,18
2016-02-07,10,8,5154,105,1307,11,361,14,16
2016-02-08,11,5,4489,120,1502,6,4090,12,12
2016-02-09,8,8,4274,90,1427,10,11128,10,22
2016-02-10,12,14,4174,95,1411,20,830,21,18
2016-02-11,6,12,4091,90,1315,18,569,15,20
2016-02-12,10,12,4081,107,1207,16,573,16,14
2016-02-13,8,7,4673,102,1266,11,376,11,16
2016-02-14,4,4,4649,90,1189,19,379,6,15
2016-02-15,8,18,4640,87,1339,16,488,15,16
2016-02-16,6,9,4337,85,1466,15,712,14,12
2016-02-17,3,13,3996,89,1311,20,737,13,13
2016-02-18,5,8,4002,97,1322,11,691,9,12
2016-02-19,6,11,4293,106,1197,13,508,11,12
2016-02-20,7,6,4337,106,1185,8,340,7,16
2016-02-21,6,24,5160,109,1243,16,450,37,47
2016-02-22,3,7,4629,106,1491,8,892,8,8
2016-02-23,8,6,4345,106,1490,11,683,14,12
2016-02-24,3,5,4560,107,1333,5,656,14,13
2016-02-25,6,5,4407,99,1306,12,625,15,10
2016-02-26,8,10,4231,106,1228,16,539,13,14
2016-02-27,9,10,4295,80,1100,6,423,13,14
2016-02-28,11,9,5127,112,1162,12,467,15,17
2016-02-29,8,10,4478,129,1103,14,831,15,12
2016-03-01,5,4,4207,365,1142,7,844,5,12
2016-03-02,5,6,4251,141,1158,6,699,9,11
2016-03-03,3,7,4061,92,1153,4,858,5,7
2016-03-04,5,5,4172,91,1192,7,654,8,12
2016-03-05,10,12,4328,87,1124,12,372,14,23
2016-03-06,8,10,4600,80,1176,5,469,14,13
2016-03-07,10,10,4633,94,1226,19,1070,14,18
2016-03-08,6,7,4536,99,1138,11,716,13,16
2016-03-09,7,8,4430,79,1234,11,3147,15,13
2016-03-10,5,9,4385,85,1218,8,1253,8,14
2016-03-11,5,5,4105,99,1240,8,809,15,17
2016-03-12,10,16,4239,92,1143,16,492,24,25
2016-03-13,4,6,4588,72,1322,8,545,17,18
