Date,"Ram Narayan","Tidus","June 1941 uprising in eastern Herzegovina","4 (Beyoncé album)","Ukiyo-e","Japanese aircraft carrier Jun'yō","The Well of Loneliness","White-naped xenopsaris","Tropical Storm Bill (2003)"
2015-07-01,67,123,12,692,679,68,101,1,16
2015-07-02,55,135,13,818,637,40,109,10,11
2015-07-03,40,99,16,810,576,48,121,2,11
2015-07-04,47,132,9,824,546,57,122,0,7
2015-07-05,38,124,24,785,603,55,127,2,18
2015-07-06,55,177,14,806,717,63,109,3,7
2015-07-07,54,160,17,838,781,57,140,0,10
2015-07-08,55,143,20,821,855,65,119,3,27
2015-07-09,48,130,16,816,730,68,115,2,23
2015-07-10,58,136,20,879,619,59,107,2,19
2015-07-11,48,115,17,731,605,57,126,1,9
2015-07-12,47,110,16,763,680,68,124,3,11
2015-07-13,37,157,20,804,791,51,118,2,10
2015-07-14,57,134,22,744,816,48,124,3,27
2015-07-15,52,146,13,698,699,56,118,3,20
2015-07-16,57,119,12,782,1240,56,117,0,21
2015-07-17,30,135,5,737,809,47,139,0,15
2015-07-18,31,103,15,812,668,40,118,2,9
2015-07-19,54,129,9,789,1173,47,138,4,9
2015-07-20,60,142,13,820,1017,49,139,1,13
2015-07-21,55,124,13,855,821,46,115,0,13
2015-07-22,49,122,13,823,775,65,135,1,9
2015-07-23,56,130,18,759,687,49,117,2,15
2015-07-24,52,128,28,681,646,51,138,0,21
2015-07-25,43,112,14,636,635,27,120,1,15
2015-07-26,71,122,18,670,795,34,156,1,12
2015-07-27,72,123,18,707,2548,67,152,1,14
2015-07-28,62,147,23,694,818,46,125,1,9
2015-07-29,53,128,20,644,922,51,123,1,26
2015-07-30,75,124,17,667,855,64,105,2,22
2015-07-31,71,106,21,664,704,33,108,3,20
2015-08-01,58,102,14,582,638,38,102,1,19
2015-08-02,63,146,14,603,696,38,123,0,23
2015-08-03,52,141,22,699,707,50,123,0,28
2015-08-04,63,113,15,811,748,64,138,0,16
2015-08-05,44,125,12,757,787,65,141,0,11
2015-08-06,63,115,17,741,725,46,145,1,16
2015-08-07,55,126,30,777,716,49,105,2,12
2015-08-08,60,107,16,811,644,39,95,0,21
2015-08-09,79,121,19,811,644,59,120,2,14
2015-08-10,48,107,19,789,681,70,111,5,13
2015-08-11,53,131,18,735,711,46,128,2,11
