Date,"Panggilan Darah","Canada","Grey jay","Castle","Baseball","Head VI","Eega","The Beatles","Oregon Caves National Monument and Preserve"
2015-07-01,0,38400,2,1072,3404,24,1418,10645,31
2015-07-02,0,26371,0,1175,3108,29,1157,10980,37
2015-07-03,0,18920,6,1069,2871,27,1097,11294,42
2015-07-04,2,20524,1,1038,3999,25,1274,11084,32
2015-07-05,3,21501,1,1111,3437,23,1610,11838,44
2015-07-06,0,23111,2,1275,3345,28,1684,13833,58
2015-07-07,1,21441,3,1222,3328,56,1718,27878,41
2015-07-08,2,18824,4,1215,3473,47,2132,15157,39
2015-07-09,1,18462,0,1332,3306,29,2920,12736,57
2015-07-10,0,19041,0,1333,2961,34,5897,12690,36
2015-07-11,2,18208,2,1201,3164,23,6542,11512,45
2015-07-12,1,18441,3,1543,3471,88,6626,11574,41
2015-07-13,3,19012,1,1576,3156,56,7304,11482,30
2015-07-14,2,19426,3,1293,3218,173,5637,11156,44
2015-07-15,1,20137,1,1345,3738,90,5134,10855,45
2015-07-16,0,18127,2,1394,2981,39,4848,10784,32
2015-07-17,1,17725,2,1122,3106,25,4493,10945,46
2015-07-18,1,16370,6,1013,2939,29,5436,10256,30
2015-07-19,1,16741,1,1198,3141,21,4976,11103,41
2015-07-20,2,18740,6,1476,3288,20,4650,10649,37
2015-07-21,1,18575,1,1409,3107,52,4405,11088,35
2015-07-22,3,18589,10,1215,3495,35,3496,11003,51
2015-07-23,0,17680,0,1516,3054,49,3311,11343,43
2015-07-24,3,17449,1,1129,2832,32,3066,10763,35
2015-07-25,4,17090,2,1082,2729,31,3266,11171,49
2015-07-26,3,18456,2,1209,3142,34,4434,11527,55
2015-07-27,3,19431,4,1169,3129,30,3088,11153,50
2015-07-28,3,19512,3,1204,3211,36,2430,11185,56
2015-07-29,1,19706,1,1184,3420,27,2120,12338,31
2015-07-30,1,17914,2,1059,3243,31,2003,12198,26
2015-07-31,2,17663,4,1004,3027,32,1886,10801,44
2015-08-01,1,16331,1,1006,3062,38,2152,12148,50
2015-08-02,0,18714,1,1033,3389,34,2034,13103,50
2015-08-03,1,17118,4,1140,2937,40,2155,11764,41
2015-08-04,1,18604,1,1213,3123,41,2137,12791,48
2015-08-05,1,19188,3,1304,3162,34,1991,12201,38
2015-08-06,2,17515,1,1198,2984,28,1613,12871,41
2015-08-07,1,17418,2,994,2881,32,1611,12545,41
2015-08-08,2,16264,4,1045,2881,34,1961,11898,38
2015-08-09,0,17016,6,1115,3062,52,3035,11553,50
2015-08-10,5,17960,0,1194,2911,39,1572,11164,37
2015-08-11,3,18204,7,1316,3210,36,1586,11193,45
2015-08-12,0,18473,3,1182,3287,29,1560,10549,60
2015-08-13,0,17861,1,1582,3424,33,1516,10892,54
2015-08-14,2,18214,3,1092,3023,35,1650,12090,27
2015-08-15,2,17242,3,1012,3302,28,1608,12021,48
2015-08-16,2,18015,3,1077,3279,27,2008,12690,37
2015-08-17,1,19102,1,1280,2910,35,1851,12122,44
2015-08-18,2,20938,3,1289,3430,33,1930,12232,57
2015-08-19,3,18811,1,1262,3421,41,1587,11841,49
2015-08-20,3,18846,3,1322,3055,28,1590,12740,30
2015-08-21,1,18271,4,1124,3256,36,1589,11617,37
2015-08-22,3,16610,1,1053,3088,30,2545,12368,33
2015-08-23,1,19971,2,1147,3113,24,1623,12272,44
2015-08-24,3,19452,1,1275,3520,49,1395,12019,36
2015-08-25,3,19629,1,1296,3655,54,1303,12428,30
2015-08-26,2,19124,0,1170,3610,40,1294,11399,60
2015-08-27,7,19577,3,1204,4269,29,1178,11251,30
2015-08-28,3,29950,4,1169,3432,30,1273,11459,55
2015-08-29,1,16330,2,1045,3279,32,1458,11525,25
2015-08-30,0,17609,6,1182,3686,26,2757,11975,30
