Date,"Weird Tales","Grace Sherwood","Dredd","Battle of Prokhorovka","Blade Runner","Noye's Fludde","God of War III","Project Y","Dire wolf"
2015-07-01,225,42,1512,279,3650,38,1169,0,2083
2015-07-02,193,49,1523,247,3834,59,1146,0,2297
2015-07-03,324,175,2188,263,4318,36,1099,0,2129
2015-07-04,179,69,1779,312,3802,38,1236,0,2034
2015-07-05,173,69,1876,424,4653,58,1202,0,2551
2015-07-06,177,51,1786,345,4687,71,1247,0,3210
2015-07-07,173,60,1665,310,7093,67,1367,0,2514
2015-07-08,186,41,1636,342,6161,40,1935,0,2147
2015-07-09,215,67,1549,454,4207,65,1590,0,2195
2015-07-10,181,74,1546,801,4033,64,1435,0,2002
2015-07-11,158,78,1694,911,5269,53,1615,0,2463
2015-07-12,163,72,2988,2290,4918,53,1651,0,2276
2015-07-13,176,64,2280,1262,5173,49,2076,0,2093
2015-07-14,177,48,1967,555,4519,44,3749,0,1930
2015-07-15,217,51,1841,492,4025,61,3396,0,3240
2015-07-16,178,230,2844,527,4239,64,2560,0,1903
2015-07-17,166,112,1885,443,4245,60,2241,0,1908
2015-07-18,153,53,1948,705,4289,52,2970,0,2060
2015-07-19,176,57,2392,275,4995,49,2440,0,2187
2015-07-20,198,67,2223,335,4364,60,2592,0,2340
2015-07-21,173,44,1980,283,4285,55,1874,0,1966
2015-07-22,235,62,1905,290,4006,40,1698,0,6582
2015-07-23,217,54,1832,290,4323,45,1725,0,3448
2015-07-24,186,43,1814,721,3858,65,1667,0,4694
2015-07-25,159,60,3196,265,4300,59,1782,0,2504
2015-07-26,175,89,3743,238,4714,70,1756,0,2884
2015-07-27,200,80,2410,351,4187,80,1596,0,2388
2015-07-28,164,56,2049,380,4654,51,1543,0,2113
2015-07-29,195,70,1913,257,4798,52,1512,0,1835
2015-07-30,180,59,2056,271,4223,50,1593,0,1847
2015-07-31,182,68,2430,255,4773,150,1635,0,1819
2015-08-01,193,80,7782,259,4560,40,1484,0,1804
2015-08-02,192,84,4311,266,4306,61,1406,0,2396
2015-08-03,170,67,2423,248,3702,53,1326,0,1887
2015-08-04,183,47,2080,300,4491,148,1256,0,1804
2015-08-05,194,63,4019,308,4257,69,1280,0,3400
2015-08-06,221,50,3028,293,3814,33,1203,0,2533
2015-08-07,199,63,2218,277,3858,44,1268,0,4496
2015-08-08,174,353,2143,236,4821,38,1186,0,2166
2015-08-09,180,96,2164,200,5007,44,1320,0,2256
2015-08-10,184,65,2011,244,4419,45,1216,0,1892
2015-08-11,189,72,1948,280,4006,39,1215,0,2171
2015-08-12,196,60,2249,241,3894,56,1219,0,2250
2015-08-13,195,54,1929,302,3889,39,1207,0,1999
2015-08-14,169,63,1707,217,3921,51,1142,0,2006
2015-08-15,148,55,1982,227,4074,49,1109,0,1983
2015-08-16,173,75,3327,278,4304,61,1267,0,2246
2015-08-17,224,58,2273,256,4442,65,1186,0,1966
2015-08-18,220,64,1948,306,4663,40,1203,0,1815
2015-08-19,179,144,1927,231,4415,53,1168,0,1708
2015-08-20,247,105,1680,260,4189,43,1090,0,1855
2015-08-21,219,80,1850,235,4022,57,1058,0,1814
2015-08-22,182,73,1968,314,4729,37,1170,0,1684
2015-08-23,188,46,3025,330,4417,37,1202,0,1747
2015-08-24,216,79,2415,289,4230,47,1111,0,1867
2015-08-25,223,79,1712,325,4194,40,1072,0,2028
2015-08-26,204,48,1643,378,3900,74,1089,0,1790
2015-08-27,188,52,1635,328,3867,40,1039,0,1783
2015-08-28,188,64,5153,287,3954,42,1100,0,2768
2015-08-29,145,48,3057,206,4023,41,1137,0,1698
2015-08-30,182,77,2174,241,4893,44,1202,0,1875
2015-08-31,209,61,2111,299,4588,54,1106,0,2136
2015-09-01,209,58,1691,269,3863,85,1009,0,1867
2015-09-02,180,37,1585,273,3918,55,1013,0,1692
2015-09-03,185,57,1513,281,3861,74,978,0,1513
2015-09-04,201,465,1661,323,3728,63,994,0,1544
2015-09-05,160,81,1786,2006,4032,58,1084,0,1485
2015-09-06,168,75,1862,252,4621,64,1104,0,1709
2015-09-07,183,107,1878,308,7085,66,1098,0,1951
2015-09-08,207,78,1859,296,4459,46,1045,0,1876
2015-09-09,157,66,1473,282,4132,41,894,0,2078
2015-09-10,155,67,1349,267,4205,45,872,0,1902
2015-09-11,166,88,1451,263,3975,96,984,0,2649
2015-09-12,170,65,2662,221,4378,38,1011,0,4423
2015-09-13,167,42,1787,222,4978,43,1043,0,6614
2015-09-14,156,57,1530,316,5303,76,904,0,5442
2015-09-15,149,73,1354,262,4458,79,906,0,4652
2015-09-16,146,52,1227,232,5075,74,842,0,3485
2015-09-17,189,47,1242,270,4008,81,930,0,2706
2015-09-18,157,41,1236,197,4057,76,930,0,2318
2015-09-19,159,78,1356,307,4171,99,1055,0,2304
2015-09-20,144,76,1663,233,6307,151,962,0,3446
2015-09-21,184,60,1783,275,4635,142,906,0,2004
2015-09-22,197,62,1322,481,4526,139,869,0,2051
2015-09-23,182,66,1361,424,4665,110,925,0,1905
2015-09-24,179,65,1234,218,4860,109,1020,0,1753
2015-09-25,201,159,1285,201,4555,112,874,0,1817
2015-09-26,164,73,1316,238,4319,98,922,0,1864
2015-09-27,169,103,1483,236,4921,130,1065,0,4241
2015-09-28,157,106,1992,256,5023,109,905,0,2401
2015-09-29,210,68,1251,300,5781,75,805,0,2236
2015-09-30,185,79,1175,223,6953,93,813,0,1933
2015-10-01,188,56,1101,219,5852,86,862,0,3666
2015-10-02,151,59,1534,197,5713,91,1009,0,2291
2015-10-03,142,55,1471,161,5434,101,960,0,3066
2015-10-04,155,332,1858,202,5878,115,991,0,5538
2015-10-05,190,91,1378,234,6807,135,1170,0,2590
2015-10-06,191,220,1419,304,5114,109,838,0,2134
2015-10-07,225,84,1287,215,4877,126,818,0,2076
2015-10-08,193,56,1236,313,4637,78,865,0,1804
2015-10-09,187,88,1207,232,4889,104,899,0,1960
2015-10-10,183,61,1524,208,4843,75,860,0,1907
2015-10-11,177,56,1343,186,5169,80,966,0,6237
2015-10-12,213,69,1541,222,5133,100,998,0,2957
2015-10-13,189,61,1392,250,4575,71,886,0,2350
2015-10-14,192,82,1603,205,4276,61,963,0,2184
2015-10-15,220,75,1365,220,4570,74,869,0,2008
2015-10-16,188,49,1377,204,4110,36,847,0,1820
2015-10-17,190,50,1890,209,4319,68,1017,0,1859
2015-10-18,162,53,1514,195,4874,72,1067,0,2590
2015-10-19,208,83,1495,311,5094,109,920,0,3210
2015-10-20,196,81,1231,204,6070,84,888,0,2913
2015-10-21,211,87,1144,228,8807,67,850,0,3139
2015-10-22,206,72,1255,214,6839,181,885,0,3654
2015-10-23,182,189,5366,195,5969,91,889,0,2542
2015-10-24,179,245,3264,173,5001,61,987,0,1853
2015-10-25,193,92,2537,218,5434,89,1005,0,2020
2015-10-26,187,102,1541,234,5283,100,901,0,1896
2015-10-27,224,88,1920,218,4885,82,826,0,2090
2015-10-28,221,104,1270,250,4610,63,1105,0,2694
2015-10-29,170,100,1240,198,4302,156,1163,0,2106
2015-10-30,205,159,1153,213,5447,179,1077,0,2556
2015-10-31,155,134,1166,140,5303,166,933,0,2108
2015-11-01,226,106,1631,223,4596,173,1030,0,4889
2015-11-02,194,67,1663,222,4537,263,964,0,2758
2015-11-03,208,65,1719,260,4297,176,935,0,2085
2015-11-04,188,61,1528,257,4256,197,827,0,1992
2015-11-05,199,62,1414,248,7187,168,920,0,1935
2015-11-06,170,53,1382,270,4551,57,887,0,2309
2015-11-07,148,43,1638,234,4546,63,852,0,2198
2015-11-08,222,41,1637,204,6272,87,1014,0,2061
2015-11-09,380,106,1459,209,4876,72,890,0,1999
2015-11-10,204,153,2422,219,4481,67,889,0,1883
2015-11-11,188,87,3261,220,4958,79,978,0,1693
2015-11-12,196,90,1309,217,5270,61,949,0,1713
2015-11-13,165,58,1326,218,4671,53,896,0,2135
2015-11-14,157,55,1263,162,3891,68,962,0,1634
2015-11-15,186,59,1510,169,5971,56,961,0,1809
2015-11-16,234,61,1829,168,5886,76,898,0,1742
