Date,"Columbia River","McDonnell Douglas A-4G Skyhawk","Audioslave","Murder of Dwayne Jones","2012 Tour de France","1983 Atlantic hurricane season","Monte Ne","Kill 'Em All","Calvatia sculpta"
2015-07-01,977,51,1396,36,413,26,39,910,22
2015-07-02,922,55,1402,44,533,19,46,982,16
2015-07-03,1002,40,1596,30,696,19,44,913,18
2015-07-04,1037,53,1425,35,1260,20,41,919,11
2015-07-05,1005,54,1483,92,1368,18,45,913,15
2015-07-06,1120,52,1524,47,1523,36,41,924,26
2015-07-07,1046,53,1560,43,1692,37,49,1072,30
2015-07-08,1050,58,1530,38,1548,41,39,998,28
2015-07-09,998,56,1462,24,1346,38,47,926,19
2015-07-10,1095,65,1623,48,1401,42,51,882,30
2015-07-11,1009,40,1585,19,1424,29,68,825,78
2015-07-12,1202,60,1481,28,1437,33,41,778,206
2015-07-13,1113,56,1487,29,1228,47,45,818,33
2015-07-14,1147,67,1475,34,2627,47,53,876,27
2015-07-15,988,54,1455,43,2383,69,37,835,19
2015-07-16,1179,58,1553,87,2272,48,52,798,14
2015-07-17,1134,59,1604,63,1937,21,34,831,21
2015-07-18,977,51,1431,54,1826,35,61,852,20
2015-07-19,1127,68,1597,45,2035,25,46,809,18
2015-07-20,1127,79,1831,51,1994,34,35,828,16
2015-07-21,956,56,1557,48,1463,29,17,900,14
2015-07-22,1082,42,1546,72,2147,33,46,878,13
2015-07-23,1299,52,1513,47,2449,43,42,894,22
2015-07-24,1033,55,1754,33,3390,30,64,1019,22
2015-07-25,949,46,1730,36,4322,34,29,1625,11
2015-07-26,1130,55,1847,47,5726,84,47,1136,14
2015-07-27,1207,63,1667,69,3442,52,43,1043,23
2015-07-28,1164,58,1629,43,1259,38,46,1018,14
2015-07-29,1138,62,1670,88,829,58,48,977,27
2015-07-30,1136,45,1697,45,553,42,60,1017,27
2015-07-31,1166,62,1725,36,431,29,80,965,24
2015-08-01,1044,60,1583,21,377,34,44,927,18
2015-08-02,1099,69,1592,32,421,42,40,973,22
2015-08-03,1098,61,1331,30,383,59,46,937,27
2015-08-04,1103,66,1961,34,321,45,50,1007,21
2015-08-05,1123,54,2128,68,321,37,37,934,26
2015-08-06,1000,58,1824,34,220,49,45,877,23
2015-08-07,990,39,1577,34,290,72,43,870,20
2015-08-08,973,57,1435,36,148,37,34,863,16
2015-08-09,1156,74,1593,53,165,30,45,936,15
2015-08-10,978,66,1479,72,268,41,52,832,24
2015-08-11,1087,53,1524,44,315,51,50,844,23
2015-08-12,1147,54,1622,62,225,36,33,906,37
2015-08-13,934,66,1698,36,244,58,48,895,75
2015-08-14,1088,59,1701,40,164,40,34,924,23
2015-08-15,1164,46,1526,45,130,43,53,889,31
2015-08-16,1163,92,1691,30,150,43,39,842,21
2015-08-17,1138,65,1562,42,169,39,41,859,22
2015-08-18,1154,65,1641,34,156,83,49,998,30
2015-08-19,1025,69,1683,45,132,63,38,860,21
2015-08-20,1179,65,1560,37,136,68,38,899,19
2015-08-21,1028,52,1667,78,128,76,36,1013,22
2015-08-22,954,69,1481,70,125,54,32,959,19
2015-08-23,1141,86,1599,40,143,41,50,860,32
2015-08-24,1079,61,1502,53,283,60,61,1067,22
2015-08-25,1015,80,1531,33,343,52,38,987,25
2015-08-26,999,70,1479,43,198,65,39,971,27
2015-08-27,1069,57,1498,35,137,72,29,1008,26
2015-08-28,1056,106,1523,50,137,115,43,959,22
