Date,"Roosevelt dime","Yugoslav monitor Sava","Isidor Isaac Rabi","Giganotosaurus","Gubby Allen","Peter Evans (swimmer)","Teleost","William Cooley","Rare Replay"
2015-07-01,6,5,92,2369,26,9,60,15,3497
2015-07-02,4,7,80,2180,19,10,69,12,3006
2015-07-03,6,9,91,2107,44,6,77,27,2827
2015-07-04,21,6,74,2195,43,25,73,14,2124
2015-07-05,5,11,221,2276,37,13,71,24,2207
2015-07-06,8,17,122,3282,36,7,91,27,2945
2015-07-07,14,6,99,2196,56,13,99,27,5017
2015-07-08,7,2,116,2084,64,14,116,19,5259
2015-07-09,5,6,87,1947,40,17,85,15,2597
2015-07-10,12,9,132,1661,45,10,97,20,2650
2015-07-11,6,12,82,1984,46,8,78,27,2267
2015-07-12,9,12,69,2207,42,12,107,17,2229
2015-07-13,11,5,99,1838,41,18,108,14,3256
2015-07-14,4,12,123,1524,54,17,86,35,3006
2015-07-15,4,8,115,1455,43,9,76,22,2526
2015-07-16,4,11,315,1553,74,15,60,18,2556
2015-07-17,5,16,145,1474,85,10,69,23,2182
2015-07-18,13,12,85,1457,86,10,84,20,2107
2015-07-19,10,4,128,2053,69,13,89,27,2252
2015-07-20,10,6,115,1361,39,12,77,13,3219
2015-07-21,10,3,109,1430,28,8,77,25,3966
2015-07-22,9,7,116,1189,31,10,78,12,5419
2015-07-23,2,98,119,1491,49,14,69,26,5279
2015-07-24,4,17,115,1191,38,30,66,29,6546
2015-07-25,27,10,108,1133,47,8,48,17,7480
2015-07-26,9,4,84,1333,32,15,211,32,6157
2015-07-27,8,8,90,1242,37,20,135,20,7346
2015-07-28,8,18,140,1661,40,14,96,19,6195
2015-07-29,2,12,269,1434,62,16,70,28,5383
2015-07-30,3,7,116,1085,48,15,66,14,6711
2015-07-31,3,4,120,988,63,21,48,25,9400
2015-08-01,9,8,100,1088,41,15,52,20,6937
2015-08-02,7,8,105,1579,58,22,63,43,9450
2015-08-03,7,7,105,982,44,26,69,36,16734
2015-08-04,8,10,103,955,51,19,75,27,37755
2015-08-05,7,7,150,921,32,13,71,28,23716
2015-08-06,3,13,126,893,146,13,65,29,17891
2015-08-07,9,8,125,890,78,12,56,31,14330
2015-08-08,7,8,116,1958,67,12,59,24,12534
2015-08-09,5,9,128,1955,62,12,56,19,11680
2015-08-10,11,3,211,1488,86,17,56,28,13589
2015-08-11,7,7,164,1298,73,24,57,23,11887
2015-08-12,5,3,129,1378,80,21,74,22,9270
2015-08-13,4,14,97,1082,91,11,63,31,8187
2015-08-14,2,9,96,981,94,20,59,30,7656
2015-08-15,2,9,113,1015,87,17,61,25,6834
2015-08-16,7,13,150,1114,67,13,50,36,6866
2015-08-17,3,12,86,1068,75,15,55,33,6960
2015-08-18,10,13,113,1146,54,16,59,20,6267
2015-08-19,10,4,72,983,45,19,64,32,5726
2015-08-20,8,16,126,966,48,24,67,41,5565
2015-08-21,8,8,136,1039,55,19,59,31,5744
2015-08-22,7,25,137,834,80,13,57,25,5298
2015-08-23,7,10,120,907,72,10,59,27,4554
2015-08-24,6,16,152,826,55,16,69,32,4528
2015-08-25,8,27,101,846,46,22,64,25,4847
2015-08-26,11,25,103,794,42,16,64,34,3994
2015-08-27,4,22,124,863,53,18,59,27,3413
2015-08-28,4,26,111,763,67,22,63,25,3599
2015-08-29,11,20,71,797,45,18,47,26,3380
2015-08-30,8,20,185,896,20,16,56,32,3648
2015-08-31,11,14,124,853,22,9,68,25,3157
2015-09-01,6,21,135,873,32,20,59,30,2832
2015-09-02,8,39,99,795,37,13,69,23,2572
2015-09-03,10,34,149,1129,42,12,55,31,2706
2015-09-04,7,20,121,764,34,23,68,21,2528
2015-09-05,10,23,100,888,48,16,56,25,2796
2015-09-06,8,24,136,875,36,17,65,34,2489
2015-09-07,7,31,114,805,48,18,61,40,2707
2015-09-08,10,22,126,751,54,7,79,37,2241
2015-09-09,10,23,106,745,33,16,63,40,2016
2015-09-10,5,19,111,642,39,17,62,28,1987
2015-09-11,9,30,102,710,75,67,55,51,2088
2015-09-12,5,10,95,789,31,14,43,26,2276
2015-09-13,5,24,86,746,22,10,55,32,5002
2015-09-14,9,27,105,816,48,17,62,32,3920
2015-09-15,7,18,138,665,35,16,77,26,2884
2015-09-16,3,21,97,635,26,13,92,28,2325
2015-09-17,3,26,114,2133,36,18,75,24,2303
2015-09-18,7,16,101,663,23,6,61,43,2106
2015-09-19,16,13,137,658,31,14,49,50,2136
2015-09-20,5,23,115,728,23,8,68,28,2375
2015-09-21,7,22,128,715,25,7,81,19,2091
2015-09-22,8,22,161,690,32,17,66,24,1911
2015-09-23,6,17,103,685,38,14,64,32,7016
2015-09-24,10,21,105,777,27,13,76,28,1793
2015-09-25,2,15,114,755,25,12,76,31,1859
2015-09-26,9,16,70,666,20,15,57,22,1809
2015-09-27,4,19,81,739,38,10,69,21,1804
2015-09-28,7,28,97,777,34,12,66,18,1871
2015-09-29,5,19,130,719,31,17,72,44,2869
2015-09-30,11,18,89,756,25,18,60,33,2583
2015-10-01,4,6,137,733,32,16,65,34,1927
2015-10-02,6,25,93,699,38,13,65,22,1766
2015-10-03,8,50,81,767,34,21,54,17,1940
2015-10-04,7,19,99,854,38,9,63,26,2118
2015-10-05,4,27,155,1030,30,12,60,26,1688
2015-10-06,9,16,172,880,31,15,88,31,1473
2015-10-07,4,19,207,880,46,13,85,26,1476
2015-10-08,7,30,145,890,21,13,63,19,1411
2015-10-09,2,12,135,823,26,19,62,25,1467
2015-10-10,4,21,101,957,17,11,59,18,1514
2015-10-11,6,25,114,1024,15,5,56,17,1504
2015-10-12,9,19,117,938,24,13,76,34,1650
2015-10-13,2,29,113,920,42,14,77,23,1495
2015-10-14,16,29,122,903,48,10,69,27,1602
2015-10-15,16,31,128,848,45,14,65,36,1514
2015-10-16,8,19,112,884,31,11,55,21,1562
2015-10-17,10,17,106,1244,22,6,57,18,1489
2015-10-18,14,22,126,1084,27,14,59,23,1686
2015-10-19,7,28,122,1086,28,14,73,32,1536
2015-10-20,3,17,114,1432,21,13,77,31,1522
2015-10-21,12,27,120,1601,32,13,71,25,1727
2015-10-22,6,14,108,1155,38,27,69,31,1536
2015-10-23,5,27,102,1144,43,15,61,24,1635
2015-10-24,5,12,81,1228,27,6,48,20,1624
2015-10-25,7,33,116,1862,31,10,70,18,1685
2015-10-26,10,22,113,1297,26,24,76,35,1699
2015-10-27,11,24,105,1092,25,11,70,28,1928
2015-10-28,3,9,133,1005,28,16,80,31,2008
2015-10-29,4,12,148,1336,19,18,67,25,1626
2015-10-30,3,13,125,982,37,24,76,38,1592
2015-10-31,7,18,104,1096,25,16,55,21,1628
2015-11-01,6,21,120,1134,36,17,44,26,1693
2015-11-02,7,37,136,1064,21,9,70,24,1846
2015-11-03,7,36,124,1348,30,13,77,27,1660
2015-11-04,7,29,109,1790,80,18,67,32,1757
2015-11-05,5,22,119,4338,35,8,77,24,1847
2015-11-06,3,20,113,2713,34,11,69,23,2180
2015-11-07,6,35,97,2006,42,20,71,26,2550
2015-11-08,8,18,131,2242,29,8,63,32,2439
2015-11-09,10,21,110,1631,40,10,66,38,2297
2015-11-10,11,23,130,1383,80,11,71,30,2013
2015-11-11,6,19,124,1500,65,11,73,22,1863
2015-11-12,6,14,132,1190,39,20,66,35,1842
2015-11-13,8,29,108,1023,18,7,83,20,1961
2015-11-14,9,16,128,1035,33,10,60,22,1791
2015-11-15,5,32,159,1018,36,15,58,26,1871
2015-11-16,4,21,131,942,43,14,71,28,1909
2015-11-17,5,39,104,902,23,12,63,24,1832
2015-11-18,9,23,142,850,13,10,75,31,1821
2015-11-19,9,20,165,826,27,10,61,26,1792
2015-11-20,12,35,131,841,24,12,68,30,2016
2015-11-21,8,23,114,1021,23,14,52,17,2017
2015-11-22,4,21,118,1052,16,12,74,25,2217
2015-11-23,6,14,140,946,27,11,60,22,2221
2015-11-24,12,20,112,964,23,11,88,18,2129
2015-11-25,2,9,128,914,29,8,65,13,2161
2015-11-26,6,10,113,876,36,12,77,20,7590
2015-11-27,6,25,137,1162,30,14,52,15,14137
2015-11-28,9,51,93,931,28,8,53,17,6887
2015-11-29,5,28,114,1109,30,9,62,26,5553
2015-11-30,10,25,183,983,36,11,79,17,7895
2015-12-01,4,22,98,882,27,14,87,22,4556
2015-12-02,7,19,197,895,25,14,79,32,2811
2015-12-03,16,62,128,771,20,8,71,18,2760
2015-12-04,7,61,91,953,16,18,64,27,2873
2015-12-05,8,21,130,856,18,15,46,25,2707
2015-12-06,7,14,110,953,21,9,55,12,2752
2015-12-07,7,32,139,913,23,8,73,16,2914
2015-12-08,4,20,120,899,30,11,64,21,2722
2015-12-09,9,18,163,846,31,19,76,29,2635
2015-12-10,5,23,145,955,24,11,68,24,2882
2015-12-11,6,14,144,839,29,14,105,26,2996
2015-12-12,8,37,109,803,29,20,54,37,4695
2015-12-13,9,32,101,841,26,8,58,14,4340
2015-12-14,11,52,118,862,25,12,82,22,4223
2015-12-15,10,18,140,860,33,14,72,26,3186
2015-12-16,8,54,124,793,20,15,57,26,2741
2015-12-17,6,64,111,896,27,13,71,27,2503
2015-12-18,7,22,101,765,23,20,44,26,2435
2015-12-19,7,24,79,809,24,16,37,20,2669
2015-12-20,10,22,103,877,18,4,50,11,2640
2015-12-21,8,27,102,942,26,5,49,19,3195
2015-12-22,11,20,105,1061,16,6,40,18,3438
2015-12-23,9,19,91,1093,25,7,43,24,2966
2015-12-24,7,18,91,886,24,10,40,17,2796
2015-12-25,5,20,89,946,10,8,66,19,5734
2015-12-26,3,31,98,1156,27,10,61,29,6054
2015-12-27,8,21,88,1222,22,9,55,19,4450
2015-12-28,9,17,107,1102,24,4,44,21,4001
2015-12-29,8,31,117,1112,47,14,54,36,3180
2015-12-30,7,22,116,1146,24,13,66,32,2807
2015-12-31,8,17,90,1163,25,11,39,17,2402
2016-01-01,3,13,78,1128,37,18,41,13,2076
2016-01-02,11,15,94,1242,32,7,75,24,2449
2016-01-03,2,27,99,1489,37,10,59,22,2258
2016-01-04,4,22,103,1328,37,12,63,27,1986
2016-01-05,8,29,97,1285,42,30,80,25,1784
2016-01-06,6,12,125,1290,45,21,67,42,1661
2016-01-07,19,15,153,1622,32,11,83,22,1453
2016-01-08,17,27,131,1145,30,11,82,38,1925
2016-01-09,10,21,115,1182,21,10,62,27,1665
2016-01-10,7,22,139,1365,22,17,61,26,1525
2016-01-11,12,59,147,1203,40,22,170,25,1457
2016-01-12,6,17,130,1277,26,14,247,25,1325
2016-01-13,12,16,136,1614,24,9,318,16,1520
2016-01-14,8,15,113,1332,30,13,322,33,1500
2016-01-15,6,18,118,1427,18,19,291,17,1379
2016-01-16,4,39,105,1278,30,11,180,23,1553
2016-01-17,8,16,105,1546,28,7,241,14,1469
2016-01-18,1,20,101,1281,37,17,341,32,1310
2016-01-19,3,32,160,1306,29,13,307,16,1112
2016-01-20,8,23,126,1243,22,14,242,30,1171
2016-01-21,11,20,115,1253,33,21,237,25,1282
2016-01-22,14,39,160,1321,26,8,199,32,1241
2016-01-23,17,34,99,1296,33,14,178,20,1292
2016-01-24,11,108,148,1728,39,5,162,29,1394
2016-01-25,6,549,140,1437,37,11,271,27,1186
2016-01-26,12,377,142,1355,29,8,317,20,1054
2016-01-27,8,246,120,1198,41,13,255,37,1101
2016-01-28,7,167,111,1094,27,15,249,28,1086
2016-01-29,14,165,111,1041,19,8,230,11,1073
2016-01-30,13,111,87,1158,21,13,162,35,1272
2016-01-31,16,146,134,1150,16,8,213,23,1392
2016-02-01,10,126,143,1098,18,9,292,22,1171
2016-02-02,8,174,118,1070,28,12,255,23,985
2016-02-03,5,112,116,1016,22,8,332,16,1058
2016-02-04,12,116,151,1020,26,12,300,12,1099
2016-02-05,10,64,166,1082,22,12,321,21,1024
2016-02-06,8,43,130,1081,27,14,170,18,1237
2016-02-07,10,37,137,1113,31,10,296,31,1298
2016-02-08,17,30,132,957,22,10,284,25,1200
2016-02-09,8,25,121,990,11,15,321,15,1293
2016-02-10,3,37,114,975,24,12,318,24,1307
2016-02-11,11,24,139,1272,29,8,317,32,1358
2016-02-12,9,27,157,989,23,19,209,23,1331
2016-02-13,3,62,147,961,25,10,159,27,1379
2016-02-14,15,37,312,994,33,9,176,20,1407
2016-02-15,5,26,148,936,28,13,317,34,1506
2016-02-16,8,44,160,1037,41,6,339,38,1318
2016-02-17,5,30,153,977,21,17,327,27,1550
2016-02-18,9,26,129,1055,32,8,284,20,1297
2016-02-19,8,31,129,1002,35,8,268,20,1564
2016-02-20,8,30,111,903,30,7,212,24,1322
2016-02-21,15,28,140,1060,16,7,244,35,1303
2016-02-22,12,27,127,995,34,9,345,21,1169
2016-02-23,6,31,201,925,34,15,349,26,3071
2016-02-24,16,23,141,931,25,11,358,20,1139
2016-02-25,10,21,305,943,31,19,426,30,1197
2016-02-26,14,40,103,913,17,10,312,31,1252
2016-02-27,5,33,114,894,21,14,272,26,1404
2016-02-28,4,37,135,1022,23,15,255,26,1270
2016-02-29,8,22,122,1004,25,19,364,27,1174
2016-03-01,9,19,144,930,21,8,287,21,1120
2016-03-02,5,45,127,861,18,9,296,22,1183
2016-03-03,7,22,205,1005,15,9,301,27,1029
2016-03-04,4,17,211,853,24,16,282,18,993
2016-03-05,9,31,145,907,22,19,200,35,1189
2016-03-06,11,28,115,849,20,22,212,15,1378
2016-03-07,12,25,119,897,22,14,367,26,1282
2016-03-08,10,30,137,847,23,26,366,31,1194
2016-03-09,7,26,163,775,22,20,299,37,1072
2016-03-10,9,28,148,735,31,17,260,32,1086
2016-03-11,16,43,109,799,17,17,214,19,1066
2016-03-12,4,36,108,717,26,19,203,38,1122
2016-03-13,7,19,122,785,16,19,194,24,1115
2016-03-14,7,19,121,1008,27,17,371,26,957
2016-03-15,5,27,124,1265,42,24,321,29,915
2016-03-16,6,25,118,911,20,18,336,30,947
2016-03-17,8,39,122,1028,64,24,267,26,1008
2016-03-18,7,63,158,768,18,2365,215,24,1076
2016-03-19,8,43,88,884,32,129,193,22,1084
2016-03-20,8,29,105,793,22,108,182,16,1629
2016-03-21,10,20,96,821,25,60,279,30,1434
