Date,"Name-letter effect","The Chase (U.S. game show)","Disneyland Railroad","Quehanna Wild Area","Leningrad première of Shostakovich's Symphony No. 7","Lynx (constellation)","Elfin woods warbler","Falaise Pocket","Bert T. Combs"
2015-07-01,0,1290,111,35,19,63,11,47,25
2015-07-02,0,1033,123,26,22,72,6,64,23
2015-07-03,1,1685,133,31,21,56,4,51,24
2015-07-04,0,1187,99,18,33,57,10,47,20
2015-07-05,0,1086,155,23,30,71,15,55,24
2015-07-06,0,1123,119,19,47,80,9,58,12
2015-07-07,1,1041,126,27,33,70,18,66,33
2015-07-08,0,1706,121,30,31,76,21,51,26
2015-07-09,2,1113,114,32,27,68,11,54,35
2015-07-10,0,2030,126,22,27,79,17,44,30
2015-07-11,0,1494,115,19,42,64,10,71,21
2015-07-12,0,1295,105,23,19,82,15,60,26
2015-07-13,0,1429,136,32,10,94,9,52,20
2015-07-14,0,1007,147,35,26,51,19,64,32
2015-07-15,0,933,179,17,26,71,12,58,32
2015-07-16,0,995,157,37,18,57,15,52,31
2015-07-17,0,3043,303,21,16,67,9,52,20
2015-07-18,0,1675,320,26,20,54,8,36,23
2015-07-19,0,1391,206,29,20,56,9,34,15
2015-07-20,0,1129,165,53,24,59,9,57,23
2015-07-21,0,1881,147,19,19,71,7,54,31
2015-07-22,0,1105,118,24,20,78,9,49,24
2015-07-23,0,984,159,28,24,80,14,52,29
2015-07-24,0,2768,139,40,16,86,18,43,26
2015-07-25,0,1893,135,48,15,57,16,61,31
2015-07-26,1,1841,126,38,22,74,15,45,31
2015-07-27,0,1343,162,50,40,67,23,56,31
2015-07-28,0,1835,146,27,17,71,15,63,22
2015-07-29,0,945,142,35,17,83,22,68,28
2015-07-30,0,853,110,24,20,71,12,51,25
2015-07-31,0,2262,118,28,47,72,34,51,28
2015-08-01,1,1360,128,39,49,62,20,47,22
2015-08-02,0,877,165,38,26,59,19,50,23
2015-08-03,0,925,159,38,34,76,21,38,29
2015-08-04,0,1435,153,28,49,72,20,49,30
2015-08-05,0,670,170,28,41,73,10,58,28
2015-08-06,0,578,139,33,26,73,16,45,29
2015-08-07,0,2043,130,32,30,70,13,62,23
2015-08-08,0,1059,111,30,27,65,15,45,23
2015-08-09,0,691,133,27,204,57,20,42,20
2015-08-10,1,577,162,40,117,62,14,56,34
2015-08-11,0,1269,149,32,32,63,19,54,45
2015-08-12,0,435,165,28,30,92,14,62,35
2015-08-13,0,459,134,22,24,78,16,59,24
2015-08-14,0,1772,125,32,32,63,22,50,36
2015-08-15,0,885,122,36,21,57,25,40,27
2015-08-16,0,596,131,40,24,92,20,45,37
2015-08-17,0,511,122,44,23,99,23,56,29
2015-08-18,0,899,138,32,23,71,16,65,180
2015-08-19,0,372,160,34,33,87,22,70,31
2015-08-20,0,339,124,33,23,89,20,64,31
2015-08-21,1,1488,129,27,35,60,20,141,31
2015-08-22,1,600,109,26,32,70,19,52,21
2015-08-23,1,415,135,26,20,67,19,54,20
2015-08-24,0,427,138,38,35,64,19,70,23
2015-08-25,0,791,152,31,41,59,29,72,24
2015-08-26,0,347,121,29,25,83,16,54,33
2015-08-27,0,351,111,37,22,62,19,55,28
2015-08-28,0,1466,101,38,23,66,17,53,29
2015-08-29,0,683,126,29,17,70,17,65,33
2015-08-30,0,518,122,42,23,72,10,63,28
2015-08-31,0,708,138,50,21,65,15,68,19
2015-09-01,0,821,112,44,35,67,18,48,38
2015-09-02,0,763,126,30,34,81,12,44,21
2015-09-03,0,456,112,31,30,75,21,52,22
2015-09-04,0,1037,105,58,30,76,19,57,38
2015-09-05,0,498,136,41,32,54,15,43,19
2015-09-06,0,319,144,41,40,76,20,54,33
2015-09-07,0,487,165,46,39,83,27,73,38
2015-09-08,0,723,140,37,49,95,34,87,27
2015-09-09,0,328,90,71,23,78,16,53,27
2015-09-10,0,320,117,39,22,78,23,61,24
2015-09-11,0,949,141,87,77,74,50,45,82
2015-09-12,0,630,103,39,19,78,25,48,21
2015-09-13,0,272,144,22,26,50,9,55,32
2015-09-14,0,318,129,24,27,95,18,48,21
2015-09-15,0,618,177,27,37,101,12,63,35
2015-09-16,0,323,208,30,22,102,14,48,40
2015-09-17,0,380,148,35,17,96,16,60,21
2015-09-18,0,692,106,30,26,81,9,64,21
2015-09-19,1,547,151,29,58,73,15,58,18
2015-09-20,0,223,184,30,59,83,14,44,22
2015-09-21,0,209,134,19,77,85,17,48,25
