Date,"Xx (album)","Jennifer Lawrence","Richard II of England","Hurricane Andrew","Heathenry (new religious movement)","Bone Wars","Lundomys","My Happiness (Powderfinger song)","2015 Vuelta a España"
2015-07-01,2169,11211,1485,543,0,180,18,15,126
2015-07-02,2200,10752,1570,543,0,84,5,13,150
2015-07-03,2619,10139,1392,520,0,87,9,20,149
2015-07-04,2527,9718,3140,502,0,86,8,15,239
2015-07-05,2727,10752,2521,552,0,117,9,25,309
2015-07-06,2493,11272,1717,609,0,175,3,33,260
2015-07-07,2214,10232,1724,538,0,141,17,43,262
2015-07-08,2002,10038,1679,596,0,129,28,20,289
2015-07-09,2201,11386,1615,589,0,153,10,33,278
2015-07-10,2365,23781,1791,525,0,120,19,31,288
2015-07-11,2340,21840,1635,604,0,89,13,16,315
2015-07-12,2249,21201,1798,600,0,216,9,18,356
2015-07-13,2325,20599,1709,708,0,180,5,19,306
2015-07-14,1993,16279,1883,636,0,106,12,22,465
2015-07-15,2184,23410,1916,1077,0,117,10,22,584
2015-07-16,2160,22390,2358,614,0,170,10,28,577
2015-07-17,2326,17584,1635,709,0,586,9,33,505
2015-07-18,2722,17492,1843,613,0,117,8,24,523
2015-07-19,2940,18147,2080,530,0,111,7,25,553
2015-07-20,2843,17746,1824,687,0,267,7,23,614
2015-07-21,2673,16508,1738,614,0,124,11,17,567
2015-07-22,2546,14007,1838,641,0,150,9,33,694
2015-07-23,2629,14732,1486,568,0,155,13,22,709
2015-07-24,2595,16221,1501,606,0,144,16,29,967
2015-07-25,2718,15998,1605,553,0,94,11,29,1590
2015-07-26,2781,18742,1910,780,0,84,10,32,3242
2015-07-27,2612,15313,1680,636,0,101,16,25,3220
2015-07-28,3006,13630,2716,620,0,106,11,28,2092
2015-07-29,2840,12393,1878,608,0,118,20,46,1439
2015-07-30,2513,12500,1570,644,0,82,12,25,973
2015-07-31,2556,14480,1508,688,0,91,15,37,784
2015-08-01,2426,16284,1463,581,0,106,15,38,652
2015-08-02,2421,16642,2020,678,0,86,15,28,768
2015-08-03,2536,13858,1533,712,0,97,21,36,1204
2015-08-04,2786,14958,1780,805,0,96,12,34,1063
2015-08-05,2589,14674,2555,724,0,93,9,26,906
2015-08-06,2628,13582,1758,786,0,73,11,30,777
2015-08-07,2429,11826,1596,1286,0,68,10,24,743
2015-08-08,2270,12381,2150,758,0,78,12,21,797
2015-08-09,2324,14671,1701,671,0,85,8,30,956
2015-08-10,2481,14898,3182,719,0,97,11,27,2000
2015-08-11,2166,13199,2004,838,0,86,12,33,1812
2015-08-12,2225,12028,1693,865,0,135,11,24,1430
2015-08-13,2217,11200,1522,782,0,102,15,30,1442
2015-08-14,2043,11445,1717,736,0,96,9,24,1252
2015-08-15,2230,19769,1699,643,0,71,11,29,1138
2015-08-16,2338,18161,1931,726,0,92,14,36,1391
2015-08-17,2136,13801,2036,1070,0,114,12,22,2389
2015-08-18,2384,11345,1576,1607,0,102,8,22,2011
2015-08-19,2371,10805,1706,1977,0,97,17,39,1697
2015-08-20,2359,15061,1702,2544,0,90,14,44,1869
2015-08-21,2504,28338,1743,2862,0,109,19,38,3289
2015-08-22,2544,22118,1613,2182,0,76,12,21,5729
2015-08-23,2700,19009,1860,2199,0,79,8,37,7354
2015-08-24,2326,15153,2583,5527,0,125,13,35,6957
2015-08-25,2423,13420,1848,4491,0,138,17,31,6227
2015-08-26,2464,15121,1942,6351,0,107,10,25,5543
2015-08-27,2427,15024,1769,7616,0,99,11,18,5433
2015-08-28,2280,14449,1766,11777,0,93,9,22,5462
2015-08-29,2289,14428,1545,9261,0,120,14,34,4813
2015-08-30,2403,13836,1756,6577,0,83,6,26,6895
2015-08-31,2330,16775,1760,3662,0,118,8,30,5869
2015-09-01,2163,11863,1660,2027,0,122,17,32,3577
2015-09-02,2087,11545,1661,1619,176,1964,11,35,6470
2015-09-03,2112,10020,1642,1781,246,894,13,28,5218
2015-09-04,2174,10299,1518,1190,259,480,16,35,4092
2015-09-05,2193,13718,1457,1055,137,388,10,20,4508
2015-09-06,2423,12900,1573,1112,295,502,19,29,5482
2015-09-07,2333,11085,1905,1100,287,704,16,37,6043
2015-09-08,2193,9834,1909,1172,267,661,10,20,3738
2015-09-09,2271,10022,2422,1105,330,477,7,27,6172
2015-09-10,2430,10630,1994,1052,273,283,17,35,5599
2015-09-11,2461,9066,1623,1033,250,683,49,75,4815
2015-09-12,2245,11078,1517,603,274,242,12,23,6307
2015-09-13,2349,13036,1754,684,247,187,8,36,6338
2015-09-14,2382,9959,1876,847,315,188,8,31,3604
2015-09-15,2163,9488,1783,867,259,215,15,27,1457
2015-09-16,2223,9338,2920,873,296,245,13,26,985
2015-09-17,2047,9121,1995,865,217,182,11,28,896
2015-09-18,2190,10191,1753,733,355,204,8,16,735
2015-09-19,2270,11266,2254,602,297,167,15,33,640
2015-09-20,2305,12099,1921,640,245,458,19,31,2833
2015-09-21,2106,11083,2194,869,343,164,14,19,3264
2015-09-22,2131,10879,1909,815,319,237,25,27,1645
2015-09-23,2038,9868,1960,798,249,354,22,30,549
2015-09-24,2152,9973,1762,952,259,432,20,24,454
2015-09-25,2043,9824,1627,755,231,323,16,26,345
2015-09-26,1856,11208,1920,557,226,183,9,20,347
