Date,"Yugoslav torpedo boat T3","Palsgraf v. Long Island Railroad Co.","The Fade Out","Operation Bernhard","Lead","W. E. B. Du Bois","Nikolai Rimsky-Korsakov","Pallas's leaf warbler","Meteorological history of Hurricane Ivan"
2015-07-01,1,87,0,113,2442,1485,422,1,12
2015-07-02,1,106,0,179,2228,1521,419,4,9
2015-07-03,2,69,0,118,2005,1215,373,3,15
2015-07-04,4,68,0,124,1622,1198,383,6,16
2015-07-05,0,97,0,161,1762,1230,397,10,14
2015-07-06,3,116,0,178,2253,1694,455,9,18
2015-07-07,4,125,0,163,2339,1528,488,6,30
2015-07-08,1,115,0,168,2638,1516,453,1,43
2015-07-09,0,99,0,260,2256,1491,420,10,21
2015-07-10,5,67,0,136,2123,1337,417,5,19
2015-07-11,1,85,0,320,1796,1232,382,5,21
2015-07-12,2,86,0,592,2031,1248,498,1,10
2015-07-13,5,112,0,171,2639,1511,498,9,9
2015-07-14,1,97,0,133,4430,1624,425,4,19
2015-07-15,0,88,0,230,2816,1590,478,1,22
2015-07-16,5,80,0,160,2627,10041,377,5,10
2015-07-17,2,115,0,149,2259,2254,432,8,27
2015-07-18,6,83,0,126,1774,1245,385,2,16
2015-07-19,7,89,0,127,2634,1361,491,4,14
2015-07-20,0,107,0,155,3201,1408,448,11,10
2015-07-21,7,117,0,151,3008,1685,521,6,21
2015-07-22,4,103,0,144,2551,1805,518,5,16
2015-07-23,7,95,0,132,2988,1604,571,3,25
2015-07-24,1,80,0,175,3001,1288,398,9,25
2015-07-25,3,55,0,165,2058,1121,428,12,18
2015-07-26,2,86,0,186,1985,1317,471,1,22
2015-07-27,3,107,0,206,2519,1655,572,9,18
2015-07-28,6,99,0,148,2535,1433,584,6,20
2015-07-29,1,104,0,157,3206,1405,541,5,25
2015-07-30,2,72,0,139,2666,1445,593,6,25
2015-07-31,1,58,0,135,2195,1265,410,8,27
2015-08-01,2,42,0,133,2187,1115,453,4,26
2015-08-02,5,71,0,177,2278,1130,508,0,35
2015-08-03,3,95,0,129,2323,1262,481,3,24
2015-08-04,4,75,0,155,2558,1379,545,2,23
2015-08-05,6,61,0,157,2499,1474,484,2,17
2015-08-06,1,87,0,177,2387,1296,484,8,31
2015-08-07,1,60,0,141,2195,1225,428,17,25
2015-08-08,5,53,0,154,1777,1139,426,1,14
2015-08-09,3,35,0,152,2528,1282,476,3,18
2015-08-10,3,58,0,147,3027,1288,472,5,16
2015-08-11,4,100,0,166,3094,1476,483,7,20
2015-08-12,2,99,0,194,3084,1466,435,4,21
