Date,"Ontario Highway 71","Steller's sea cow","Percy Chapman","Northern England","Oxygen","2014 Lamar Hunt U.S. Open Cup Final","Corvus (constellation)","Peter Martyr Vermigli","California Diamond Jubilee half dollar"
2015-07-01,8,538,6,337,2971,44,94,12,22
2015-07-02,14,552,4,295,3054,41,101,28,7
2015-07-03,8,646,10,300,2514,38,141,13,15
2015-07-04,19,525,12,266,2174,16,146,10,24
2015-07-05,26,571,9,290,2463,26,134,15,31
2015-07-06,12,619,10,324,3085,20,125,16,9
2015-07-07,21,550,18,725,3205,23,103,22,24
2015-07-08,18,641,19,440,3016,40,140,18,19
2015-07-09,19,7229,16,323,3052,20,121,18,16
2015-07-10,18,635,14,368,2754,20,136,20,19
2015-07-11,12,458,23,326,2342,26,123,10,15
2015-07-12,14,488,20,346,2510,20,100,21,19
2015-07-13,16,530,15,365,3150,25,157,16,6
2015-07-14,19,504,23,367,4268,28,145,27,20
2015-07-15,22,438,13,284,3406,40,109,24,17
2015-07-16,18,521,17,340,3293,19,108,8,14
2015-07-17,10,509,14,300,2956,16,117,14,6
2015-07-18,11,482,16,309,2353,21,100,15,13
2015-07-19,14,1207,11,331,2574,25,86,12,16
2015-07-20,18,1587,12,337,3129,22,107,30,18
2015-07-21,14,961,13,329,3202,30,111,16,7
2015-07-22,17,652,12,347,3321,54,113,14,11
2015-07-23,17,658,19,328,3243,46,150,14,25
2015-07-24,28,762,24,281,2908,28,108,20,39
2015-07-25,23,646,16,292,2326,30,103,21,16
2015-07-26,17,592,19,319,2636,22,101,18,16
2015-07-27,22,790,25,371,3176,23,99,20,17
2015-07-28,10,723,18,356,3396,16,91,16,23
2015-07-29,26,681,28,359,4024,30,103,13,25
2015-07-30,23,899,21,370,3417,21,127,25,18
2015-07-31,22,569,26,362,2699,24,121,21,22
2015-08-01,16,540,24,272,3057,17,108,22,18
2015-08-02,25,617,23,284,3793,23,98,16,16
2015-08-03,24,559,22,256,3810,36,88,15,21
2015-08-04,20,620,19,378,3502,14,102,22,17
2015-08-05,20,852,17,366,3164,36,97,23,15
