Date,"North Eastern Railway War Memorial","Benedict Arnold's expedition to Quebec","Steve Biko","Si Ronda","Lost operas by Claudio Monteverdi","Eve (2003 TV series)","Gumbo","Development of Grand Theft Auto V","Morchella rufobrunnea"
2015-07-01,0,47,638,7,10,0,1384,157,13
2015-07-02,0,34,562,6,18,0,1072,126,4
2015-07-03,0,43,538,6,11,0,1077,136,9
2015-07-04,0,62,482,4,12,0,1117,113,10
2015-07-05,0,63,599,7,9,0,1121,151,9
2015-07-06,0,66,624,3,3,0,1195,169,9
2015-07-07,0,70,567,13,18,0,1155,156,22
2015-07-08,0,60,552,10,21,0,1118,175,17
2015-07-09,0,50,654,8,13,0,1652,124,11
2015-07-10,0,39,663,10,12,0,1140,152,20
2015-07-11,0,30,491,8,12,0,1119,129,15
2015-07-12,0,31,645,10,10,0,1355,139,12
2015-07-13,0,32,629,4,8,0,1175,148,8
2015-07-14,0,42,634,14,16,0,1125,156,17
2015-07-15,0,33,703,8,14,0,1298,146,11
2015-07-16,0,23,662,9,14,0,1213,128,10
2015-07-17,0,42,619,8,7,0,1138,121,10
2015-07-18,0,25,654,5,17,0,1055,141,7
2015-07-19,0,35,787,4,10,0,1176,136,9
2015-07-20,0,33,1550,5,12,0,1110,143,12
2015-07-21,0,37,863,7,12,0,1087,153,15
2015-07-22,0,36,908,6,6,0,1124,168,12
2015-07-23,0,44,998,12,16,0,1074,155,16
2015-07-24,0,46,778,14,20,0,1040,148,20
2015-07-25,0,31,730,14,23,0,1010,135,16
2015-07-26,0,30,827,6,17,0,1139,165,10
2015-07-27,0,31,917,12,16,0,1034,168,20
2015-07-28,0,38,916,9,11,0,1058,157,9
2015-07-29,0,30,918,16,18,0,1090,157,23
2015-07-30,0,45,904,15,17,0,1002,138,17
2015-07-31,0,50,712,23,16,0,947,120,21
2015-08-01,0,30,923,11,15,0,952,125,18
2015-08-02,0,44,1044,15,33,0,1144,146,15
2015-08-03,0,41,920,20,24,0,1457,171,20
2015-08-04,0,36,984,9,19,0,1212,155,16
2015-08-05,0,25,1331,12,14,0,1217,145,8
2015-08-06,0,36,1421,11,15,0,1580,141,50
2015-08-07,0,44,882,7,15,0,1231,182,15
2015-08-08,0,38,754,6,14,0,1183,136,22
2015-08-09,0,46,757,9,14,0,1227,201,14
2015-08-10,0,43,1177,12,10,0,1388,143,19
2015-08-11,0,47,1218,9,13,0,1136,175,18
2015-08-12,0,33,1303,7,19,0,1036,155,21
2015-08-13,0,35,1119,8,14,0,1163,133,13
2015-08-14,0,30,810,14,16,0,1036,143,17
2015-08-15,0,29,832,11,19,0,1089,125,16
2015-08-16,0,42,3782,11,13,0,1270,146,19
2015-08-17,0,74,1948,10,15,0,1309,170,14
2015-08-18,0,29,2312,9,8,0,1530,168,13
2015-08-19,0,38,1372,14,16,0,2394,194,16
2015-08-20,0,37,1241,11,13,0,1209,157,19
2015-08-21,0,41,1172,15,16,0,1225,172,16
2015-08-22,0,27,812,10,13,0,1093,149,18
2015-08-23,0,32,1178,6,16,0,1238,153,10
2015-08-24,0,58,1247,13,19,0,1195,154,18
2015-08-25,0,51,1001,11,26,0,1171,142,17
2015-08-26,0,25,1155,8,14,0,1092,282,12
2015-08-27,0,30,1196,9,14,0,1574,145,17
2015-08-28,0,40,804,10,21,0,1385,146,13
2015-08-29,0,42,840,13,20,0,1299,150,12
2015-08-30,0,39,1184,5,3,0,1335,148,9
2015-08-31,0,63,1232,5,18,0,1168,161,19
2015-09-01,0,46,1255,16,16,0,1207,153,20
2015-09-02,0,42,1542,6,13,0,1168,163,9
2015-09-03,0,31,1423,11,9,0,1037,145,21
2015-09-04,0,41,975,10,24,0,994,163,22
2015-09-05,0,41,869,12,12,0,1309,146,11
2015-09-06,0,61,1418,13,22,0,1436,174,15
2015-09-07,0,49,1531,24,26,0,1262,187,16
2015-09-08,0,77,1862,7,24,0,1232,160,20
2015-09-09,0,35,1539,14,17,0,1155,167,19
2015-09-10,0,98,1500,12,18,0,1472,143,20
2015-09-11,0,9059,1325,65,63,0,1243,208,69
2015-09-12,0,137,12388,11,16,0,1234,133,23
2015-09-13,0,68,2386,8,19,0,1247,156,14
2015-09-14,0,51,1587,8,25,0,1093,223,22
2015-09-15,0,40,1459,9,40,0,1078,237,21
