Date,"Egyptian temple","Planet Stories","The Blue Flame (play)","INS Vikrant (R11)","Literary Hall","Downtown Seattle Transit Tunnel","Catherine Zeta-Jones","St Botolph's Church, Quarrington","Spotted green pigeon"
2015-07-01,147,27,2,258,0,72,4730,0,13
2015-07-02,164,27,0,252,2,74,4317,0,10
2015-07-03,126,28,2,243,2,55,4344,0,13
2015-07-04,115,28,4,278,1,67,6851,0,5
2015-07-05,155,29,3,271,2,58,19855,0,9
2015-07-06,140,20,3,276,2,60,8958,0,11
2015-07-07,146,33,1,343,5,78,11132,0,11
2015-07-08,157,33,5,372,1,69,9769,0,6
2015-07-09,141,24,3,366,2,59,9865,0,8
2015-07-10,119,33,4,296,2,63,8127,0,5
2015-07-11,126,37,3,337,59,45,8418,0,10
2015-07-12,135,38,3,272,38,57,8097,0,12
2015-07-13,126,26,1,267,6,61,7198,0,9
2015-07-14,158,44,6,252,12,75,12112,0,12
2015-07-15,146,23,4,274,8,78,9713,0,10
2015-07-16,133,27,1,296,3,50,8356,0,6
2015-07-17,118,20,8,335,10,83,12968,0,9
2015-07-18,135,30,1,308,8,74,10929,0,3
2015-07-19,175,31,3,293,9,68,12082,0,12
2015-07-20,149,23,0,307,7,99,10846,0,11
2015-07-21,169,29,1,317,7,86,7957,0,14
2015-07-22,179,21,2,337,5,64,7734,0,6
2015-07-23,181,31,7,362,12,77,6778,0,9
2015-07-24,138,48,1,330,32,75,8356,0,13
2015-07-25,133,31,3,289,8,80,7982,0,6
2015-07-26,169,26,1,332,10,60,8154,0,7
2015-07-27,173,37,1,303,19,52,6639,0,12
2015-07-28,195,23,0,326,15,69,6366,0,23
2015-07-29,179,35,5,305,21,61,5496,0,32
2015-07-30,163,24,1,237,10,76,5172,0,15
2015-07-31,142,29,1,230,128,86,5552,0,12
2015-08-01,129,27,0,235,13,66,7077,0,11
2015-08-02,124,29,3,227,13,53,6819,0,13
2015-08-03,285,32,1,220,8,66,6445,0,10
2015-08-04,152,25,2,266,13,80,5717,0,7
2015-08-05,176,22,3,278,5,62,4863,0,15
2015-08-06,183,23,0,266,23,59,4949,0,4
2015-08-07,138,24,2,305,10,70,6444,0,6
2015-08-08,117,36,1,253,907,63,8862,0,12
2015-08-09,234,16,1,279,16,87,7314,0,13
2015-08-10,172,32,3,258,15,72,5769,0,8
2015-08-11,185,51,0,315,18,68,5161,0,9
2015-08-12,217,34,0,276,17,83,5468,0,7
2015-08-13,187,25,1,297,7,60,5464,0,17
2015-08-14,132,24,4,349,15,78,6559,0,8
2015-08-15,150,25,2,344,11,52,8299,0,9
2015-08-16,149,21,1,421,11,77,7151,0,15
2015-08-17,158,35,3,385,10,77,5651,0,13
2015-08-18,189,15,2,429,7,54,5134,0,9
2015-08-19,159,46,1,278,13,74,4946,0,9
2015-08-20,183,32,1,343,11,74,4560,0,7
2015-08-21,173,34,1,323,12,60,5842,0,11
2015-08-22,128,21,4,314,5,60,6139,0,10
2015-08-23,174,31,1,302,4,67,5821,0,7
2015-08-24,254,34,2,309,11,63,5163,0,13
2015-08-25,203,36,4,281,11,77,5363,0,20
2015-08-26,222,33,2,239,12,60,5019,0,13
2015-08-27,216,23,3,248,12,68,4730,72,14
2015-08-28,189,19,1,295,13,78,4527,43,5
2015-08-29,175,27,2,297,7,51,6822,0,22
2015-08-30,180,27,0,311,10,64,8712,1,12
2015-08-31,214,16,6,258,8,98,5519,1,11
2015-09-01,237,44,3,286,20,54,5064,2,7
2015-09-02,232,23,4,269,1,80,3943,5,11
2015-09-03,294,21,3,270,11,67,3947,0,10
2015-09-04,221,42,3,284,11,50,3882,0,12
2015-09-05,161,38,1,329,9,49,5524,1,8
2015-09-06,236,35,3,323,86,61,5122,1,3
2015-09-07,265,36,10,321,28,66,6239,1,16
2015-09-08,260,33,5,320,27,77,4458,0,18
2015-09-09,307,29,4,324,18,63,4008,2,7
2015-09-10,272,23,1,397,10,69,4771,9,8
2015-09-11,265,85,5,387,64,48,4712,1,9
2015-09-12,180,25,6,272,10,66,5807,2,5
2015-09-13,248,18,1,273,3,49,5957,1,6
2015-09-14,296,27,3,316,7,54,4820,0,9
2015-09-15,303,33,3,333,12,63,3891,1,7
2015-09-16,274,34,1,265,6,39,3748,2,8
2015-09-17,284,29,2,337,10,72,3588,23,9
2015-09-18,242,21,1,290,2,73,4037,1,9
2015-09-19,173,40,0,278,3,70,4546,0,0
2015-09-20,215,36,2,324,4,49,6129,0,11
2015-09-21,316,29,4,348,3,72,4084,1,11
2015-09-22,341,39,4,383,2,67,4078,1,18
2015-09-23,309,28,2,291,3,85,4246,2,8
2015-09-24,318,27,0,362,1,74,4024,3,8
2015-09-25,258,45,0,244,7,74,8168,1,5
2015-09-26,195,26,1,386,4,74,6050,0,9
2015-09-27,241,34,0,327,3,53,5994,0,18
2015-09-28,357,39,1,316,4,72,4752,1,13
2015-09-29,384,34,1,430,4,75,4426,2,27
2015-09-30,388,32,2,633,2,56,4238,1,19
2015-10-01,333,46,1,474,3,53,3819,5,15
2015-10-02,290,30,4,357,9,47,3921,0,14
2015-10-03,200,32,1,343,11,65,4886,0,12
2015-10-04,257,37,8,309,3,51,6376,0,12
2015-10-05,376,32,0,327,19,69,5218,1,15
2015-10-06,423,22,7,329,9,58,4246,0,10
2015-10-07,395,36,3,321,2,61,4058,1,6
2015-10-08,372,17,2,356,4,61,3846,1,11
2015-10-09,323,41,1,311,26,78,4221,2,6
2015-10-10,204,30,0,306,6,64,6465,1,8
2015-10-11,243,16,2,271,4,51,6106,18,16
