Date,"Gods' Man","Michael Francis Egan","Washington v. Texas","The Founding Ceremony of the Nation","1926 World Series","Confusion (album)","2005 Azores subtropical storm","Cosmo Gordon Lang","Joehana"
2015-07-01,32,2,11,0,59,33,12,78,1
2015-07-02,22,1,8,0,58,35,16,70,1
2015-07-03,16,2,9,0,61,31,12,72,0
2015-07-04,16,3,12,0,39,32,12,73,2
2015-07-05,19,5,8,0,99,35,13,97,2
2015-07-06,25,8,13,0,60,46,19,85,1
2015-07-07,43,9,18,0,84,31,24,90,3
2015-07-08,34,4,20,0,69,39,24,115,2
2015-07-09,28,4,10,0,62,37,20,80,2
2015-07-10,37,6,18,0,89,40,26,101,2
2015-07-11,16,5,12,0,59,27,27,65,2
2015-07-12,22,3,11,0,68,27,21,106,2
2015-07-13,21,5,11,0,73,29,10,83,6
2015-07-14,31,1,20,0,63,40,27,79,1
2015-07-15,27,5,18,0,75,37,26,76,1
2015-07-16,23,2,8,0,85,26,27,74,2
2015-07-17,17,5,5,0,81,27,10,84,3
2015-07-18,13,2,13,0,154,34,14,123,1
2015-07-19,29,2,12,0,391,29,14,107,1
2015-07-20,20,7,11,0,84,35,18,89,4
2015-07-21,31,7,9,0,71,15,17,69,2
2015-07-22,23,3,8,0,64,31,25,71,0
2015-07-23,27,3,17,0,79,51,19,59,3
2015-07-24,26,0,19,0,67,36,21,81,3
2015-07-25,25,3,16,0,57,26,22,84,3
2015-07-26,17,1,17,0,171,35,30,84,2
2015-07-27,26,4,14,0,96,36,18,107,2
2015-07-28,31,8,14,0,68,35,21,68,3
2015-07-29,37,5,20,0,75,59,30,71,1
2015-07-30,39,5,16,0,77,43,29,73,1
2015-07-31,66,4,14,0,63,37,40,237,1
2015-08-01,46,1,22,0,64,38,23,98,0
2015-08-02,60,0,18,0,77,44,35,86,2
2015-08-03,78,4,26,0,83,45,23,80,0
2015-08-04,57,4,18,0,70,47,23,94,0
2015-08-05,36,2,11,0,96,30,23,81,2
2015-08-06,52,3,14,0,67,39,21,71,1
2015-08-07,34,5,11,0,73,33,32,97,0
2015-08-08,34,5,15,0,52,26,15,55,0
2015-08-09,46,1,16,0,57,34,16,92,1
2015-08-10,41,4,18,0,57,39,22,87,3
2015-08-11,57,6,18,0,39,40,24,61,38
2015-08-12,37,4,18,0,72,40,23,73,35
2015-08-13,30,4,16,0,64,32,27,82,17
2015-08-14,39,9,13,0,66,28,28,87,8
2015-08-15,31,3,20,0,69,39,22,76,11
2015-08-16,36,8,22,0,69,29,26,81,7
2015-08-17,32,4,25,0,66,33,19,81,9
2015-08-18,30,12,11,0,62,36,22,73,10
2015-08-19,30,5,18,0,65,36,29,76,2
2015-08-20,34,5,16,0,112,26,28,83,3
2015-08-21,38,5,17,0,85,41,37,78,3
2015-08-22,41,5,12,0,80,26,26,59,11
2015-08-23,45,4,9,0,89,39,28,74,3
2015-08-24,33,4,15,0,52,31,35,96,3
2015-08-25,45,6,29,0,75,37,44,90,3
2015-08-26,21,7,13,0,57,40,38,78,12
2015-08-27,26,4,11,0,59,42,45,166,12
2015-08-28,28,3,15,0,68,33,62,111,8
2015-08-29,36,3,15,0,60,38,78,97,8
2015-08-30,24,7,6,0,67,45,48,89,1
2015-08-31,25,4,12,0,43,29,53,116,4
2015-09-01,35,3,26,0,82,42,47,96,6
2015-09-02,19,9,12,0,74,27,32,98,3
2015-09-03,33,8,26,0,105,43,47,80,31
2015-09-04,40,4,17,0,66,39,53,80,137
2015-09-05,26,2,11,0,63,36,44,99,64
2015-09-06,30,4,18,0,60,38,43,130,68
2015-09-07,22,4,14,0,64,44,41,133,66
2015-09-08,35,11,15,0,59,37,46,141,66
2015-09-09,30,9,15,0,57,36,33,160,62
2015-09-10,39,4,19,0,67,34,26,131,65
2015-09-11,70,6,76,0,118,69,82,170,120
2015-09-12,25,4,12,0,59,36,27,114,69
2015-09-13,27,7,12,0,50,33,22,115,55
2015-09-14,32,10,17,0,50,28,18,108,69
2015-09-15,54,8,19,0,66,35,33,77,81
2015-09-16,30,3,22,0,48,33,17,87,74
2015-09-17,35,11,25,0,55,47,26,78,99
2015-09-18,23,2,13,0,68,25,13,81,76
2015-09-19,22,6,9,0,71,35,20,72,75
2015-09-20,28,6,17,0,51,38,21,80,62
2015-09-21,50,9,21,0,63,34,16,89,12
2015-09-22,40,11,23,0,74,35,27,88,15
2015-09-23,33,15,27,0,95,41,16,87,14
2015-09-24,23,13,24,0,90,45,21,86,8
2015-09-25,30,7,22,0,84,45,25,99,11
2015-09-26,27,61,12,0,72,28,19,71,12
2015-09-27,34,22,12,0,79,35,15,85,7
2015-09-28,32,14,19,0,81,36,33,116,8
2015-09-29,23,12,28,0,79,40,26,84,13
2015-09-30,25,13,15,0,112,24,28,73,14
2015-10-01,34,10,23,0,147,36,53,67,14
2015-10-02,25,113,11,0,122,29,38,80,7
2015-10-03,39,38,18,0,110,42,36,85,13
2015-10-04,36,44,14,0,75,35,31,99,4
2015-10-05,30,47,20,0,92,39,35,83,7
2015-10-06,50,22,23,0,160,50,30,78,12
2015-10-07,38,14,32,0,183,42,24,95,15
2015-10-08,39,3,34,0,169,40,24,85,16
2015-10-09,51,7,30,0,173,40,34,74,13
2015-10-10,26,8,21,0,168,33,31,73,5
2015-10-11,31,6,16,0,109,25,19,67,8
2015-10-12,32,6,23,0,113,39,27,81,14
2015-10-13,39,6,32,0,158,43,29,76,7
2015-10-14,45,10,30,0,169,44,17,95,15
2015-10-15,29,15,28,0,1356,57,18,66,18
2015-10-16,23,13,21,0,1702,37,10,58,6
2015-10-17,22,24,13,0,156,45,17,62,9
2015-10-18,32,12,21,0,117,47,17,96,8
2015-10-19,25,19,29,0,146,42,72,84,13
2015-10-20,26,1,16,0,93,49,24,96,10
2015-10-21,29,8,24,0,142,35,26,80,14
2015-10-22,30,8,28,0,193,37,35,87,13
2015-10-23,31,27,39,0,107,50,68,81,16
2015-10-24,33,8,10,0,142,38,68,75,8
2015-10-25,39,7,18,0,89,42,54,94,13
2015-10-26,28,12,36,0,104,44,46,106,11
2015-10-27,26,8,21,0,165,48,31,88,15
2015-10-28,31,7,31,0,377,39,34,92,15
2015-10-29,29,8,31,0,240,53,32,89,17
2015-10-30,46,24,36,0,139,33,36,90,15
2015-10-31,67,21,17,0,140,27,23,91,9
2015-11-01,28,9,23,0,217,39,27,83,13
2015-11-02,25,1342,20,0,334,35,15,70,9
2015-11-03,20,47,29,0,159,30,19,64,4
2015-11-04,39,23,22,0,127,37,22,83,9
2015-11-05,29,24,18,0,82,35,19,78,9
2015-11-06,36,25,18,0,80,22,22,88,15
2015-11-07,34,20,16,0,67,48,30,87,17
2015-11-08,14,6,12,0,69,31,14,85,9
2015-11-09,37,8,34,0,46,38,12,85,5
2015-11-10,43,10,33,0,62,62,31,74,10
2015-11-11,32,8,48,0,56,40,10,68,8
2015-11-12,49,10,72,0,72,44,42,91,21
2015-11-13,39,5,20,0,60,34,19,83,6
2015-11-14,18,8,25,0,38,22,24,55,7
2015-11-15,26,12,26,0,46,36,20,95,15
2015-11-16,32,28,34,0,63,39,30,88,17
2015-11-17,38,11,20,0,71,30,21,76,9
2015-11-18,38,8,20,0,63,32,25,79,6
2015-11-19,43,3,18,0,63,34,17,66,8
2015-11-20,30,13,11,0,69,40,14,63,7
2015-11-21,22,6,10,0,42,37,14,72,6
2015-11-22,39,8,13,0,50,38,16,67,7
2015-11-23,30,11,19,0,48,34,15,78,11
2015-11-24,29,10,20,0,49,48,19,84,9
2015-11-25,30,4,17,0,29,37,14,62,7
2015-11-26,33,8,14,0,86,25,16,69,10
2015-11-27,28,11,14,0,63,34,11,80,6
2015-11-28,16,9,12,0,109,27,15,78,4
2015-11-29,33,8,22,0,70,39,16,78,13
2015-11-30,36,6,20,0,46,33,15,86,7
2015-12-01,19,9,19,0,64,34,15,71,8
2015-12-02,19,5,13,0,41,38,19,83,7
