Date,"Nancy Cartwright","Don't Say You Love Me (M2M song)","Battle of the Santa Cruz Islands","O. G. S. Crawford","Paul Palaiologos Tagaris","Dave Gallaher","Ninety-five Theses","Super Mario Galaxy","Balfour Declaration"
2015-07-01,968,44,224,4,2,41,2,633,658
2015-07-02,992,44,254,5,3,21,1,577,588
2015-07-03,950,85,179,3,5,29,4,580,517
2015-07-04,1029,55,193,4,1,32,4,562,594
2015-07-05,1256,51,192,2,13,18,5,596,607
2015-07-06,1338,35,280,3,8,38,5,653,631
2015-07-07,1896,42,235,6,3,38,9,585,643
2015-07-08,2145,45,187,5,4,56,2,607,672
2015-07-09,1186,45,263,2,4,40,1,556,699
2015-07-10,1140,45,201,7,2,25,2,529,562
2015-07-11,1101,50,207,1,3,32,3,548,535
2015-07-12,1177,68,238,4,3,21,2,551,541
2015-07-13,1038,37,211,10,11,133,2,1414,593
2015-07-14,973,55,228,7,4,105,2,777,705
2015-07-15,1080,72,222,6,3,47,0,762,678
2015-07-16,968,35,227,2,3,84,1,763,709
2015-07-17,888,40,223,4,5,47,3,784,664
2015-07-18,870,53,280,2,5,111,5,742,580
2015-07-19,1012,35,317,9,2,29,5,766,704
2015-07-20,1078,50,283,4,5,44,1,776,1060
2015-07-21,1048,51,260,3,4,35,1,748,1143
2015-07-22,1032,70,254,5,4,36,1,716,813
2015-07-23,1019,66,246,2,4,101,2,717,809
2015-07-24,934,34,346,12,13,97,0,642,621
2015-07-25,1057,66,244,6,9,51,3,564,701
2015-07-26,1053,50,229,7,0,38,5,654,713
2015-07-27,1299,52,232,8,1,68,1,664,737
2015-07-28,1178,65,307,7,2,62,4,719,738
2015-07-29,1025,35,237,7,7,66,0,598,783
2015-07-30,1093,47,226,4,8,190,0,630,697
2015-07-31,993,33,223,6,4,165,1,624,648
2015-08-01,878,54,226,5,2,96,5,942,641
2015-08-02,1096,33,231,11,3,60,1,709,813
2015-08-03,920,42,216,2,2,32,4,523,712
2015-08-04,1194,45,308,8,3,111,3,671,664
2015-08-05,1044,33,243,6,1,54,4,630,708
2015-08-06,948,45,231,7,5,42,3,594,696
2015-08-07,1046,49,318,7,2,33,4,608,658
2015-08-08,984,39,231,5,4,55,4,600,641
2015-08-09,1113,41,361,2,3,38,3,604,867
2015-08-10,1010,43,242,8,3,38,5,600,783
2015-08-11,1121,60,280,5,5,49,2,651,722
