Date,"E.T. the Extra-Terrestrial","Myriostoma","Ernest Joyce","Bazy Tankersley","Susan B. Anthony dollar","Ben Affleck","Presque Isle State Park","Freak Out!","Beograd-class destroyer"
2015-07-01,2861,15,12,17,384,82695,153,347,3
2015-07-02,3716,7,11,31,356,38884,151,327,5
2015-07-03,4360,8,48,23,327,28725,189,340,5
2015-07-04,3093,13,16,26,841,22523,176,320,4
2015-07-05,5106,10,15,26,352,19921,186,297,4
2015-07-06,3290,7,11,18,371,22217,201,337,6
2015-07-07,3669,16,22,37,388,18954,159,377,7
2015-07-08,4310,15,23,33,393,19187,180,363,2
2015-07-09,2838,16,14,24,414,19166,156,345,1
2015-07-10,2764,16,20,41,375,24395,184,401,3
2015-07-11,2756,12,16,30,332,25534,179,335,1
2015-07-12,3122,9,8,28,385,39481,176,324,7
2015-07-13,2762,14,5,13,435,36783,147,363,6
2015-07-14,2609,14,21,31,370,32395,167,386,4
2015-07-15,2940,11,11,22,303,22702,160,362,2
2015-07-16,3370,12,18,27,604,24194,157,316,14
2015-07-17,3134,19,82,34,394,16724,164,289,3
2015-07-18,2823,9,18,17,354,17123,152,319,2
2015-07-19,2992,6,5,20,326,18075,195,313,3
2015-07-20,2940,8,9,20,374,16436,251,348,3
2015-07-21,3000,5,8,20,342,15184,202,363,9
2015-07-22,4016,6,12,25,346,13569,189,374,1
2015-07-23,2847,8,14,23,299,13137,190,371,15
2015-07-24,2862,16,22,31,318,13592,192,454,5
2015-07-25,3330,9,25,24,305,14652,197,335,6
2015-07-26,3186,16,15,26,364,15955,174,375,4
2015-07-27,3123,28,14,25,340,13924,175,452,8
2015-07-28,2794,15,16,25,346,11879,211,396,6
2015-07-29,2567,32,31,28,343,14275,205,362,6
2015-07-30,2289,15,17,36,319,17627,156,385,7
2015-07-31,2953,26,20,26,306,15918,198,346,4
2015-08-01,2778,23,19,23,331,15892,207,354,3
2015-08-02,2608,17,14,27,321,16205,232,369,4
2015-08-03,2114,19,29,35,295,12934,185,353,6
2015-08-04,2754,17,19,27,351,12651,174,423,2
2015-08-05,4521,16,20,22,343,15819,174,464,7
2015-08-06,2314,18,19,21,352,16965,169,391,3
2015-08-07,2359,13,22,14,254,14439,159,550,7
2015-08-08,3444,11,19,25,293,17243,220,411,5
2015-08-09,3027,10,14,18,349,18048,218,464,5
2015-08-10,2401,24,25,30,315,16390,183,417,8
2015-08-11,2610,14,17,18,323,19129,153,386,5
2015-08-12,2282,23,16,28,371,19968,180,448,2
2015-08-13,2686,29,20,14,351,16832,161,364,5
2015-08-14,2417,13,16,38,338,14362,179,441,3
2015-08-15,2831,14,21,22,379,18122,166,378,6
2015-08-16,3120,18,20,25,347,19231,187,433,4
2015-08-17,3205,12,11,19,345,18536,197,363,2
2015-08-18,6921,15,13,21,520,13490,151,370,5
2015-08-19,2910,30,22,21,362,12910,150,444,2
2015-08-20,2848,12,18,22,366,13940,155,397,6
2015-08-21,3163,20,16,22,371,14434,158,376,4
2015-08-22,3404,19,11,19,351,13271,131,385,5
2015-08-23,3262,22,13,22,334,13130,156,377,3
2015-08-24,2770,23,22,21,388,12680,142,367,5
2015-08-25,2613,20,21,28,440,10539,125,391,4
2015-08-26,2763,17,13,30,420,10438,105,386,6
2015-08-27,2434,18,19,22,399,9731,146,434,6
2015-08-28,2986,16,17,31,472,10579,136,402,7
