Date,"Interstate 96","Sea mink","1966 New York City smog","Black vulture","New Worlds (magazine)","38th (Welsh) Infantry Division","Battle of Winterthur","X-Cops (The X-Files)","Josephine Butler"
2015-07-01,134,69,0,203,26,11,0,152,77
2015-07-02,150,75,0,208,25,30,0,137,68
2015-07-03,136,95,0,237,36,16,0,116,45
2015-07-04,101,83,0,246,29,13,1,132,48
2015-07-05,103,74,0,243,29,34,1,141,50
2015-07-06,104,97,0,204,38,23,0,133,65
2015-07-07,113,81,0,259,35,17,0,156,69
2015-07-08,90,82,0,209,23,15,0,205,59
2015-07-09,117,116,0,212,22,10,0,144,52
2015-07-10,113,93,0,204,24,16,0,141,38
2015-07-11,110,72,0,221,26,12,0,145,53
2015-07-12,111,84,0,237,26,14,0,144,53
2015-07-13,111,79,0,238,15,16,1,114,57
2015-07-14,97,93,0,210,51,13,4,144,74
2015-07-15,103,87,0,227,23,13,0,163,38
2015-07-16,104,79,0,208,36,12,7,146,53
2015-07-17,106,130,0,232,32,20,1,138,58
2015-07-18,99,78,0,174,28,11,0,134,45
2015-07-19,126,59,0,237,25,16,1,167,78
2015-07-20,94,144,0,217,35,23,0,141,53
2015-07-21,124,72,0,223,25,15,0,173,48
2015-07-22,117,196,0,269,31,12,0,169,107
2015-07-23,131,162,0,239,34,11,0,183,86
2015-07-24,150,106,0,213,45,26,0,161,77
2015-07-25,105,145,0,198,39,15,0,160,43
2015-07-26,113,121,0,236,30,15,0,142,50
2015-07-27,113,142,0,251,41,23,0,186,53
2015-07-28,131,120,0,197,42,21,0,179,62
2015-07-29,126,114,0,213,38,26,0,187,60
2015-07-30,110,119,0,213,36,10,0,171,43
2015-07-31,124,118,0,186,37,12,0,146,57
2015-08-01,141,113,0,211,31,9,1,158,86
2015-08-02,88,130,0,219,24,14,0,172,63
2015-08-03,103,128,0,262,35,11,1,216,59
2015-08-04,130,139,0,262,31,11,1,166,110
2015-08-05,109,118,0,223,32,15,0,152,49
2015-08-06,88,121,0,217,22,18,0,145,51
2015-08-07,114,109,0,195,20,11,1,170,53
2015-08-08,100,166,0,245,17,12,2,187,52
2015-08-09,128,151,0,275,29,17,0,196,75
2015-08-10,128,161,0,218,33,12,0,182,34
2015-08-11,134,147,0,222,34,12,1,165,69
2015-08-12,130,190,0,213,37,17,0,133,84
2015-08-13,100,154,0,387,28,16,0,179,73
2015-08-14,140,158,0,254,33,21,1,164,54
2015-08-15,108,144,0,238,21,27,3,150,46
2015-08-16,139,184,0,239,31,12,0,183,65
2015-08-17,124,159,0,283,17,19,0,167,46
2015-08-18,122,151,0,249,24,6,0,175,46
2015-08-19,130,197,0,224,29,27,0,190,73
2015-08-20,117,156,0,230,28,23,0,170,61
2015-08-21,122,172,0,188,34,16,1,151,51
2015-08-22,146,150,0,199,28,19,0,168,51
2015-08-23,129,165,0,253,25,19,0,169,86
2015-08-24,108,524,0,243,24,18,1,176,58
2015-08-25,114,297,0,214,29,21,2,194,65
2015-08-26,91,219,0,218,28,21,2,146,49
2015-08-27,129,177,0,231,40,12,2,221,53
2015-08-28,147,183,0,209,28,17,1,169,61
2015-08-29,115,136,0,215,22,20,0,163,48
2015-08-30,113,160,0,250,16,24,1,145,49
2015-08-31,106,166,0,248,22,29,2,139,52
2015-09-01,102,172,0,233,40,19,0,160,60
2015-09-02,91,166,0,199,24,11,2,144,58
2015-09-03,101,162,0,228,24,15,1,144,59
2015-09-04,129,214,0,250,22,14,0,139,67
2015-09-05,118,211,0,297,20,11,0,171,53
2015-09-06,113,147,0,312,29,25,0,185,56
2015-09-07,108,161,0,272,26,14,0,153,70
2015-09-08,146,148,0,239,36,12,2,161,82
2015-09-09,83,169,0,228,29,23,1,142,83
2015-09-10,99,185,0,221,37,28,0,153,75
2015-09-11,149,159,0,204,65,22,2,186,67
2015-09-12,99,133,0,175,25,16,2,165,45
2015-09-13,80,152,0,270,20,18,0,185,89
2015-09-14,94,143,0,228,26,23,0,145,101
2015-09-15,78,177,0,258,21,20,0,129,81
2015-09-16,94,175,0,246,30,15,0,159,71
2015-09-17,83,153,0,267,33,20,2,152,55
2015-09-18,142,160,0,205,18,13,1,123,57
2015-09-19,105,147,0,214,21,16,0,143,48
2015-09-20,85,127,0,254,27,25,0,183,76
2015-09-21,83,154,0,252,25,15,1,109,92
2015-09-22,87,152,0,244,29,18,0,130,67
2015-09-23,108,160,0,255,37,18,0,149,73
2015-09-24,92,203,0,204,21,28,0,107,93
2015-09-25,95,176,0,232,29,11,1,137,67
2015-09-26,71,167,0,191,13,14,0,121,84
2015-09-27,78,202,0,283,26,21,1,141,97
2015-09-28,101,176,0,251,27,20,1,115,77
2015-09-29,108,183,0,243,27,20,2,242,93
2015-09-30,81,170,0,230,25,28,1,200,91
2015-10-01,76,197,0,227,25,11,0,155,74
2015-10-02,94,164,0,189,34,13,2,137,62
2015-10-03,98,170,0,214,28,12,0,161,74
2015-10-04,72,171,0,245,16,18,0,159,59
2015-10-05,116,174,0,236,34,54,1,145,84
2015-10-06,84,320,0,265,31,8,0,141,69
2015-10-07,94,343,0,243,30,17,0,144,70
2015-10-08,101,305,0,241,23,25,0,140,88
2015-10-09,108,270,0,253,35,41,0,111,99
2015-10-10,99,312,0,210,16,7,0,128,57
2015-10-11,88,279,0,305,29,16,0,147,65
2015-10-12,93,223,0,308,32,19,1,156,96
2015-10-13,107,205,0,260,19,10,1,134,98
2015-10-14,103,186,0,223,40,23,0,168,119
2015-10-15,112,186,0,261,20,16,1,161,147
2015-10-16,130,195,0,258,19,14,3,140,166
2015-10-17,94,154,0,212,17,13,0,130,58
2015-10-18,157,190,0,266,28,17,0,152,96
2015-10-19,128,178,0,280,24,22,1,157,120
2015-10-20,88,185,0,223,21,18,0,155,122
2015-10-21,81,179,0,228,22,21,0,147,104
2015-10-22,73,193,0,275,26,15,2,138,73
2015-10-23,114,186,0,301,35,9,0,128,79
2015-10-24,73,137,0,224,17,16,0,126,58
2015-10-25,91,164,0,311,23,22,0,166,73
2015-10-26,98,178,0,311,43,19,0,141,73
2015-10-27,110,183,0,260,30,21,1,166,107
2015-10-28,79,184,0,261,24,17,0,184,66
2015-10-29,92,166,0,313,29,22,0,182,82
2015-10-30,122,186,0,241,31,27,2,191,85
2015-10-31,82,151,0,232,18,25,1,189,61
2015-11-01,90,146,0,278,25,11,0,157,55
2015-11-02,102,186,0,310,19,19,0,174,68
2015-11-03,75,166,0,252,31,22,0,146,86
2015-11-04,84,163,0,232,22,20,1,151,94
2015-11-05,95,163,0,294,28,19,0,153,95
2015-11-06,99,168,0,275,25,11,1,123,74
2015-11-07,76,140,0,226,24,32,2,135,82
2015-11-08,68,178,0,287,28,38,0,153,68
2015-11-09,79,206,0,246,28,21,3,172,88
2015-11-10,72,157,0,237,23,28,1,143,98
2015-11-11,83,193,0,265,21,28,0,134,93
2015-11-12,95,157,0,293,38,28,0,153,94
2015-11-13,100,157,0,217,20,17,0,116,90
2015-11-14,96,126,0,198,26,10,0,130,44
2015-11-15,87,143,0,247,29,13,0,186,77
2015-11-16,95,186,0,266,35,25,0,155,102
2015-11-17,68,171,0,272,31,20,1,144,76
2015-11-18,88,179,0,283,21,17,0,149,72
2015-11-19,84,164,0,288,23,11,0,118,83
2015-11-20,101,138,0,250,23,19,0,145,60
2015-11-21,114,169,0,188,27,10,0,110,53
2015-11-22,109,175,0,213,27,17,0,152,61
2015-11-23,95,181,0,242,28,16,0,123,77
2015-11-24,80,237,0,255,21,14,0,138,61
2015-11-25,144,186,0,211,29,24,0,139,102
2015-11-26,99,150,0,216,27,22,0,126,83
2015-11-27,94,125,0,227,24,31,1,126,82
2015-11-28,89,150,0,260,14,11,0,178,81
2015-11-29,99,194,0,289,33,18,0,184,69
2015-11-30,101,198,0,249,33,17,0,195,92
2015-12-01,107,179,0,254,34,11,0,191,95
2015-12-02,56,199,0,241,23,19,3,176,77
2015-12-03,79,211,0,247,23,21,0,168,84
2015-12-04,76,163,0,213,22,18,3,171,558
2015-12-05,92,143,0,450,23,24,0,226,153
2015-12-06,69,189,0,278,28,38,0,190,124
2015-12-07,116,197,0,242,24,128,0,199,112
2015-12-08,82,186,0,167,31,25,2,155,86
2015-12-09,86,167,0,258,30,35,0,152,104
2015-12-10,84,163,0,257,27,21,1,144,105
2015-12-11,74,177,0,222,31,21,3,175,73
2015-12-12,95,126,0,255,23,42,0,168,71
2015-12-13,72,149,0,277,10,9,1,160,89
2015-12-14,84,208,0,261,21,39,0,189,74
2015-12-15,105,188,0,221,38,25,1,153,73
2015-12-16,72,155,0,259,39,43,0,141,83
2015-12-17,79,163,0,195,27,12,1,119,81
2015-12-18,1619,131,0,193,26,30,0,137,63
2015-12-19,225,154,0,199,27,39,0,145,56
2015-12-20,156,144,0,218,18,55,1,163,54
2015-12-21,130,165,0,215,22,51,1,185,53
2015-12-22,58,156,0,219,15,77,0,159,47
2015-12-23,76,154,0,187,20,34,0,170,49
2015-12-24,79,142,0,242,20,8,0,145,42
2015-12-25,81,136,0,224,33,13,0,101,46
2015-12-26,83,137,0,247,28,22,0,159,66
2015-12-27,92,165,0,252,25,12,1,167,65
2015-12-28,113,164,0,279,24,23,0,211,94
2015-12-29,76,147,0,248,31,44,0,233,76
2015-12-30,80,183,0,204,25,43,1,227,145
2015-12-31,88,152,0,211,21,35,1,213,44
2016-01-01,91,135,0,253,33,26,0,213,75
2016-01-02,77,171,0,260,23,24,0,227,62
2016-01-03,69,187,0,296,28,14,2,282,80
2016-01-04,88,206,0,267,32,18,0,255,69
2016-01-05,66,186,0,268,22,37,2,245,123
2016-01-06,82,178,0,292,23,37,1,195,113
2016-01-07,68,200,0,307,18,21,0,241,96
2016-01-08,74,193,0,280,40,13,1,208,86
2016-01-09,84,158,0,282,26,19,0,243,65
2016-01-10,100,172,0,324,37,13,0,292,94
2016-01-11,84,180,0,286,40,39,0,284,112
2016-01-12,107,209,0,243,19,34,0,269,102
2016-01-13,87,204,0,273,28,19,0,335,117
2016-01-14,123,214,0,339,30,12,0,270,108
2016-01-15,81,209,0,255,23,22,0,226,81
2016-01-16,72,185,0,296,25,28,1,292,76
2016-01-17,69,180,0,291,21,29,1,334,77
2016-01-18,97,199,0,283,25,33,3,372,107
2016-01-19,85,206,0,293,27,26,0,400,107
2016-01-20,92,170,0,332,21,36,1,271,90
2016-01-21,86,186,0,276,29,18,0,387,96
2016-01-22,83,209,0,238,37,30,1,444,64
2016-01-23,82,182,0,235,24,18,1,1469,64
2016-01-24,84,203,0,279,29,32,1,1492,81
2016-01-25,76,221,0,270,19,32,0,2071,104
2016-01-26,84,232,0,308,27,33,0,959,87
2016-01-27,73,244,0,275,26,19,0,741,75
2016-01-28,66,241,0,293,26,41,1,746,78
2016-01-29,81,218,0,278,19,22,2,526,70
2016-01-30,112,184,0,286,40,99,1,516,65
2016-01-31,80,191,0,284,26,35,1,566,63
2016-02-01,76,196,0,309,27,35,1,531,82
2016-02-02,101,218,0,347,26,46,0,693,86
2016-02-03,80,224,0,297,15,22,0,575,78
2016-02-04,106,233,0,248,20,24,1,487,81
2016-02-05,105,198,0,292,27,26,0,437,86
2016-02-06,80,174,0,251,31,20,0,581,66
2016-02-07,95,188,0,292,29,31,0,572,96
2016-02-08,66,181,0,288,32,27,0,516,117
2016-02-09,87,185,0,274,40,29,2,475,107
2016-02-10,84,198,0,295,34,13,0,402,113
2016-02-11,97,199,0,257,34,19,0,373,102
2016-02-12,111,171,0,288,23,75,0,356,91
2016-02-13,97,134,0,283,42,19,0,354,74
2016-02-14,81,153,0,298,25,26,1,366,83
2016-02-15,92,146,0,407,41,21,0,389,78
2016-02-16,76,192,0,325,29,12,0,381,113
2016-02-17,67,192,0,294,29,21,0,303,115
2016-02-18,70,206,0,288,23,15,0,335,129
2016-02-19,76,214,0,287,32,29,0,313,97
2016-02-20,66,326,0,295,22,30,0,348,75
2016-02-21,78,178,0,353,24,18,1,389,72
2016-02-22,85,223,0,354,28,33,0,336,73
2016-02-23,113,209,0,350,33,26,0,370,104
2016-02-24,82,201,0,314,25,30,1,276,96
2016-02-25,92,161,0,340,21,25,0,313,109
2016-02-26,96,166,0,302,29,20,0,240,81
2016-02-27,99,123,0,257,27,21,0,269,75
2016-02-28,105,282,0,371,37,35,0,315,85
2016-02-29,123,197,0,351,35,37,0,272,136
2016-03-01,126,178,0,291,30,68,0,240,95
2016-03-02,112,163,0,346,32,38,1,242,128
2016-03-03,112,178,0,297,27,25,0,209,115
2016-03-04,114,168,0,279,26,28,1,230,104
2016-03-05,88,141,0,276,33,17,0,247,73
2016-03-06,93,205,0,336,25,43,0,258,91
2016-03-07,109,186,0,384,37,20,0,219,145
2016-03-08,83,193,0,286,25,30,0,231,177
2016-03-09,75,166,0,286,25,30,0,195,113
2016-03-10,92,202,0,294,40,20,0,203,118
2016-03-11,111,182,0,323,26,14,0,215,78
2016-03-12,67,144,0,260,38,23,0,209,73
2016-03-13,86,162,0,301,17,18,0,220,77
2016-03-14,79,176,0,1937,24,26,0,199,116
2016-03-15,118,204,0,418,41,23,0,243,124
2016-03-16,88,169,0,284,28,15,0,192,100
2016-03-17,71,164,0,247,24,32,0,178,129
2016-03-18,93,183,0,302,26,25,0,181,80
2016-03-19,76,163,0,321,26,23,0,209,92
2016-03-20,74,160,0,345,22,23,0,194,70
2016-03-21,84,214,0,289,28,25,0,197,144
2016-03-22,98,186,0,281,20,53,1,197,98
2016-03-23,82,178,0,328,18,28,0,719,93
2016-03-24,85,217,0,320,16,35,1,322,87
2016-03-25,80,172,0,306,26,28,0,214,54
2016-03-26,80,137,0,320,27,40,0,218,62
2016-03-27,78,157,0,344,29,19,0,201,77
2016-03-28,86,171,0,905,30,17,1,240,77
2016-03-29,72,196,0,349,37,27,0,221,96
2016-03-30,103,181,0,310,30,28,1,184,115
2016-03-31,82,168,0,299,19,34,0,168,69
2016-04-01,90,184,0,305,28,26,0,124,77
2016-04-02,87,159,0,319,29,64,0,168,72
2016-04-03,89,197,0,319,42,34,0,162,88
2016-04-04,70,238,0,333,36,36,0,163,81
2016-04-05,89,178,0,327,31,40,0,181,87
2016-04-06,88,180,0,307,24,27,0,148,85
2016-04-07,102,235,0,308,20,15,0,145,87
2016-04-08,76,178,0,316,26,42,1,161,81
2016-04-09,85,168,0,289,39,30,1,153,72
2016-04-10,121,189,0,363,37,26,1,195,64
2016-04-11,100,248,0,353,33,57,0,160,91
2016-04-12,87,213,0,312,40,31,1,161,90
2016-04-13,88,207,0,321,38,35,0,155,128
2016-04-14,94,162,0,339,27,16,0,140,92
2016-04-15,87,156,0,331,54,49,0,143,69
2016-04-16,80,174,0,302,23,73,0,148,69
2016-04-17,76,188,0,382,36,31,0,146,91
2016-04-18,102,207,0,343,36,55,0,156,82
2016-04-19,87,149,0,294,43,29,0,136,84
2016-04-20,82,207,0,295,23,15,0,164,90
2016-04-21,101,181,0,310,24,27,1,133,65
2016-04-22,80,181,0,305,32,15,0,131,77
2016-04-23,96,150,0,274,19,18,0,140,63
2016-04-24,96,156,0,383,30,23,1,161,111
2016-04-25,81,197,0,369,29,32,1,125,105
2016-04-26,93,246,0,383,24,46,0,146,107
2016-04-27,92,226,0,327,39,72,1,130,110
2016-04-28,106,194,0,342,26,110,0,143,83
2016-04-29,93,194,0,296,23,65,0,124,89
2016-04-30,107,174,0,322,24,21,1,104,60
2016-05-01,113,292,0,362,24,23,1,178,84
2016-05-02,150,251,0,372,25,49,0,138,99
2016-05-03,106,216,0,356,31,34,0,131,139
2016-05-04,104,277,0,332,27,23,0,132,109
2016-05-05,89,216,0,310,24,44,3,135,127
2016-05-06,74,187,0,341,28,24,1,137,83
2016-05-07,95,155,0,290,36,34,0,146,69
2016-05-08,99,175,0,397,29,37,0,172,88
2016-05-09,91,182,0,347,28,57,1,132,111
2016-05-10,101,208,0,301,35,23,1,129,83
2016-05-11,84,216,0,320,31,19,3,131,120
2016-05-12,100,178,0,300,21,19,0,110,77
2016-05-13,103,217,0,297,34,24,2,144,73
2016-05-14,84,175,0,284,22,19,9,117,69
2016-05-15,74,190,0,375,31,47,0,137,88
2016-05-16,95,213,0,445,13,27,0,151,84
2016-05-17,102,218,0,433,27,52,0,126,103
2016-05-18,79,193,0,389,23,30,0,144,134
2016-05-19,120,182,0,390,32,28,0,114,116
2016-05-20,110,205,0,367,21,23,0,167,80
2016-05-21,165,173,0,322,35,35,0,146,49
2016-05-22,135,194,0,375,43,37,0,143,98
2016-05-23,107,195,0,368,30,28,0,129,83
2016-05-24,85,201,0,347,27,20,1,139,101
2016-05-25,98,194,0,358,34,14,0,151,87
2016-05-26,114,165,0,368,30,26,0,130,90
2016-05-27,133,158,0,274,21,32,3,112,127
2016-05-28,118,138,0,288,29,16,0,112,63
2016-05-29,95,216,0,282,27,15,0,118,86
2016-05-30,92,177,0,355,31,24,0,165,265
2016-05-31,101,190,0,407,26,27,0,125,180
2016-06-01,83,187,0,318,24,26,2,138,104
2016-06-02,80,210,0,284,31,13,0,131,132
2016-06-03,79,189,0,289,23,31,0,140,70
2016-06-04,103,167,0,293,34,15,0,130,55
2016-06-05,93,153,0,351,24,19,0,126,87
2016-06-06,86,195,0,308,22,26,0,126,67
2016-06-07,95,203,0,314,21,35,0,177,69
2016-06-08,73,163,0,284,25,25,2,155,72
2016-06-09,90,146,0,297,21,14,0,126,130
2016-06-10,100,159,0,288,25,21,1,154,94
2016-06-11,121,117,0,258,21,31,2,111,42
2016-06-12,103,152,0,275,29,24,0,147,73
2016-06-13,100,244,0,307,27,31,1,136,52
2016-06-14,80,285,0,279,38,40,1,103,80
2016-06-15,88,209,0,307,26,32,0,109,44
2016-06-16,95,180,0,295,27,65,1,146,52
2016-06-17,96,171,0,230,19,61,0,113,65
2016-06-18,114,164,0,253,30,37,1,112,42
2016-06-19,99,168,0,336,28,115,0,120,58
2016-06-20,112,142,0,314,28,67,0,127,72
2016-06-21,132,166,0,278,30,52,0,107,55
2016-06-22,126,178,0,266,26,37,0,125,57
2016-06-23,129,148,0,305,19,30,0,104,68
2016-06-24,89,144,0,256,23,34,1,110,57
2016-06-25,85,138,0,278,23,43,0,129,44
2016-06-26,103,183,0,297,21,50,2,126,65
