Date,"Air Mata Iboe","Convention of 1833","Nigel (bishop of Ely)","William Beach Thomas","Nights: Journey of Dreams","Morihei Ueshiba","Hawker Hurricane in Yugoslav service","Portman Road","Persoonia terminalis"
2015-07-01,8,17,6,18,104,199,0,78,0
2015-07-02,3,11,3,11,89,219,0,69,0
2015-07-03,7,10,6,11,83,221,0,56,0
2015-07-04,8,15,13,9,119,228,0,47,0
2015-07-05,9,17,10,13,123,267,0,59,0
2015-07-06,11,21,5,9,121,269,0,50,0
2015-07-07,12,23,12,19,117,226,0,63,0
2015-07-08,15,23,12,20,97,225,0,79,0
2015-07-09,11,16,9,18,112,227,0,56,0
2015-07-10,9,20,15,17,104,223,0,67,0
2015-07-11,6,12,6,23,81,248,0,48,0
2015-07-12,16,11,4,10,105,238,0,53,0
2015-07-13,4,11,11,7,99,233,0,70,0
2015-07-14,15,20,15,18,94,294,0,75,0
2015-07-15,12,16,9,17,105,245,0,90,0
2015-07-16,5,16,10,9,111,235,0,72,0
2015-07-17,10,14,6,16,85,234,0,105,0
2015-07-18,20,12,6,7,116,237,0,91,0
2015-07-19,9,7,5,7,113,217,0,68,0
2015-07-20,4,11,7,13,110,236,0,54,0
2015-07-21,9,12,4,19,110,251,0,53,0
2015-07-22,5,11,8,13,133,244,0,64,0
2015-07-23,15,27,7,12,130,247,0,81,0
2015-07-24,23,15,17,16,448,256,0,83,0
2015-07-25,14,19,11,19,356,195,0,57,0
2015-07-26,13,14,10,16,207,245,0,82,0
2015-07-27,14,14,13,21,172,240,0,99,0
2015-07-28,17,14,9,18,126,305,0,90,0
2015-07-29,24,29,18,30,138,234,0,82,0
2015-07-30,15,20,13,28,153,255,0,119,0
2015-07-31,17,17,19,19,149,207,0,123,0
2015-08-01,15,17,12,18,147,243,0,139,0
2015-08-02,15,16,12,18,152,228,0,93,0
2015-08-03,22,32,19,27,140,230,0,104,0
2015-08-04,14,15,15,16,137,298,0,118,0
2015-08-05,12,13,6,11,133,251,0,134,0
2015-08-06,11,14,9,19,113,260,0,107,0
2015-08-07,10,15,6,7,116,215,0,105,0
2015-08-08,8,10,8,15,108,192,0,120,0
2015-08-09,11,12,8,14,122,252,0,121,0
2015-08-10,11,16,17,17,88,238,0,102,0
2015-08-11,9,19,11,14,85,269,0,134,0
2015-08-12,9,16,12,11,113,248,0,117,0
2015-08-13,10,12,8,14,125,225,0,98,0
2015-08-14,11,13,18,16,120,264,0,109,0
2015-08-15,12,19,10,9,123,209,0,131,0
2015-08-16,21,15,14,19,119,235,0,124,0
2015-08-17,11,11,8,14,105,222,0,128,0
2015-08-18,12,11,10,15,128,259,0,173,0
2015-08-19,14,16,16,15,125,232,0,148,0
2015-08-20,11,14,9,27,109,259,0,95,0
2015-08-21,15,15,17,18,123,240,0,110,0
2015-08-22,5,13,7,16,97,253,0,120,0
2015-08-23,8,13,9,12,122,252,0,121,0
2015-08-24,12,15,11,14,120,254,0,124,0
2015-08-25,14,16,12,18,103,249,0,157,0
2015-08-26,8,13,10,18,149,271,0,125,0
2015-08-27,12,21,9,18,108,253,0,109,0
2015-08-28,11,21,11,12,94,241,0,134,0
2015-08-29,16,12,9,24,98,212,0,198,0
2015-08-30,4,9,6,13,102,248,0,110,0
2015-08-31,8,16,15,15,108,292,0,151,0
2015-09-01,16,26,22,19,94,228,0,103,0
2015-09-02,10,12,10,10,88,226,0,108,0
2015-09-03,10,20,17,23,83,276,0,83,0
2015-09-04,11,20,19,21,98,226,0,63,0
2015-09-05,16,11,10,14,100,250,0,89,0
2015-09-06,16,15,24,29,114,231,0,84,0
2015-09-07,12,39,15,15,94,257,0,98,0
2015-09-08,8,30,10,33,84,312,0,106,0
2015-09-09,9,30,11,22,89,257,0,89,0
2015-09-10,10,17,15,21,85,238,0,66,0
2015-09-11,52,48,56,69,103,240,0,141,0
2015-09-12,9,21,12,17,111,224,0,94,0
2015-09-13,8,10,9,15,112,284,0,88,0
2015-09-14,7,20,8,11,95,460,0,141,0
2015-09-15,11,30,13,18,98,280,0,83,0
2015-09-16,13,25,7,21,95,266,0,83,0
2015-09-17,14,18,9,15,75,375,0,82,0
2015-09-18,9,19,3,7,85,732,0,203,0
2015-09-19,10,19,12,12,90,400,0,104,0
2015-09-20,11,24,11,17,93,404,0,117,0
2015-09-21,7,14,9,13,88,642,0,132,0
2015-09-22,15,31,17,17,84,403,0,127,0
2015-09-23,14,26,25,21,90,461,0,250,0
2015-09-24,8,25,12,11,87,360,0,205,0
2015-09-25,11,22,14,10,74,334,0,132,0
2015-09-26,6,10,6,12,77,308,0,137,0
2015-09-27,9,19,7,14,117,262,0,103,0
2015-09-28,10,24,12,13,91,286,0,100,0
2015-09-29,12,34,14,15,87,290,0,84,0
2015-09-30,15,19,7,15,77,296,0,93,0
2015-10-01,12,23,8,13,88,243,0,106,0
2015-10-02,7,17,7,11,81,262,0,95,0
2015-10-03,17,26,19,22,93,220,0,128,0
2015-10-04,6,20,9,13,107,250,0,85,0
2015-10-05,9,33,11,12,104,257,0,63,0
2015-10-06,14,19,17,20,85,261,0,97,0
2015-10-07,19,24,14,24,97,263,0,88,0
2015-10-08,12,26,14,20,104,252,0,98,0
2015-10-09,13,30,13,18,102,250,0,92,0
2015-10-10,5,14,9,9,82,248,0,76,0
2015-10-11,10,22,8,13,98,246,0,75,0
2015-10-12,17,37,11,15,99,358,0,78,0
2015-10-13,10,48,7,13,117,295,0,77,0
2015-10-14,14,52,23,18,75,281,0,73,0
2015-10-15,13,70,15,18,73,274,0,98,0
2015-10-16,9,45,6,7,76,283,0,54,0
2015-10-17,7,17,11,18,119,258,0,85,0
