Date,"Galaxy Science Fiction","Chad Harris-Crane","Guilden Morden boar","Musca","Blast Corps","Mortimer Wheeler","The American Bible Challenge","Muhammad Ali Jinnah","Canadian Indian residential school system"
2015-07-01,52,41,0,70,270,86,69,2956,558
2015-07-02,57,35,0,57,253,80,125,2654,431
2015-07-03,55,27,0,56,210,83,67,2245,309
2015-07-04,47,22,0,53,207,68,77,2528,296
2015-07-05,56,25,0,56,237,86,97,2393,307
2015-07-06,48,34,0,63,260,79,86,2758,340
2015-07-07,62,41,0,68,325,94,91,2515,448
2015-07-08,76,34,0,70,354,75,144,2319,479
2015-07-09,36,36,0,77,211,60,128,2477,402
2015-07-10,50,30,0,61,270,115,80,2323,381
2015-07-11,56,32,0,55,240,70,121,2392,325
2015-07-12,47,29,0,59,210,89,110,2399,294
2015-07-13,53,26,0,60,257,74,74,2415,323
2015-07-14,65,28,0,67,283,71,75,2151,725
2015-07-15,58,29,0,60,221,74,70,2231,1021
2015-07-16,64,23,0,60,275,82,103,2287,406
2015-07-17,50,31,0,65,194,80,83,2261,348
2015-07-18,41,28,0,51,206,90,68,1999,256
2015-07-19,51,28,0,50,253,104,113,2118,2057
2015-07-20,50,58,0,63,253,76,96,2101,1946
2015-07-21,65,26,0,71,306,63,56,2470,387
2015-07-22,62,32,0,80,425,80,88,2581,371
2015-07-23,62,31,0,64,385,94,102,2638,366
2015-07-24,60,20,0,56,493,95,85,2597,314
2015-07-25,57,39,0,60,525,67,57,2771,427
2015-07-26,46,52,0,68,438,80,121,2823,296
2015-07-27,52,55,0,56,507,142,79,3094,354
2015-07-28,54,31,0,64,428,118,107,3201,321
2015-07-29,63,40,0,76,411,85,90,3047,353
2015-07-30,48,48,0,57,444,93,118,3324,410
2015-07-31,45,43,0,53,540,89,71,3068,287
2015-08-01,58,63,0,77,548,96,66,3163,221
2015-08-02,48,31,0,75,586,103,89,3031,202
2015-08-03,59,39,0,80,1122,75,88,2687,231
2015-08-04,59,31,0,61,2120,92,66,3055,338
2015-08-05,47,44,0,62,1526,69,106,3190,297
2015-08-06,55,31,0,51,1140,90,168,3213,286
2015-08-07,53,26,0,52,860,95,78,3294,229
2015-08-08,51,37,0,51,742,69,86,3302,486
2015-08-09,40,30,0,62,762,115,101,3534,421
2015-08-10,61,29,0,59,832,81,76,4116,315
2015-08-11,44,33,0,73,678,88,89,4349,293
2015-08-12,57,83,0,64,618,111,114,4452,307
