Date,"Brazilian battleship São Paulo","Death of Leelah Alcorn","Qatna","William Borah","Birthday-number effect"
2015-07-01,32,638,19,117,0
2015-07-02,20,606,10,83,0
2015-07-03,32,542,26,103,0
2015-07-04,92,499,15,96,0
2015-07-05,50,654,58,89,0
2015-07-06,39,695,25,102,0
2015-07-07,44,684,22,102,0
2015-07-08,32,566,21,117,0
2015-07-09,44,617,21,79,0
2015-07-10,43,669,13,99,0
2015-07-11,24,987,30,90,0
2015-07-12,21,1318,23,87,0
2015-07-13,46,657,34,105,0
2015-07-14,44,922,20,123,0
2015-07-15,35,1074,17,112,0
2015-07-16,39,1052,27,107,0
2015-07-17,31,823,19,77,0
2015-07-18,23,492,25,79,0
2015-07-19,35,582,25,81,0
2015-07-20,37,591,26,91,0
2015-07-21,42,606,19,115,0
2015-07-22,35,484,14,98,0
2015-07-23,37,497,27,63,0
2015-07-24,29,536,34,105,0
2015-07-25,24,503,26,99,0
2015-07-26,26,522,23,114,0
2015-07-27,34,875,26,108,0
2015-07-28,27,704,33,108,0
2015-07-29,30,511,23,106,0
2015-07-30,32,565,19,80,0
2015-07-31,29,446,26,88,0
2015-08-01,22,394,23,118,0
2015-08-02,34,488,25,142,0
2015-08-03,35,655,21,199,0
2015-08-04,41,798,124,113,0
2015-08-05,44,678,29,176,0
2015-08-06,43,515,29,117,0
2015-08-07,55,472,23,202,0
2015-08-08,46,433,16,190,0
2015-08-09,63,642,12,141,0
2015-08-10,45,788,85,171,0
2015-08-11,49,625,18,118,0
2015-08-12,38,450,15,95,0
2015-08-13,44,578,22,114,0
2015-08-14,43,481,30,152,0
2015-08-15,37,469,68,103,0
2015-08-16,39,548,16,198,0
2015-08-17,43,480,27,147,0
2015-08-18,40,528,30,132,0
2015-08-19,42,589,26,125,0
2015-08-20,31,465,30,104,0
2015-08-21,49,559,21,93,0
2015-08-22,37,477,20,104,0
2015-08-23,40,611,21,80,0
2015-08-24,64,665,42,83,0
2015-08-25,65,537,61,101,0
2015-08-26,34,518,37,108,0
2015-08-27,38,530,32,124,0
2015-08-28,35,385,43,106,0
2015-08-29,29,456,24,96,0
2015-08-30,38,502,35,96,0
2015-08-31,32,563,102,165,0
2015-09-01,45,613,91,109,0
2015-09-02,38,664,60,116,0
2015-09-03,38,591,35,83,0
2015-09-04,47,529,53,114,0
2015-09-05,49,1308,27,93,0
2015-09-06,49,741,41,82,0
2015-09-07,51,511,29,108,0
2015-09-08,33,502,23,105,0
2015-09-09,54,488,28,128,0
2015-09-10,7971,509,30,76,0
2015-09-11,378,472,79,93,0
2015-09-12,144,406,21,102,0
2015-09-13,116,464,22,88,0
2015-09-14,124,1038,30,105,0
2015-09-15,44,637,27,87,0
2015-09-16,55,584,10,96,0
2015-09-17,37,530,23,104,0
2015-09-18,35,606,16,117,0
2015-09-19,38,435,18,97,0
2015-09-20,42,625,18,117,0
2015-09-21,82,756,45,116,0
2015-09-22,79,585,19,99,0
2015-09-23,63,421,27,110,0
2015-09-24,55,483,31,92,0
2015-09-25,74,477,13,94,0
2015-09-26,51,403,22,105,0
2015-09-27,56,452,21,168,0
2015-09-28,56,518,18,133,0
2015-09-29,52,587,17,106,0
2015-09-30,58,538,32,166,0
2015-10-01,45,526,25,153,0
2015-10-02,49,493,24,116,0
2015-10-03,33,451,22,145,0
2015-10-04,37,472,23,115,0
2015-10-05,112,450,28,184,0
2015-10-06,58,484,15,177,0
2015-10-07,43,417,28,151,0
2015-10-08,54,439,30,148,0
2015-10-09,54,337,28,137,0
2015-10-10,29,271,21,103,0
2015-10-11,33,386,19,109,0
2015-10-12,54,374,26,120,0
2015-10-13,43,411,31,96,0
2015-10-14,41,1024,22,150,0
2015-10-15,44,697,24,124,0
2015-10-16,28,861,230,85,0
2015-10-17,30,1040,51,107,0
2015-10-18,38,2149,28,114,0
2015-10-19,39,3050,25,119,0
2015-10-20,43,1996,25,137,0
2015-10-21,41,1114,30,132,0
2015-10-22,45,679,27,138,0
2015-10-23,35,511,27,108,0
2015-10-24,34,402,25,74,0
2015-10-25,40,415,34,87,0
2015-10-26,56,557,25,158,0
2015-10-27,45,507,32,150,0
2015-10-28,32,592,23,114,0
2015-10-29,62,519,20,123,0
2015-10-30,60,415,28,103,0
2015-10-31,45,380,25,103,0
2015-11-01,52,467,41,77,0
2015-11-02,29,603,22,154,0
2015-11-03,44,517,25,108,0
2015-11-04,41,539,23,105,0
2015-11-05,44,468,18,104,0
2015-11-06,47,435,22,117,0
2015-11-07,52,401,22,100,0
2015-11-08,30,418,38,123,0
2015-11-09,33,467,26,113,0
2015-11-10,57,574,32,102,0
2015-11-11,40,421,25,124,0
2015-11-12,47,511,36,157,0
2015-11-13,36,402,21,188,0
2015-11-14,41,351,15,185,0
2015-11-15,34,615,18,197,0
2015-11-16,55,1104,28,201,0
2015-11-17,52,816,24,216,0
2015-11-18,43,618,24,203,0
2015-11-19,44,645,21,221,0
2015-11-20,35,4979,28,195,0
2015-11-21,93,1000,20,176,0
2015-11-22,55,971,34,185,0
2015-11-23,39,2062,25,214,0
2015-11-24,36,1483,58,231,0
2015-11-25,31,767,18,166,0
2015-11-26,32,634,39,152,0
2015-11-27,123,515,18,143,0
2015-11-28,22,562,30,178,0
2015-11-29,42,616,27,211,0
2015-11-30,57,552,72,212,0
2015-12-01,47,537,53,175,0
2015-12-02,58,618,40,187,0
2015-12-03,36,586,29,161,0
2015-12-04,62,454,28,157,0
2015-12-05,42,412,22,201,0
2015-12-06,41,658,13,193,0
2015-12-07,29,766,22,190,0
2015-12-08,21,624,27,243,0
2015-12-09,37,709,31,200,0
2015-12-10,32,805,25,177,0
2015-12-11,39,585,21,149,0
2015-12-12,29,477,17,139,0
2015-12-13,35,544,21,162,0
2015-12-14,38,555,15,161,0
2015-12-15,34,537,17,153,0
2015-12-16,21,488,29,142,0
2015-12-17,30,517,22,141,0
2015-12-18,34,467,18,148,0
2015-12-19,34,393,12,117,0
2015-12-20,26,388,18,108,0
2015-12-21,42,436,23,146,0
2015-12-22,32,479,16,122,0
2015-12-23,32,514,18,435,0
2015-12-24,33,513,19,101,0
2015-12-25,27,405,10,104,0
2015-12-26,33,420,24,102,0
2015-12-27,25,598,27,109,0
2015-12-28,37,2511,19,140,0
2015-12-29,51,3881,15,120,0
2015-12-30,28,1716,27,135,0
2015-12-31,33,1091,13,126,0
2016-01-01,55,720,15,102,0
2016-01-02,41,1024,26,133,0
2016-01-03,31,1007,26,137,0
2016-01-04,50,774,35,137,0
2016-01-05,35,912,49,146,0
2016-01-06,40,1626,60,265,0
2016-01-07,29,973,33,168,0
2016-01-08,30,737,26,109,0
2016-01-09,38,693,19,132,0
2016-01-10,29,827,16,136,0
2016-01-11,41,622,20,147,0
2016-01-12,40,528,20,126,0
2016-01-13,43,651,26,192,0
2016-01-14,34,613,24,130,0
2016-01-15,28,540,22,136,0
2016-01-16,43,566,21,105,0
2016-01-17,35,594,18,137,0
2016-01-18,39,571,25,148,0
2016-01-19,39,631,19,240,0
2016-01-20,43,590,24,221,0
2016-01-21,41,598,19,140,0
2016-01-22,190,424,21,142,0
2016-01-23,54,464,23,171,0
2016-01-24,47,727,23,131,0
2016-01-25,68,825,30,156,0
2016-01-26,44,587,16,177,0
2016-01-27,42,476,19,156,0
2016-01-28,63,496,21,152,0
2016-01-29,39,408,25,166,0
2016-01-30,50,433,23,140,0
2016-01-31,29,490,26,127,0
2016-02-01,45,485,18,177,0
2016-02-02,55,496,18,173,0
2016-02-03,43,514,27,225,0
2016-02-04,32,463,12,158,0
2016-02-05,46,433,23,170,0
2016-02-06,33,419,27,218,0
2016-02-07,41,532,21,157,0
2016-02-08,42,503,13,168,0
2016-02-09,49,470,18,169,0
2016-02-10,46,454,19,222,0
2016-02-11,42,464,21,222,0
2016-02-12,32,423,21,221,0
2016-02-13,48,412,26,139,0
2016-02-14,47,374,35,197,0
2016-02-15,83,488,38,309,0
2016-02-16,42,393,17,215,0
2016-02-17,36,455,23,199,0
2016-02-18,53,381,24,184,0
2016-02-19,37,1169,34,171,0
2016-02-20,41,525,19,143,0
2016-02-21,34,544,68,207,0
2016-02-22,37,549,24,241,0
2016-02-23,35,543,22,197,0
2016-02-24,42,496,20,204,0
2016-02-25,38,436,16,185,0
2016-02-26,47,637,13,188,0
2016-02-27,36,426,20,134,0
2016-02-28,37,409,17,183,0
2016-02-29,29,491,27,192,0
2016-03-01,41,565,22,176,0
2016-03-02,27,467,31,177,0
2016-03-03,43,550,29,240,0
2016-03-04,39,492,24,184,0
2016-03-05,56,440,20,117,0
2016-03-06,41,413,16,170,0
2016-03-07,39,458,25,225,0
2016-03-08,31,406,19,194,0
2016-03-09,38,410,18,161,0
2016-03-10,38,405,31,212,0
2016-03-11,33,390,19,155,0
2016-03-12,33,302,19,144,0
2016-03-13,33,315,26,176,0
2016-03-14,43,388,21,192,0
2016-03-15,44,353,22,171,0
2016-03-16,27,323,20,184,0
2016-03-17,34,394,38,166,0
2016-03-18,25,340,28,134,0
2016-03-19,38,340,18,128,0
2016-03-20,27,398,15,155,0
2016-03-21,47,518,16,147,0
2016-03-22,36,674,20,166,0
2016-03-23,32,518,14,145,0
2016-03-24,37,496,31,124,0
2016-03-25,38,436,27,133,0
2016-03-26,39,474,23,105,0
2016-03-27,29,447,42,95,0
2016-03-28,41,415,38,148,0
2016-03-29,52,512,25,189,0
2016-03-30,36,389,32,355,0
2016-03-31,46,429,29,188,0
2016-04-01,32,349,28,134,0
2016-04-02,27,361,33,133,0
2016-04-03,28,429,24,146,0
2016-04-04,26,367,30,144,0
2016-04-05,53,378,21,128,0
2016-04-06,51,411,20,127,0
2016-04-07,49,381,22,144,0
2016-04-08,43,389,16,127,0
2016-04-09,43,334,20,109,0
2016-04-10,44,391,17,114,0
2016-04-11,47,504,17,141,0
2016-04-12,45,698,24,116,0
2016-04-13,152,407,13,106,0
2016-04-14,257,438,28,116,0
2016-04-15,50,430,35,109,0
2016-04-16,38,309,29,82,0
2016-04-17,202,359,12,138,0
2016-04-18,36,383,17,165,0
2016-04-19,53,402,21,132,0
2016-04-20,37,387,13,141,0
2016-04-21,44,379,27,124,0
2016-04-22,37,349,15,118,0
2016-04-23,40,337,21,158,0
2016-04-24,34,367,25,107,0
2016-04-25,41,409,22,129,0
2016-04-26,46,489,18,112,0
2016-04-27,44,486,17,156,0
2016-04-28,50,504,19,138,0
2016-04-29,28,392,24,102,0
2016-04-30,32,343,16,127,0
2016-05-01,31,389,24,150,0
2016-05-02,39,403,18,135,0
2016-05-03,46,383,64,333,0
2016-05-04,39,411,32,232,0
2016-05-05,41,416,27,151,0
2016-05-06,43,328,23,150,0
2016-05-07,31,250,21,127,0
2016-05-08,59,326,11,145,0
2016-05-09,56,459,20,153,0
2016-05-10,33,476,31,139,0
2016-05-11,36,919,35,111,0
2016-05-12,33,730,17,115,0
2016-05-13,47,645,31,106,0
2016-05-14,39,479,14,199,0
2016-05-15,33,548,26,151,0
2016-05-16,31,451,23,125,0
2016-05-17,31,477,16,236,0
2016-05-18,34,416,21,220,0
2016-05-19,33,401,25,147,0
2016-05-20,34,382,31,118,0
2016-05-21,42,370,14,102,0
2016-05-22,44,353,29,138,0
2016-05-23,43,417,17,127,0
2016-05-24,48,386,21,115,0
2016-05-25,43,343,23,113,0
2016-05-26,38,410,16,96,0
2016-05-27,43,349,19,84,0
2016-05-28,38,315,16,88,0
2016-05-29,45,874,26,90,0
2016-05-30,62,433,26,120,0
2016-05-31,45,371,29,137,0
2016-06-01,43,421,22,171,0
2016-06-02,54,421,21,99,0
2016-06-03,40,410,21,123,0
2016-06-04,35,320,15,115,0
2016-06-05,42,384,6,99,0
2016-06-06,50,660,18,134,0
2016-06-07,41,841,17,130,0
2016-06-08,42,630,36,110,0
2016-06-09,35,493,42,133,0
2016-06-10,32,440,21,107,0
2016-06-11,34,366,20,101,0
2016-06-12,44,420,24,153,0
2016-06-13,56,473,22,133,0
2016-06-14,48,444,27,97,0
2016-06-15,39,348,13,134,0
2016-06-16,40,439,10,112,0
2016-06-17,42,393,25,107,0
2016-06-18,47,330,15,94,0
2016-06-19,48,309,25,120,0
